"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"8273.30828";"8273.30828";"8273.30828";"8273.30828";"8273.30828";"8273.30828";"8273.30828";"8273.30828";"8273.30828";"8273.30828";"8273.30828";"8273.30828";"8273.30828";"8273.30828";"8273.30828";"8273.30828";"8273.30828";"8273.30828";"8273.30828";"8273.30828";"8273.30828";"8273.30828";"8273.30828";"8273.30828";"8273.30828";"8273.30828";"8273.30828";"8273.30828";"8273.30828";"8273.30828";"8273.30828"
"4am";"1321.189";"4443.108";"4767.218";"2425.196";"2683.982";"3290.082";"2200.167";"1534.842";"3760.245";"2633.505";"2643.929";"2855.726";"1368.710";"2523.854";"1840.517";"1781.322";"1691.940";"2723.169";"2249.113";"2562.223";"4849.494";"5882.527";"3024.387";"5258.538";"5789.678";"4051.614";"4579.579";"3074.104";"3830.893";"5373.712";"5617.107"
"5am";"1321.189";"4253.161";"4731.612";"2382.334";"2683.982";"3290.082";"2274.536";"1498.393";"3640.669";"2633.505";"2615.109";"2855.726";"1368.710";"2821.335";"1776.004";"1726.493";"1766.154";"2700.163";"2587.617";"2822.906";"4659.914";"5809.823";"3024.387";"5325.749";"5403.327";"3808.349";"4504.304";"2924.791";"3795.870";"5204.921";"5617.107"
"6am";"1393.467";"3893.116";"4825.039";"2286.734";"2660.062";"3403.791";"2364.216";"1567.179";"3685.332";"2549.914";"2580.025";"2699.697";"1325.904";"2907.743";"1664.221";"1574.263";"1817.917";"2589.607";"2654.750";"2861.005";"4103.334";"5658.593";"3024.387";"5258.493";"5249.263";"3610.729";"4397.926";"2956.930";"3626.091";"4917.731";"5459.679"
"7am";"1451.058";"3959.092";"5648.797";"2441.924";"2907.576";"2621.343";"2380.548";"1626.488";"3910.422";"2665.542";"2818.887";"2702.547";"1151.000";"3747.027";"1569.229";"1428.454";"1718.165";"1939.328";"2742.580";"3517.920";"3581.640";"4996.558";"2894.407";"4920.717";"4084.645";"3191.753";"3527.298";"3028.014";"3348.244";"4607.770";"4883.246"
"8am";"1888.057";"4234.256";"6232.935";"2577.577";"2764.020";"2022.112";"2522.510";"1616.973";"3499.099";"2696.152";"2755.057";"2509.315";"1179.529";"4832.419";"1455.879";"1195.481";"1326.972";"1808.809";"2974.543";"5449.306";"3387.865";"4681.463";"2651.771";"4447.633";"4021.703";"2997.113";"2957.531";"3011.332";"3090.723";"3751.307";"4731.202"
"9am";"2345.944";"4739.523";"6561.906";"2630.311";"2744.670";"1807.316";"2278.922";"1814.983";"3813.291";"2645.638";"2597.256";"2450.049";"1145.780";"5234.450";"1393.835";"1022.749";"1139.541";"1539.712";"3060.711";"6845.010";"3203.772";"4205.298";"2315.350";"4305.001";"3808.863";"2650.909";"2839.565";"3041.117";"2660.385";"4050.211";"4264.366"
"10am";"2488.846";"4504.978";"6588.556";"2847.212";"2671.334";"1942.495";"2411.962";"1760.778";"3693.954";"2451.317";"2692.119";"2626.126";"1208.446";"5249.165";"1498.130";"1057.491";"1290.410";"1664.036";"2761.212";"6952.791";"2904.342";"4252.235";"2150.516";"4222.485";"3481.246";"2684.959";"2676.927";"3110.670";"2804.399";"3776.380";"4157.915"
"11am";"2356.927";"4645.809";"6244.704";"2677.340";"2534.606";"1903.331";"2552.076";"1648.286";"3896.392";"2427.535";"2854.022";"2699.984";"1159.275";"4843.029";"1213.735";"1278.499";"1269.974";"1911.350";"2647.727";"6198.419";"3182.378";"4448.423";"2166.729";"4382.142";"3874.804";"2648.704";"3000.599";"2841.446";"2922.353";"3834.268";"4307.071"
"12am";"2359.832";"4665.807";"6363.111";"2484.064";"2589.004";"2147.657";"2323.527";"1853.685";"3541.301";"2472.269";"2690.927";"2443.995";"1286.193";"4472.977";"1558.690";"1263.933";"1648.201";"1879.044";"2463.149";"6032.500";"3343.331";"4342.373";"2269.617";"4119.724";"3826.608";"2831.914";"3125.812";"3105.520";"2925.316";"4126.371";"4428.810"
"1pm";"1869.059";"4788.075";"6042.396";"2515.296";"2753.863";"2229.435";"2070.450";"1558.502";"3781.600";"2556.763";"2989.034";"2390.387";"1420.938";"4952.548";"1450.343";"1003.826";"1533.283";"1671.907";"2992.448";"6697.106";"3074.112";"4381.488";"2056.130";"3864.371";"3769.014";"2655.272";"2704.139";"3067.675";"3042.211";"3960.197";"4135.782"
"2pm";"1962.2228";"4199.1880";"6028.7513";"3124.7722";"2378.1083";"2173.7828";"2167.4819";"1328.3839";"3752.6680";"2470.3647";"2955.8945";"2559.9000";"1368.3188";"4748.4547";"1365.8784";" 941.9032";"1404.2936";"1663.7880";"2727.2291";"7499.0715";"3050.3850";"4553.2491";"1993.0238";"3437.6445";"3993.1121";"2873.7852";"2812.4950";"2961.4646";"2959.4498";"4140.2855";"3985.5449"
"3pm";"1914.1605";"3996.6235";"5953.5355";"2918.0570";"2472.9875";"2334.2418";"2185.3941";"1237.9628";"3853.5470";"2409.4510";"2886.8561";"2167.4848";"1425.6427";"4858.2596";"1461.9638";" 805.8635";"1113.5659";"1864.1341";"2574.1207";"8273.3083";"2903.3328";"4547.8388";"2093.4627";"3751.7890";"3766.7971";"2803.7323";"3168.9929";"2657.3267";"2961.5693";"4213.3830";"3877.7919"
"4pm";"1885.8019";"4345.1018";"5639.4097";"2551.5077";"2708.4050";"1860.4127";"2414.3376";"1108.1417";"3530.9175";"2627.8792";"3047.1137";"2231.0431";"1491.1693";"3722.3727";"1425.4835";" 940.5172";"1091.6991";"1818.5393";"2537.9633";"6825.5454";"3065.5377";"4598.8542";"2274.2738";"3993.8675";"4097.3096";"2821.1474";"3398.1900";"2806.0260";"3389.6455";"4989.9907";"4103.3662"
"5pm";"1785.105";"3848.153";"5212.909";"2435.042";"2831.412";"2420.006";"2417.122";"1386.721";"3839.015";"2652.039";"2633.152";"2624.880";"1435.688";"3498.802";"1517.490";"1302.021";"1270.675";"2114.713";"2119.175";"5749.342";"3820.514";"4843.349";"2211.703";"4326.944";"4571.261";"3542.990";"4254.808";"3150.284";"3692.830";"4799.688";"4815.423"
"6pm";"1567.446";"4013.667";"4891.190";"2161.269";"2903.208";"2553.118";"2330.516";"1371.312";"3781.640";"2738.424";"3136.871";"2752.116";"1466.512";"2634.104";"1522.747";"1413.139";"1521.158";"2363.449";"2326.893";"4544.857";"4364.458";"5837.874";"2032.444";"4876.524";"5392.607";"4052.261";"4227.194";"3103.486";"3904.398";"5205.498";"5062.113"
"7pm";"1315.363";"4288.782";"4886.655";"2326.864";"2796.712";"3094.586";"2166.155";"1406.999";"3678.004";"2712.945";"2772.636";"2956.604";"1410.834";"2403.952";"1661.298";"1522.646";"1640.482";"2601.716";"2183.872";"3453.382";"4791.528";"5884.266";"2811.910";"5226.169";"5618.961";"4021.004";"4345.061";"3048.989";"4131.811";"5484.451";"5250.237"
"8pm";"1429.999";"4450.575";"4859.916";"2155.258";"2796.712";"3434.137";"2096.533";"1560.442";"3686.040";"2592.721";"2865.471";"2963.908";"1383.986";"2388.838";"1653.060";"1554.996";"1618.762";"2629.076";"2136.640";"3186.977";"4764.396";"6156.704";"2806.377";"5059.077";"5652.064";"4117.420";"4616.274";"2991.733";"4058.542";"5432.165";"5617.107"
"9pm";"1501.380";"4514.713";"4776.517";"2350.867";"2718.750";"3369.999";"2096.533";"1595.828";"3686.040";"2636.938";"2838.211";"2932.950";"1386.888";"2300.409";"1646.086";"1707.544";"1578.087";"2660.292";"2020.889";"3121.363";"4871.668";"6257.645";"2994.489";"5171.038";"5695.179";"4101.060";"4585.058";"3118.703";"3979.196";"5432.165";"5617.107"
