"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015"
"min";"56.853";"56.853";"56.853";"56.853";"56.853";"56.853";"56.853";"56.853";"56.853";"56.853";"56.853";"56.853";"56.853";"56.853";"56.853"
"max";"3604.019";"3604.019";"3604.019";"3604.019";"3604.019";"3604.019";"3604.019";"3604.019";"3604.019";"3604.019";"3604.019";"3604.019";"3604.019";"3604.019";"3604.019"
"4am";"1371.159";" 938.517";"2841.566";" 928.226";" 766.526";"2063.001";" 756.192";"1723.822";"1592.679";"1185.444";" 547.056";"1423.358";"1360.071";" 821.586";" 699.388"
"5am";"1371.159";" 938.517";"2791.197";" 928.226";" 766.526";"2063.001";" 756.192";"1723.822";"1592.679";"1108.393";" 535.593";"1423.358";"1360.071";" 821.586";" 699.196"
"6am";"1371.159";" 974.309";"2755.405";" 956.330";" 766.526";"2063.001";" 826.431";"1659.382";"1497.008";"1092.664";" 501.527";"1161.975";"1416.859";" 712.393";" 699.196"
"7am";"2176.319";"1208.490";"2746.436";" 899.547";" 590.854";"1934.048";" 663.589";"1620.787";"1131.368";" 729.762";" 511.731";" 917.610";"1219.833";" 559.050";" 635.274"
"8am";"2480.093";"1856.973";"3297.707";" 769.788";" 875.806";"1058.695";" 910.218";"1589.352";" 779.495";" 425.006";" 572.086";" 694.973";" 962.130";" 439.022";" 307.175"
"9am";"2417.862";"1814.917";"3311.604";" 833.172";" 853.556";"1033.430";" 860.898";"1603.235";" 662.180";" 429.842";" 501.960";" 755.669";" 936.251";" 431.503";" 309.307"
"10am";"2420.401";"1857.293";"2911.369";" 897.003";" 845.077";"1058.794";" 857.884";"1624.647";" 584.192";" 409.623";" 434.561";" 684.753";" 947.952";" 889.511";" 274.153"
"11am";"2250.401";"1519.325";"2813.172";"1089.666";" 840.043";"1286.644";" 782.183";"1707.130";" 809.850";" 493.945";" 407.130";" 814.084";"1041.424";" 487.134";" 282.075"
"12am";"1993.101";"1143.049";"2527.309";"1194.798";" 635.119";"1660.063";" 680.847";"1794.554";"1006.388";" 611.833";" 379.140";"1088.688";"1151.809";" 741.508";" 379.462"
"1pm";"2105.130";"1682.797";"2700.129";"1211.549";" 480.346";"1411.546";" 821.961";"1655.573";" 874.088";" 515.753";" 520.205";" 743.321";"1133.162";" 601.588";" 333.221"
"2pm";"2357.467";"1690.635";"2500.568";" 785.708";" 479.883";"1160.668";"1162.924";"1636.331";" 677.952";" 452.613";" 383.152";"1063.013";"1072.161";" 936.517";" 301.303"
"3pm";"2379.194";"1713.520";"2420.081";" 902.027";" 412.341";"1039.006";"1145.135";"1563.593";" 655.227";" 441.081";" 503.291";"1005.012";"1188.695";" 594.793";" 328.502"
"4pm";"2628.356";"1800.752";"2512.905";" 955.741";" 634.387";"1211.491";" 645.264";"1259.118";" 653.078";" 638.926";" 502.903";"1258.797";" 952.152";" 604.903";" 369.535"
"5pm";"2176.800";"1151.503";"2435.137";"1129.860";" 676.050";" 987.063";" 704.700";"1676.944";" 761.545";" 917.455";" 548.673";"1420.033";" 999.355";" 813.718";" 479.534"
"6pm";"1199.600";" 843.144";"2672.485";"1143.994";" 599.971";"2167.765";" 920.808";"1733.894";"1301.238";"1230.769";" 558.466";"1325.913";"1267.572";" 797.915";" 514.829"
"7pm";"1358.071";" 843.938";"2714.019";" 750.544";" 597.604";"2143.895";" 901.987";"1967.699";"1423.596";"1361.904";" 522.509";"1391.593";"1300.386";" 821.586";" 633.087"
"8pm";"1369.290";"1004.176";"2754.997";" 683.535";" 743.930";"2118.503";" 890.084";"1671.865";"1373.942";"1516.639";" 431.824";"1392.225";"1313.297";" 864.765";" 587.074"
"9pm";"1589.380";"1022.177";"2774.950";" 683.535";" 743.930";"2100.502";" 659.321";"1551.484";"1469.613";"1528.917";" 431.824";"1483.703";"1280.874";" 857.755";" 648.087"
"10pm";"1533.366";" 959.017";"2604.402";" 797.222";" 794.976";"2077.976";" 659.321";"1647.318";"1492.139";"1528.917";" 453.493";"1456.338";"1267.963";" 857.755";" 662.834"
"11pm";"1426.759";" 938.517";"2588.522";" 878.084";" 806.169";"2126.446";" 692.960";"1663.558";"1547.375";"1541.195";" 493.222";"1486.289";"1311.142";" 821.586";" 699.388"
"12pm";"1376.008";" 938.517";"2588.522";" 852.040";" 806.169";"2119.034";" 706.882";"1689.602";"1571.540";"1541.195";" 537.463";"1486.289";"1311.142";" 821.586";" 713.435"
"1am";"1376.008";" 938.517";"2588.522";" 852.040";" 806.169";"2119.034";" 706.882";"1689.602";"1571.540";"1541.195";" 537.463";"1486.289";"1311.142";" 821.586";" 713.435"
"2am";"1376.008";" 938.517";"2588.522";" 852.040";" 806.169";"2119.034";" 706.882";"1716.875";"1571.540";"1541.195";" 537.463";"1486.289";"1311.142";" 821.586";" 713.435"
"3am";"1376.008";" 938.517";"2923.299";" 852.040";" 806.169";"2119.034";" 706.882";"1716.875";"1571.540";"1266.354";" 537.463";"1486.289";"1311.142";" 821.586";" 713.435"
