"district","hour","act1","act2","act3","act4","act5"
"001","4am",97.42452,2.5754811,0,0,0
"002","4am",98.7981,1.2018975,0,0,0
"003","4am",98.73352,1.2664765,0,0,0
"004","4am",95.78272,4.2172779,0,0,0
"005","4am",100,0,0,0,0
"006","4am",100,0,0,0,0
"007","4am",98.94486,0,0,0,1.0551352
"008","4am",99.25876,0.7412393,0,0,0
"009","4am",99.7699,0.2301001,0,0,0
"010","4am",98.59698,0,0,0,1.403016
"011","4am",99.16258,0.8374212,0,0,0
"012","4am",100,0,0,0,0
"013","4am",98.41759,1.0877455,0,0,0
"014","4am",89.18926,10.1322984,0,0,0.678439
"015","4am",99.54335,0.4566456,0,0,0
"016","4am",96.77364,3.2263566,0,0,0
"017","4am",98.74151,1.2584948,0,0,0
"018","4am",98.83489,1.1651131,0,0,0
"019","4am",90.41791,9.5820898,0,0,0
"020","4am",93.86162,5.3533234,0,0,0.7850616
"021","4am",99.46662,0.5333816,0,0,0
"022","4am",100,0,0,0,0
"023","4am",97.97755,1.3877017,0,0,0.6347531
"024","4am",97.70012,1.5542574,0,0,0.7456195
"025","4am",98.36623,1.6337672,0,0,0
"026","4am",100,0,0,0,0
"027","4am",98.9795,0,0,0,1.0204964
"028","4am",98.47271,0.7557376,0,0,0.7715538
"029","4am",100,0,0,0,0
"030","4am",99.29425,0.491141,0,0,0.2146049
"031","4am",100,0,0,0,0
"001","5am",95.89308,4.1069155,0,0,0
"002","5am",98.77271,1.2272915,0,0,0
"003","5am",96.91171,3.0882903,0,0,0
"004","5am",94.97982,4.2537755,0,0,0.7664082
"005","5am",100,0,0,0,0
"006","5am",100,0,0,0,0
"007","5am",95.3445,3.6189336,0,0,1.03657
"008","5am",99.24624,0.7537582,0,0,0
"009","5am",98.10254,1.8974589,0,0,0
"010","5am",97.65874,0.9352597,0,0,1.4060051
"011","5am",98.22156,1.7784449,0,0,0
"012","5am",98.30421,0.3803339,0,0,0
"013","5am",97.76387,2.2361334,0,0,0
"014","5am",78.57937,20.8199895,0,0,0.6006357
"015","5am",96.76027,3.2397344,0,0,0
"016","5am",96.73125,3.2687502,0,0,0
"017","5am",96.286,3.7140012,0,0,0
"018","5am",98.80134,1.1986589,0,0,0
"019","5am",82.08006,17.9199431,0,0,0
"020","5am",85.84535,13.4320377,0,0,0.7226142
"021","5am",98.38827,0.5506904,0,0,1.0610414
"022","5am",99.37725,0.6227515,0,0,0
"023","5am",97.95079,1.406063,0,0,0.6431518
"024","5am",96.39485,2.8649552,0,0,0.7401905
"025","5am",97.3322,2.667796,0,0,0
"026","5am",100,0,0,0,0
"027","5am",98.97125,0,0,0,1.0287451
"028","5am",95.66871,3.5421896,0,0,0.7890982
"029","5am",99.70854,0.2914577,0,0,0
"030","5am",98.95924,0.8227968,0,0,0.2179637
"031","5am",100,0,0,0,0
"001","6am",93.52117,6.1007077,0,0,0.3781263
"002","6am",96.26859,3.7314086,0,0,0
"003","6am",94.4693,5.5306981,0,0,0
"004","6am",94.38999,3.6756106,0,0,0.7832546
"005","6am",98.83812,1.1618818,0,0,0
"006","6am",97.19759,2.2928391,0.5095663,0,0
"007","6am",91.70578,7.2792011,0,0,1.0150151
"008","6am",98.53999,1.460014,0,0,0
"009","6am",97.41333,2.5866694,0,0,0
"010","6am",96.78249,1.7642035,0,0,1.4533103
"011","6am",95.58562,4.414379,0,0,0
"012","6am",97.20038,2.7996225,0,0,0
"013","6am",97.69394,2.3060551,0,0,0
"014","6am",65.24419,29.1327287,1.8695594,0,2.7709913
"015","6am",96.54834,3.4516611,0,0,0
"016","6am",96.5653,3.4347031,0,0,0
"017","6am",95.37673,3.6914323,0,0,0.9318364
"018","6am",98.73941,1.2605864,0,0,0
"019","6am",75.56084,23.5105556,0.5796738,0,0
"020","6am",82.51453,16.9658799,0,0,0.5195855
"021","6am",96.56975,3.4302476,0,0,0
"022","6am",96.74594,3.2540633,0,0,0
"023","6am",97.88648,1.4501849,0,0,0.6633337
"024","6am",93.24944,5.9996412,0,0,0.7509151
"025","6am",96.22145,3.7785544,0,0,0
"026","6am",96.85767,3.1423287,0,0,0
"027","6am",98.93948,0,0,0,1.060517
"028","6am",92.91537,5.2818952,0,0,1.8027336
"029","6am",96.9919,2.7031627,0,0,0
"030","6am",96.9572,2.8193061,0,0,0.2234966
"031","6am",97.31373,0.7491139,0,0,0.7155542
"001","7am",84.95064,11.780799,0,0,0.3947839
"002","7am",87.29593,4.651992,6.3533269,0.3543236,0.3033814
"003","7am",62.67608,17.873056,15.8126527,0.7651927,0
"004","7am",79.00863,13.886578,6.3558394,0,0.7489522
"005","7am",85.25832,6.284299,6.592317,0,1.0294809
"006","7am",92.11835,3.533271,0.6753418,0,1.0793145
"007","7am",72.99592,19.167662,2.4282837,0,1.9987122
"008","7am",92.14887,7.041186,0.8099418,0,0
"009","7am",78.96465,10.625969,8.14305,0,0.3662084
"010","7am",83.39325,13.440157,0.534868,0,1.8162494
"011","7am",80.29452,12.769522,5.5540837,0,0.4708089
"012","7am",92.24893,7.518311,0.2327638,0,0
"013","7am",88.49417,11.505827,0,0,0
"014","7am",33.08575,46.559922,16.773737,0.3220438,1.8673056
"015","7am",86.51662,13.483376,0,0,0
"016","7am",88.99391,11.006094,0,0,0
"017","7am",85.35959,12.524392,0,1.0472065,1.0688156
"018","7am",91.51106,8.488942,0,0,0
"019","7am",52.85089,41.107359,6.0417491,0,0
"020","7am",51.23061,44.893367,2.8446091,1.0314095,0
"021","7am",95.10776,4.390553,0,0,0.5016877
"022","7am",86.5454,8.213447,1.5859308,0,0.8076247
"023","7am",86.05578,9.760353,0.7171819,0,2.3235313
