"district","hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"003","7am",2180.0536,2183.9348,3256.5893,2354.2046,873.05825
"004","7am",676.2913,918.8968,1582.3786,986.062,613.61996
"005","7am",1976.6993,1113.9851,1978.8314,2487.7972,927.50514
"006","7am",665.5371,624.3315,1842.5811,1838.8721,999.62203
"007","7am",332.2537,922.5217,1543.0236,1190.1582,176.84332
"008","7am",1895.0123,1601.9321,710.065,240.7336,0
"009","7am",1433.1906,1656.5161,2462.3779,1191.3699,621.22355
"010","7am",1689.454,1474.7976,1353.8921,737.1392,83.14339
"011","7am",583.6666,1649.2895,1684.2803,1141.5489,428.34028
"012","7am",3294.3307,1709.3596,766.2749,232.6974,0
"013","7am",1312.5694,502.741,484.5044,163.3784,110.62752
"014","7am",1125.8523,2210.8977,2248.2795,811.5366,365.68355
"015","7am",202.7832,808.5265,1193.0017,556.9114,212.59107
"016","7am",225.4269,369.8546,1390.2933,809.9675,416.72706
"017","7am",233.1377,1136.4406,983.5875,894.2039,636.77918
"018","7am",943.3001,1013.9571,886.466,534.6389,42.80939
"019","7am",561.3257,1509.3137,1603.1465,477.7892,191.09992
"020","7am",412.3887,2038.4493,2726.9089,1028.157,184.82159
"021","7am",1198.4203,1356.3785,1810.9394,933.6784,207.00488
"022","7am",994.2982,2935.169,3588.7755,1309.8252,326.52337
"023","7am",277.9386,1552.9197,1382.3297,2005.45,266.53141
"024","7am",1399.9453,1299.0628,3419.6592,1656.023,346.63834
"025","7am",586.1952,2073.6574,3149.8102,1478.036,362.47093
"026","7am",236.337,1438.2283,2125.2103,1296.5279,244.11281
"027","7am",1280.259,2031.7205,1893.4041,1794.7629,298.04067
"028","7am",1412.0327,1145.1019,2618.1061,1170.4741,83.32391
"029","7am",331.5835,2230.7889,3345.8943,1885.5847,150.08406
"030","7am",1940.7529,3188.9043,3221.4791,1367.783,216.67071
"031","7am",1694.9548,3404.2383,1080.5581,2387.65,293.38562
"001","8am",384.8365,1048.4603,1842.7268,889.8546,709.45558
"002","8am",931.5569,2466.4586,2939.3403,1563.7893,198.46117
"003","8am",2480.3851,2382.5307,3419.6559,3102.9,927.3363
"004","8am",804.6748,964.643,1819.9363,1042.9131,519.67392
"005","8am",1950.131,1003.3913,1865.3182,1814.2085,721.52593
"006","8am",579.8198,446.6857,1551.6239,1528.0124,788.47868
"007","8am",383.0471,1223.6374,1712.7945,973.2517,203.11609
"008","8am",1795.491,1427.7587,831.7822,697.3076,0
"009","8am",1250.2256,1447.4661,2135.6728,1023.1222,640.61402
"010","8am",1631.7571,1542.9614,1218.5312,852.9996,99.75861
"011","8am",669.0257,1533.2271,1494.0143,923.7944,417.48763
"012","8am",2870.2572,1624.9073,746.8297,462.3977,62.98235
"013","8am",1174.3265,381.1356,651.6647,204.503,149.95521
"014","8am",1332.8159,2447.5246,3051.0652,1841.6322,900.95517
"015","8am",160.1591,734.2273,1056.9707,662.7996,212.59107
"016","8am",202.9495,368.7125,1244.712,544.8136,343.53054
"017","8am",207.5117,1039.4483,734.7889,558.0612,391.10713
"018","8am",873.4234,870.6336,677.5298,700.0066,94.3371
"019","8am",728.4542,1594.1806,1828.778,583.603,390.41505
"020","8am",934.506,2612.3735,4306.5372,1648.3099,236.60558
"021","8am",1008.9793,1374.5016,1693.7436,776.0182,178.77379
"022","8am",924.5058,2662.1323,3362.0749,1297.6592,326.52337
"023","8am",277.9386,1443.3804,1198.0491,1780.9594,203.82744
"024","8am",1381.8969,1352.8047,3190.5177,1410.5307,228.34404
"025","8am",568.9147,1969.3965,2871.0693,1437.6221,387.60182
"026","8am",236.337,1471.3549,1860.8914,1057.6116,208.83794
"027","8am",1280.259,1682.6811,1532.4096,1323.5753,138.47592
"028","8am",1236.2523,1265.816,2484.1829,1206.1991,115.67482
"029","8am",331.5835,2066.7581,2955.7095,1139.5999,150.08406
"030","8am",1599.4311,3195.2366,2681.0555,967.5445,245.32561
"031","8am",1624.5333,3424.7994,1118.5116,2139.4056,293.38562
"001","9am",435.2704,1158.5834,2125.2751,1215.8104,705.2564
"002","9am",976.6326,2812.1106,2840.6094,1757.2455,194.22275
"003","9am",2406.3196,3035.4735,3611.727,3157.4507,1066.73437
"004","9am",953.2488,863.0354,1826.2288,1145.9427,542.96627
"005","9am",1898.1495,915.867,2020.8411,1593.4623,669.3348
"006","9am",516.8375,446.6857,1414.3167,1272.9235,663.20443
"007","9am",445.4626,1250.9101,1546.6574,861.6905,141.20797
"008","9am",1676.4655,1318.9147,954.9041,666.7433,0
"009","9am",1412.432,1411.3348,2099.747,1284.045,600.22775
"010","9am",1601.3484,1478.419,1187.8037,861.136,160.89508
"011","9am",682.6883,1537.7783,1176.8699,1152.1588,437.64357
"012","9am",2680.0964,1521.9845,587.1751,544.2426,62.98235
"013","9am",1058.3049,330.6465,591.8278,187.5286,85.8108
"014","9am",1348.0785,2676.5773,3529.0285,1869.8422,853.05303
"015","9am",223.1415,666.1801,1056.5695,605.9067,311.46187
"016","9am",180.472,300.4753,1126.1779,665.2975,343.53054
"017","9am",180.3078,991.6154,701.014,511.6537,311.05948
"018","9am",801.7109,772.7046,564.7274,615.4243,94.3371
"019","9am",632.5804,1503.8668,1864.3057,761.9759,301.25469
"020","9am",1218.7943,3471.1702,5609.4275,2307.7956,424.96237
"021","9am",1025.618,1388.4613,1395.1703,856.0875,134.19453
"022","9am",952.1309,2457.3175,2865.5461,1131.663,326.52337
"023","9am",277.9386,1298.0075,1139.1861,1404.3547,248.4067
"024","9am",1381.8969,1405.8991,2748.0614,1224.4638,180.62011
"025","9am",568.9147,1919.0043,2713.9225,1116.8365,387.60182
"026","9am",236.337,1223.0278,1503.7553,976.8033,281.64829
"027","9am",1197.4024,1430.0528,959.885,1255.1813,138.47592
"028","9am",1215.7364,1241.5446,2564.6763,1217.697,162.55491
"029","9am",331.5835,1862.034,2618.7158,1002.3236,71.36904
"030","9am",1678.1142,3108.6404,2481.0251,1352.1819,245.32561
"031","9am",1624.5333,3149.629,1118.5116,2050.8004,267.09322
"001","10am",570.1788,1391.353,2362.0122,1377.282,775.64919
"002","10am",949.0822,2447.4099,2657.1815,2099.3553,219.30239
"003","10am",2597.0725,2827.629,3629.9408,3012.9611,940.56066
"004","10am",884.0127,916.0363,1816.7498,1290.51,474.93324
"005","10am",1873.1133,910.5591,1895.4661,1487.2157,669.3348
"006","10am",624.8955,567.899,1392.4841,1190.7277,713.99778
"007","10am",514.8798,1303.6586,1570.5394,783.4669,189.93858
"008","10am",1594.3062,1301.4682,939.3656,802.9572,0
"009","10am",1292.5329,1470.351,1940.4432,1128.1477,488.71023
"010","10am",1475.282,1450.1165,994.9401,731.9585,144.27986
"011","10am",788.1591,1427.766,1342.5201,1046.3325,431.98659
"012","10am",2651.3521,1460.1099,741.9178,648.9816,62.98235
"013","10am",1025.6637,412.4863,650.7484,127.7019,149.95521
"014","10am",1119.0779,2624.0797,3501.2251,1874.0333,829.10196
"015","10am",146.8086,686.8203,1164.5361,502.3788,329.16336
"016","10am",212.8091,347.9625,1077.497,604.7136,277.09844
"017","10am",250.7524,971.9612,694.1138,547.3215,192.36505
"018","10am",770.6934,995.9058,582.5215,455.6008,94.3371
"019","10am",661.97,1465.786,1820.2832,737.8611,397.58964
"020","10am",1075.6551,3584.1471,6150.6372,2579.9075,421.13776
"021","10am",1053.2431,1452.8614,1094.2827,831.582,134.19453
"022","10am",924.5058,2775.3195,2956.1134,990.8242,371.10263
"023","10am",277.9386,1230.0476,1152.8671,1346.508,203.82744
"024","10am",1381.8969,1279.2574,2919.204,963.402,141.49366
