"district","hour","sex1","sex2"
"014","10am",50.14341,49.85659
"015","10am",41.92798,58.07202
"016","10am",56.42312,43.57688
"017","10am",51.76965,48.23035
"018","10am",42.89091,57.10909
"019","10am",51.00477,48.99523
"020","10am",42.03285,57.96715
"021","10am",44.46744,55.53256
"022","10am",48.21308,51.78692
"023","10am",43.24241,56.75759
"024","10am",46.15951,53.84049
"025","10am",40.27793,59.72207
"026","10am",48.31071,51.68929
"027","10am",42.99367,57.00633
"028","10am",44.00368,55.99632
"029","10am",49.2484,50.7516
"030","10am",51.60943,48.39057
"031","10am",48.79159,51.20841
"001","11am",48.30092,51.69908
"002","11am",37.97051,62.02949
"003","11am",41.36861,58.63139
"004","11am",37.25099,62.74901
"005","11am",33.70076,66.29924
"006","11am",36.88756,63.11244
"007","11am",44.73253,55.26747
"008","11am",38.39342,61.60658
"009","11am",39.87716,60.12284
"010","11am",45.95375,54.04625
"011","11am",42.02235,57.97765
"012","11am",41.85071,58.14929
"013","11am",51.11314,48.88686
"014","11am",51.28142,48.71858
"015","11am",43.25447,56.74553
"016","11am",56.35186,43.64814
"017","11am",49.09519,50.90481
"018","11am",44.19195,55.80805
"019","11am",48.27217,51.72783
"020","11am",41.45148,58.54852
"021","11am",47.30072,52.69928
"022","11am",45.6414,54.3586
"023","11am",48.66355,51.33645
"024","11am",47.1411,52.8589
"025","11am",41.96401,58.03599
"026","11am",47.52803,52.47197
"027","11am",41.24954,58.75046
"028","11am",46.66222,53.33778
"029","11am",50.68006,49.31994
"030","11am",51.55006,48.44994
"031","11am",48.55489,51.44511
"001","12am",50.20816,49.79184
"002","12am",40.72911,59.27089
"003","12am",42.33724,57.66276
"004","12am",41.43353,58.56647
"005","12am",35.04729,64.95271
"006","12am",37.26091,62.73909
"007","12am",45.21003,54.78997
"008","12am",42.51124,57.48876
"009","12am",41.44823,58.55177
"010","12am",46.55216,53.44784
"011","12am",45.69473,54.30527
"012","12am",41.86236,58.13764
"013","12am",49.91555,50.08445
"014","12am",48.07885,51.92115
"015","12am",41.20465,58.79535
"016","12am",54.65295,45.34705
"017","12am",44.67783,55.32217
"018","12am",42.59751,57.40249
"019","12am",47.83008,52.16992
"020","12am",41.27966,58.72034
"021","12am",43.69193,56.30807
"022","12am",43.15758,56.84242
"023","12am",44.96089,55.03911
"024","12am",46.82476,53.17524
"025","12am",43.62671,56.37329
"026","12am",47.81644,52.18356
"027","12am",39.14182,60.85818
"028","12am",49.7556,50.2444
"029","12am",51.21805,48.78195
"030","12am",52.00163,47.99837
"031","12am",48.34015,51.65985
"001","1pm",46.74223,53.25777
"002","1pm",40.87685,59.12315
"003","1pm",42.22471,57.77529
"004","1pm",37.92101,62.07899
"005","1pm",39.6068,60.3932
"006","1pm",36.74115,63.25885
"007","1pm",43.96167,56.03833
"008","1pm",41.60826,58.39174
"009","1pm",41.03016,58.96984
"010","1pm",46.6105,53.3895
"011","1pm",47.12263,52.87737
"012","1pm",38.09863,61.90137
"013","1pm",48.59894,51.40106
"014","1pm",51.40148,48.59852
"015","1pm",43.14441,56.85559
