"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080";"081";"082";"083";"084";"085";"086";"087";"088";"089";"090";"091";"092";"093";"094";"095";"096";"097";"098";"099";"100";"101";"102";"103";"104"
"12am";" 4062.239";" 9815.573";" 3598.279";" 1851.592";" 2074.235";" 3137.538";" 4105.449";"  901.960";" 1240.066";" 1063.924";"    0.000";"  756.170";" 1924.329";" 1525.645";" 3778.829";" 1260.016";" 1512.584";"    0.000";"  767.733";"  938.306";"  867.606";" 1722.721";" 1544.152";" 2398.002";" 1433.602";"    0.000";" 2358.378";"    0.000";"    0.000";" 1673.117";" 5385.745";"    0.000";"    0.000";"0";" 7632.280";" 1526.794";" 1200.891";" 4494.024";" 2621.571";"  815.075";" 2025.757";"    0.000";"  918.384";"    0.000";" 1711.213";" 1136.426";"  767.219";" 2621.873";" 1030.454";"  842.038";" 1099.224";"    0.000";"  716.024";"    0.000";" 4952.801";" 1293.000";" 1071.322";" 3824.491";" 1668.411";" 1035.435";" 2268.793";" 3743.432";"  901.801";"    0.000";"  898.942";" 1847.168";"    0.000";" 3821.241";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 1778.595";"11944.721";" 3651.596";" 2968.860";" 1034.107";"    0.000";"    0.000";"    0.000";"  561.848";"    0.000";" 1713.165";"  666.937";" 1312.568";" 1866.126";" 2477.808";" 1885.169";" 1432.166";" 4637.524";"    0.000";" 1203.826";"    0.000";" 3847.930";" 3737.074";" 3026.603";" 1121.923";" 6605.862";"    0.000";"    0.000";"    0.000";" 1594.118"
"1pm";" 3664.178";" 9526.962";" 3674.105";" 2239.944";" 2358.195";" 2769.682";" 4879.135";" 1420.292";" 1302.429";"  955.101";"  669.995";"  860.394";" 1990.768";" 1437.513";" 3837.437";" 1477.637";" 1439.566";"    0.000";" 1013.137";" 1267.972";" 1004.821";" 1778.264";" 1648.017";" 2736.171";" 1491.528";"    0.000";" 2523.528";"    0.000";"    0.000";" 1992.510";" 5773.763";"    0.000";"  945.162";"    0.000";" 7974.771";" 1593.436";" 1388.017";" 4015.294";" 2730.775";"  945.460";" 1879.412";"    0.000";"  877.107";"    0.000";" 1808.375";" 1139.721";"    0.000";" 3192.653";" 1276.571";"  992.121";" 1030.507";"    0.000";"  763.865";"    0.000";" 5098.535";" 1269.543";" 1086.413";" 3835.442";" 2316.745";"  838.960";" 2118.022";" 4094.647";" 1056.635";"    0.000";" 1065.685";" 2146.206";"  737.648";" 3765.392";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 1991.517";"12744.870";" 3485.852";" 2840.747";"    0.000";"    0.000";"    0.000";"0";"  614.249";"    0.000";" 1791.586";"  738.541";" 1329.953";" 1733.866";" 2310.529";" 2628.565";" 1592.401";" 5150.550";"    0.000";" 1428.522";"    0.000";" 4632.814";" 4121.710";" 2950.999";" 1173.630";" 6461.448";"    0.000";"    0.000";"    0.000";" 1839.830"
"2pm";" 3639.504";" 9513.942";" 4424.349";" 2316.700";" 2454.613";" 2807.871";" 4689.952";" 1509.983";" 1190.379";"  963.541";" 1059.769";"  869.534";" 2413.044";" 1334.388";" 3938.430";" 1577.480";" 1352.574";"    0.000";" 1013.137";" 1283.588";"  929.378";" 1623.341";" 1860.381";" 3117.237";" 1737.546";"    0.000";" 2487.835";"    0.000";"    0.000";" 1978.432";" 5767.033";"    0.000";" 1004.763";"    0.000";" 7683.419";" 1854.407";" 1669.822";" 4080.541";" 2867.714";"  969.141";" 1668.277";"    0.000";"  814.490";"    0.000";" 1924.509";" 1223.307";" 1079.813";" 3634.227";" 1168.583";"  837.571";" 1030.507";"    0.000";"  802.883";"    0.000";" 4938.002";" 1235.448";"  996.552";" 3518.087";" 2695.537";"  785.572";" 2223.670";" 4632.194";" 1259.259";"  858.050";" 1169.445";" 2425.752";"    0.000";" 3735.200";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 2146.625";"12299.849";" 3614.849";" 2579.564";" 1134.170";"    0.000";"    0.000";"0";"  719.465";"    0.000";" 1702.819";"  922.490";" 1353.120";" 1770.065";" 2052.263";" 2708.573";" 1762.331";" 5094.460";"    0.000";" 1753.787";"    0.000";" 4934.047";" 3610.210";" 2635.756";" 1321.908";" 6737.316";"    0.000";"    0.000";"    0.000";" 2389.479"
"3pm";" 3518.268";" 9716.044";" 3999.803";" 2216.937";" 2096.879";" 2879.035";" 4822.492";" 1625.133";" 1193.461";" 1234.767";"  936.058";"  762.806";" 2476.301";" 1382.308";" 3737.859";" 1498.823";" 1389.481";"    0.000";" 1046.145";" 1262.884";"  942.369";" 1444.639";" 1514.810";" 3348.267";" 1521.118";"    0.000";" 2410.070";"    0.000";"    0.000";" 1905.029";" 5651.519";"    0.000";"  836.225";"    0.000";" 7636.363";" 1725.332";" 1628.286";" 3953.779";" 2546.986";" 1024.773";" 1350.318";"    0.000";"  845.911";"    0.000";" 2051.171";" 1348.554";"  832.182";" 3095.057";" 1530.149";"  802.420";" 1067.848";"    0.000";"  850.458";"    0.000";" 4489.082";" 1207.451";" 1093.377";" 3548.712";" 2667.090";"    0.000";" 2255.779";" 4776.215";"    0.000";"    0.000";" 1123.234";" 2087.103";"  802.518";" 4184.286";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 2117.630";"12407.243";" 3409.741";" 2497.036";" 1134.170";"    0.000";"    0.000";"0";"  774.115";"    0.000";" 2176.995";"  987.783";" 1450.988";" 1474.301";" 2206.744";" 2535.775";" 1741.313";" 4868.076";"    0.000";" 1848.725";"    0.000";" 5132.483";" 3221.334";" 2842.820";" 1328.052";" 6488.032";"    0.000";"    0.000";"    0.000";" 1691.946"
"4pm";" 2825.782";" 8592.083";" 3630.320";" 1708.344";" 2586.992";" 2774.250";" 3835.852";" 1307.939";" 1037.520";" 1035.522";"    0.000";"  747.614";" 1851.142";" 1288.906";" 3025.694";"  893.572";" 1562.915";"  666.117";"  696.581";" 1069.632";"  805.449";" 1437.354";" 1430.009";" 2756.938";" 1029.979";"    0.000";" 1552.802";"    0.000";"    0.000";" 1881.685";" 5043.198";"    0.000";"  818.298";"    0.000";" 6224.372";" 1630.044";" 1282.721";" 3732.090";" 1702.890";"  850.498";" 1325.947";"    0.000";"  727.124";"    0.000";" 1693.343";" 1268.605";"    0.000";" 2850.216";" 1248.366";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 3809.882";"  988.245";"  763.780";" 3106.332";" 2358.324";"    0.000";" 2321.867";" 4067.749";"    0.000";"    0.000";"  899.398";" 2283.140";"    0.000";" 3515.872";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 1768.240";"11355.559";" 2852.732";" 2417.676";"  873.031";"    0.000";"    0.000";"0";"  750.409";"    0.000";" 1485.698";"    0.000";" 1084.947";" 1643.742";" 1585.097";" 1837.348";" 1331.363";" 4621.767";"    0.000";" 1227.759";"    0.000";" 4127.586";" 2542.024";" 2336.175";" 1101.752";" 5640.998";"    0.000";"    0.000";"    0.000";" 1293.789"
"5pm";"1858.874";"7496.353";"2467.785";"1132.280";"2003.756";"2462.880";"2468.767";"1281.697";"   0.000";"   0.000";"   0.000";"   0.000";"1527.866";"1150.530";"1955.728";" 679.240";" 912.996";"   0.000";"   0.000";" 953.514";"   0.000";"1223.141";"   0.000";"2381.245";"   0.000";"   0.000";"1340.711";"   0.000";"   0.000";"1121.875";"3068.771";"   0.000";" 669.370";"   0.000";"3753.630";" 899.363";"1245.164";"3353.664";" 957.273";"   0.000";"1072.245";"   0.000";"   0.000";"   0.000";" 962.382";" 776.692";"   0.000";"2444.953";"1009.152";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"2741.391";" 915.066";"   0.000";"2299.876";"2067.570";" 922.570";"1604.849";"2855.730";"   0.000";"   0.000";" 864.912";"1599.098";"   0.000";"2950.100";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 914.995";"8407.845";"1546.903";"2150.982";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"1017.261";"   0.000";" 817.542";" 898.452";" 700.619";"1384.077";"   0.000";"2957.365";"   0.000";"   0.000";"   0.000";"2623.893";" 902.622";"2422.204";"   0.000";"4517.968";"   0.000";"   0.000";"   0.000";"   0.000"
"6pm";"1545.719";"4721.609";"1568.421";" 945.941";"1422.587";"2006.511";"1831.246";" 833.314";"   0.000";"   0.000";"   0.000";"   0.000";" 926.305";"1005.322";"1207.862";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 688.910";"   0.000";"1288.566";"   0.000";"   0.000";" 817.909";"   0.000";"   0.000";"   0.000";"1902.191";"   0.000";" 773.023";"   0.000";"2306.031";"   0.000";"   0.000";"2275.904";" 895.069";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1887.621";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1407.316";" 648.125";"   0.000";"1240.510";"1239.018";"   0.000";"1105.130";"2260.949";"   0.000";"   0.000";"   0.000";" 924.371";"   0.000";"1881.144";"0";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"3155.327";" 793.859";"1110.849";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 973.626";"   0.000";" 833.511";"   0.000";"1138.424";"   0.000";"   0.000";"   0.000";"1450.164";" 683.109";"   0.000";"   0.000";"3079.757";"   0.000";"   0.000";"   0.000";"   0.000"
"7pm";"1262.208";"2931.234";"   0.000";" 756.358";"1232.863";"1343.865";"1147.597";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 705.348";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1124.536";"   0.000";"   0.000";"   0.000";"1138.451";"   0.000";"   0.000";"1308.770";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1007.771";"   0.000";"   0.000";" 902.293";"   0.000";"   0.000";" 785.030";"1707.257";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 882.903";"0";"0";"   0.000";"   0.000";"0";"   0.000";"   0.000";"1423.535";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 660.643";"   0.000";" 718.250";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1055.736";"   0.000";"   0.000";"   0.000";"1991.079";"   0.000";"0";"   0.000";"   0.000"
"8pm";"1546.646";"1824.426";"   0.000";"   0.000";" 753.998";"1027.169";" 818.534";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 840.362";"   0.000";"   0.000";" 939.912";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 661.796";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"1037.697";"0";"0";"   0.000";"   0.000";"0";"0";"   0.000";"1021.870";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1511.367";"   0.000";"0";"   0.000";"   0.000"
"9pm";"1455.708";"1390.177";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";" 728.660";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0";"   0.000";"   0.000";"0";"0";"   0.000";" 879.099";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1154.254";"   0.000";"0";"   0.000";"   0.000"
