"district","hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"001","4am",2528.088,2886.746,3717.3,4944.281,1731.275
"002","4am",1373.784,2840.754,3636.551,3618.224,634.892
"003","4am",3022.341,4270.782,1999.118,1608.33,140.154
"004","4am",1167.586,2875.308,3202.429,899.849,163.471
"005","4am",1175.731,2729.44,4489.153,1646.404,486.719
"006","4am",3251.746,5461.119,2642.985,540.49,159.047
"007","4am",1917.103,4467.402,2896.51,1824.426,248.816
"008","4am",1979.266,4300.175,3396.462,1299.1,355.416
"009","4am",904.516,2918.02,2011.897,2641.053,1027.191
"010","4am",850.964,2956.016,2155.492,1200.481,536.974
"011","4am",607.781,3455.525,1037.294,739.935,234.665
"012","4am",1342.086,3637.638,2660.03,2147.802,550.054
"013","4am",2055.426,7600.916,3499.115,1781.345,93.341
"014","4am",1516.256,6473.857,4457.387,1619.542,87.69
"015","4am",1840.089,5771.936,4182.857,1916.072,176.211
"016","4am",495.252,3360.628,3270.14,2710.01,453.328
"017","4am",1010.576,4559.657,3182.256,4625.246,1638.25
"018","4am",526.367,5603.313,4956.334,3476.44,976.992
"019","4am",305.377,1535.733,1240.418,1581.311,273.522
"020","4am",1085.33,2551.88,1988.076,1459.671,100.958
"021","4am",957.204,3057.203,1405.779,1580.475,431.217
"022","4am",1882.871,3043.393,1909.242,1570.563,226.384
"023","4am",373.754,1262.054,877.586,1050.619,239.436
"024","4am",1990.115,4749.027,1520.021,1993.887,180.964
"025","4am",3031.993,3421.12,2247.848,1535.812,302.641
"026","4am",62.156,931.873,657.981,987.4,98.406
"027","4am",540.068,2763.953,1691.257,1122.094,231.083
"028","4am",336.982,2581.602,1016.459,830.495,273.853
"029","4am",165,1090.557,589.84,671.578,0
"030","4am",832.997,4214.21,2989.08,1681.138,677.71
"031","4am",152.866,520.145,576.065,414.648,78.03
"032","4am",1390.406,3419.328,2554.229,1798.812,250.99
"033","4am",160.722,1417.969,796.539,1024.614,269.734
"034","4am",1936.836,3633.709,4050.029,1665.178,532.508
"035","4am",285.134,1283.217,2085.533,1247.291,45.16
"036","4am",271.754,2160.011,1982.719,1763.981,205.264
"037","4am",181.05,648.413,596.093,1377.115,60.528
"038","4am",355.522,2490.172,1094.501,1569.658,76.61
"039","4am",429.105,3876.265,2400.602,801.662,716.779
"040","4am",252.725,1446.678,1264.141,1289.9,259.704
"041","4am",215.95,3184.521,2886.263,1688.452,212.2
"042","4am",687.893,1462.257,1876.051,1862.307,529.173
"043","4am",186.712,1893.538,2069.366,1719.655,117.344
"044","4am",110.289,712.977,1042.291,1192.783,302.265
"045","4am",381.911,4384.828,2263.466,1804.771,215.004
"046","4am",1086.008,6732.089,2980.642,3694.59,1201.45
"047","4am",285.648,2740.995,2186.066,1891.063,255.185
"048","4am",406.226,5437.546,2407.339,3028.736,81.891
"049","4am",1311.118,5417.438,2237.663,1587.837,79.354
"050","4am",234.444,2871.182,1715.652,1801.236,77.424
"051","4am",173.014,928.514,679.831,884.526,75.496
"052","4am",412.278,1323.472,925.19,1117.211,188.17
"001","5am",2336.173,2853.981,3793.776,4944.281,1731.275
"002","5am",1308.886,2738.877,3676.016,3640.02,634.892
