"hour","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","019","020","028"
"min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",11159.32112,11159.32112,11159.32112,11159.32112,11159.32112,11159.32112,11159.32112,11159.32112,11159.32112,11159.32112,11159.32112,11159.32112,11159.32112,11159.32112,11159.32112,11159.32112,11159.32112,11159.32112,11159.32112,11159.32112
"4am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,966.55192,0,0,0,0,0
"6am",0,0,0,0,0,1215.57995,0,0,0,0,0,890.71157,0,1067.2312,1236.28572,0,0,0,0,0
"7am",2206.2157,2096.22491,3910.04849,2062.78096,2496.39477,4017.76163,1209.67786,564.51904,1094.19761,2478.92881,0,3203.96193,1148.07387,3567.66896,3426.88431,1949.38324,1537.65697,0,0,0
"8am",7223.64197,5225.61072,8088.89014,5003.99811,6961.90116,7505.48548,2333.44425,1591.22191,1871.69502,4450.28671,1180.87169,6476.69853,2128.46949,4419.04675,5794.93318,3193.7279,3007.8219,1102.43853,0,0
"9am",8849.10673,6457.00047,8832.70405,5964.01373,8183.74887,8550.94428,2684.9905,2030.62664,2294.40025,5599.41844,1224.42145,7222.52269,2349.34489,4230.79084,6408.27465,3536.3492,3682.66874,1155.0998,606.31507,0
"10am",9827.94637,6634.26208,8999.15505,6324.18534,8626.61125,8962.05044,2449.01948,2250.62796,2432.07987,5682.53042,1881.92772,7059.73815,2314.10038,4161.1263,6824.3461,3638.52797,3179.85615,1155.0998,684.14773,543.98428
"11am",9991.90745,6941.09229,8935.24291,5702.66175,8482.87968,8470.7474,2401.03874,2125.67494,2337.75925,5338.61259,1802.47142,7058.13127,1917.01919,4374.09832,5975.11191,3581.3309,2794.97457,1165.57827,594.24971,0
"12am",9067.26493,5754.82585,6650.49975,4695.20657,6739.9766,6346.83432,2512.62467,2140.88717,1454.50502,4396.70786,2092.64294,6014.01629,1565.43164,3681.8732,4286.3217,2744.1054,2412.94682,924.84452,0,0
"1pm",9835.44065,5520.58373,8856.85294,5205.45745,7664.78083,7732.28302,2848.32567,1962.82547,1840.36328,5177.1857,1743.69852,6869.30013,2025.44408,3936.15945,5483.0095,3418.45258,2971.26845,946.37966,0,0
"2pm",10836.28816,5321.58503,8838.3842,5888.84114,7197.36963,8549.30261,3346.67936,2313.45991,2119.90541,5664.59584,2383.92864,7458.17562,2067.96574,4285.73157,5760.20381,3529.8874,3487.64373,1168.55802,887.11198,0
"3pm",11159.32112,5854.8506,8006.2656,5248.83831,7065.56918,8435.81762,3304.98998,2669.62225,1966.69384,5400.05658,2031.63359,7067.13634,1869.88815,3855.9743,5971.18631,3519.12671,3509.0087,1330.34075,907.85133,0
"4pm",9945.4897,5548.11251,6187.75457,4195.99995,5295.61453,7147.90777,2955.39485,2997.32423,1929.08673,4224.52493,1888.4583,5983.21953,1781.5656,3521.18496,4851.142,2492.30549,3376.89979,977.34045,724.30198,0
"5pm",6660.21398,4274.0862,3645.85379,3752.36437,3774.7004,3725.05732,1664.25772,2866.92706,1248.60686,2167.82519,1428.8863,3312.63151,880.95924,2787.41798,2694.69561,1628.09881,2121.84258,0,0,0
"6pm",5359.05174,3166.77412,2376.31955,1605.83842,1825.64892,2446.70089,1406.53176,2781.80708,1506.66874,1697.05599,729.06402,2206.25306,0,1436.26017,1761.13723,714.48899,1466.1588,0,0,0
"7pm",4217.0243,2789.09611,1383.16321,1586.25661,1079.2369,1710.79287,1259.11422,898.74271,1040.11812,1344.64829,0,1083.83394,0,0,819.90029,0,862.78755,0,0,0
"8pm",3103.5213,2455.90466,1894.23756,951.75059,0,1579.17524,955.04122,0,0,856.7929,0,942.59859,0,0,0,0,774.73466,0,0,0
"9pm",3011.97701,2152.02038,1725.01249,844.74434,0,1577.54781,0,0,0,0,0,809.73359,0,0,0,0,0,0,0,0
"10pm",2174.61292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11pm",1601.98801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12pm",1209.80192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1am",1100.95279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
