"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857";"18048.857"
"4am";" 72.722";" 52.256";"  0.000";"  0.000";"  0.000";"155.244";"218.824";"  0.000";"  0.000";" 22.761";"  0.000";" 94.042";"  0.000";"  0.000";"183.226";" 48.492";"142.919";"245.535";"  0.000";"  0.000";"  0.000";" 98.956";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";" 45.160";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";" 45.935";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000"
"5am";" 72.722";" 52.256";"191.915";"  0.000";"  0.000";"155.244";"218.824";"  0.000";"  0.000";" 22.761";"  0.000";" 94.042";"  0.000";"  0.000";"183.226";" 48.492";"142.919";"245.535";"  0.000";"  0.000";"  0.000";" 98.956";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";" 45.160";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";" 45.935";"  0.000";" 97.791";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000"
"6am";" 72.722";" 52.256";" 46.077";"  0.000";"  0.000";"155.244";"218.824";"  0.000";"  0.000";" 22.761";"  0.000";" 94.042";"  0.000";" 43.845";"259.252";" 48.492";"231.761";"245.535";"  0.000";"  0.000";"  0.000";"139.533";"  0.000";"133.613";" 23.380";"  0.000";"  0.000";"  0.000";" 13.750";" 45.160";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";" 48.492";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"107.919";" 45.935";"  0.000";"  0.000";"  0.000";"  0.000";" 18.874";"  0.000"
"7am";"427.953";"183.665";"121.020";"  0.000";" 80.583";"296.525";"165.626";"132.790";" 20.092";"  0.000";"  0.000";"153.265";" 64.224";" 43.845";"227.071";" 48.492";"306.853";"417.815";"  0.000";" 62.899";" 52.940";"157.658";" 41.140";" 52.940";"101.412";" 31.315";"  0.000";"  0.000";" 13.750";"153.076";" 15.330";"  0.000";" 26.787";"274.915";"  0.000";"  0.000";" 45.116";"  0.000";" 48.492";"  0.000";"  0.000";" 34.684";"  0.000";" 89.309";"183.529";" 21.796";"  0.000";"  0.000";" 61.355";"  0.000";" 18.874";" 17.850"
"8am";"1181.545";" 443.070";" 169.271";"  98.418";" 278.499";" 885.267";" 244.961";" 218.831";" 311.005";" 120.798";"  49.510";" 210.497";" 342.474";" 177.382";" 863.095";" 552.454";"1091.376";" 276.949";"  25.877";"  62.899";"  88.517";" 398.967";"  82.280";" 156.353";" 259.638";"  52.257";"  43.540";"  37.380";"  13.750";" 392.440";"  22.797";" 192.796";"   0.000";" 772.943";" 107.443";"   0.000";"  62.966";" 189.308";" 340.769";"  28.455";" 151.464";" 136.255";" 104.317";"  99.199";" 373.081";" 566.412";" 156.833";"  41.608";"  61.355";" 249.751";"  37.748";" 145.107"
"9am";"1629.788";"1114.624";" 486.741";"  28.455";" 547.252";" 870.477";" 350.000";" 534.819";" 333.240";" 441.415";" 160.145";" 587.058";" 364.133";" 392.952";"1521.948";" 503.962";"1654.447";" 250.823";" 103.508";" 145.179";" 290.581";"1243.016";" 275.621";" 379.799";" 440.088";"  70.382";" 209.101";" 122.371";"  13.750";" 418.320";"  45.198";" 154.493";" 175.998";" 961.324";" 104.654";" 151.020";" 138.245";" 279.238";" 944.846";"  85.365";" 380.070";" 296.063";" 146.665";" 133.524";" 325.255";" 470.358";" 398.111";" 223.566";" 211.926";" 270.239";"  56.622";" 109.407"
"10am";"2460.949";" 721.761";" 390.997";"  76.784";"1050.249";" 816.537";" 422.732";" 775.858";" 383.597";" 294.584";" 193.897";" 825.435";" 589.565";" 588.065";"1353.574";" 279.801";"1305.465";" 619.284";" 108.877";" 276.007";" 336.033";"1250.307";" 166.012";" 450.893";" 692.917";"  92.178";" 209.740";"  95.552";"  13.750";" 539.116";"  37.731";" 248.418";"  63.482";"1301.099";" 132.291";"  27.637";" 120.395";" 416.392";" 441.721";"   0.000";" 513.693";" 410.468";" 331.211";" 163.127";" 328.245";" 892.553";" 428.574";" 350.552";" 708.274";" 336.071";"  56.622";"  79.818"
"11am";"2661.607";"1314.321";" 377.571";" 302.936";" 970.473";"1003.232";" 383.246";" 468.050";" 330.863";" 324.336";" 267.951";" 724.033";" 539.875";" 311.797";"1367.224";" 401.227";"1168.588";" 464.450";" 122.976";"  80.349";" 101.507";" 798.581";"  41.140";" 314.894";" 574.139";"  65.798";" 166.200";"  58.172";"  13.750";" 626.040";"  86.223";" 173.471";"  63.482";" 799.131";" 163.117";"  55.274";"  62.030";" 166.255";" 139.182";"  44.472";" 332.116";" 518.847";" 138.638";" 130.205";" 215.536";" 664.625";" 336.560";" 227.053";" 401.248";"  95.216";"  37.748";"  17.850"
