"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.2418,0.2602,0.144,0.2068,0.314
"5am",0.2425,0.2589,0.1481,0.2056,0.3129
"6am",0.2322,0.2455,0.1457,0.2019,0.3101
"7am",0.2138,0.2213,0.1344,0.1904,0.2875
"8am",0.1972,0.2115,0.1284,0.1692,0.2615
"9am",0.191,0.212,0.12,0.1536,0.2584
"10am",0.2006,0.2068,0.1266,0.1618,0.2561
"11am",0.2067,0.2155,0.1299,0.1671,0.2726
"12am",0.2059,0.2153,0.1301,0.1718,0.2756
"1pm",0.2075,0.214,0.1261,0.167,0.2646
"2pm",0.2022,0.2158,0.1294,0.1586,0.2724
"3pm",0.2096,0.2089,0.1168,0.1589,0.2746
"4pm",0.2109,0.2215,0.1251,0.1717,0.2763
"5pm",0.2123,0.2349,0.1249,0.1836,0.2866
"6pm",0.2224,0.2527,0.1298,0.1937,0.3055
"7pm",0.233,0.2551,0.1351,0.2034,0.3155
"8pm",0.2366,0.2582,0.1426,0.2071,0.3076
"9pm",0.2406,0.2548,0.1414,0.2064,0.3078
"10pm",0.2415,0.2578,0.1404,0.2094,0.3072
"11pm",0.2423,0.2599,0.1411,0.209,0.3095
"12pm",0.2427,0.2614,0.1417,0.2072,0.3105
"1am",0.2423,0.2614,0.1426,0.2076,0.3113
"2am",0.2414,0.2617,0.1421,0.2076,0.3114
"3am",0.2414,0.2598,0.1416,0.2073,0.311
