"hour","age1","age2","age3","age4"
"4am",0.1689,0.1618,0.1113,0.1284
"5am",0.1667,0.1605,0.1085,0.1274
"6am",0.1683,0.1545,0.1079,0.129
"7am",0.2324,0.1436,0.1173,0.1429
"8am",0.2414,0.1501,0.1172,0.1658
"9am",0.2525,0.1608,0.1147,0.1676
"10am",0.2453,0.1594,0.1156,0.1742
"11am",0.2423,0.1515,0.1163,0.1762
"12am",0.2251,0.1623,0.1055,0.1631
"1pm",0.2356,0.1594,0.1012,0.1577
"2pm",0.2311,0.1625,0.1051,0.1596
"3pm",0.2341,0.1626,0.1089,0.156
"4pm",0.2209,0.1726,0.1067,0.1571
"5pm",0.1929,0.1642,0.0998,0.1435
"6pm",0.1702,0.1586,0.0985,0.1295
"7pm",0.1663,0.1526,0.1023,0.125
"8pm",0.1661,0.1668,0.1056,0.1247
"9pm",0.1655,0.1654,0.1048,0.125
"10pm",0.1664,0.1688,0.1078,0.1255
"11pm",0.1659,0.1653,0.1079,0.1269
"12pm",0.1641,0.164,0.1091,0.1276
"1am",0.1638,0.1645,0.1095,0.127
"2am",0.1646,0.1649,0.1096,0.1267
"3am",0.1652,0.1658,0.1101,0.1264
