"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.2528,0.1531,0.2217,0.3064
"5am",0.2503,0.1527,0.2195,0.3051
"6am",0.2424,0.1497,0.2116,0.3052
"7am",0.2305,0.1382,0.1906,0.283
"8am",0.2182,0.1234,0.178,0.2612
"9am",0.2164,0.1263,0.1765,0.2482
"10am",0.2276,0.1294,0.1695,0.2456
"11am",0.2268,0.1287,0.1763,0.2542
"12am",0.2317,0.128,0.1674,0.2604
"1pm",0.2215,0.1291,0.1667,0.2553
"2pm",0.2246,0.1299,0.1764,0.2706
"3pm",0.2265,0.1278,0.1708,0.268
"4pm",0.2272,0.1369,0.1789,0.2745
"5pm",0.2408,0.1419,0.191,0.2859
"6pm",0.2531,0.1445,0.2051,0.3048
"7pm",0.2533,0.1458,0.2122,0.3078
"8pm",0.2527,0.1503,0.2152,0.3077
"9pm",0.2553,0.1526,0.2199,0.3054
"10pm",0.2532,0.1542,0.2253,0.3066
"11pm",0.2547,0.1535,0.225,0.3074
"12pm",0.2553,0.1519,0.2237,0.3065
"1am",0.2554,0.1534,0.2249,0.3087
"2am",0.2552,0.1531,0.224,0.3088
"3am",0.2554,0.1535,0.2237,0.309
