"hour","resarea1","resarea2","resarea3"
"4am",0.9831,0.9866,0.9885
"5am",0.98,0.9817,0.9845
"6am",0.9586,0.9631,0.9701
"7am",0.8616,0.8967,0.9267
"8am",0.7816,0.8254,0.875
"9am",0.7463,0.796,0.8522
"10am",0.731,0.7828,0.8419
"11am",0.7374,0.7859,0.8419
"12am",0.7504,0.8031,0.8511
"1pm",0.7334,0.7949,0.8473
"2pm",0.7185,0.7825,0.8385
"3pm",0.7285,0.789,0.8461
"4pm",0.7825,0.8342,0.8789
"5pm",0.8551,0.8909,0.9201
"6pm",0.9189,0.94,0.9552
"7pm",0.9591,0.965,0.9736
"8pm",0.9686,0.9714,0.9779
"9pm",0.9735,0.9768,0.9822
"10pm",0.9792,0.982,0.9862
"11pm",0.9853,0.9882,0.9912
"12pm",0.9896,0.9912,0.9936
"1am",0.9907,0.9923,0.9946
"2am",0.9906,0.9925,0.9948
"3am",0.9923,0.9932,0.9951
