"hour","cs1","cs2","cs3","cs4","cs5"
"4am",0.2082,0.2263,0.1345,0.162,0.2409
"5am",0.2102,0.2298,0.1316,0.157,0.2431
"6am",0.2127,0.2279,0.1321,0.1537,0.2395
"7am",0.2165,0.2109,0.13,0.1485,0.2227
"8am",0.2103,0.1986,0.1242,0.1255,0.2102
"9am",0.1998,0.1971,0.1227,0.1254,0.2152
"10am",0.2076,0.2017,0.1254,0.1293,0.2116
"11am",0.2129,0.2005,0.1322,0.1282,0.2244
"12am",0.2108,0.2069,0.1276,0.1348,0.2247
"1pm",0.2106,0.2043,0.1314,0.1344,0.2173
"2pm",0.208,0.2019,0.1287,0.1253,0.2236
"3pm",0.2224,0.1957,0.1233,0.1318,0.2306
"4pm",0.2185,0.2021,0.1252,0.1368,0.228
"5pm",0.2021,0.2214,0.1206,0.147,0.2339
"6pm",0.2081,0.23,0.1224,0.1612,0.2431
"7pm",0.213,0.2356,0.1289,0.1638,0.2417
"8pm",0.2153,0.2305,0.131,0.161,0.2422
"9pm",0.212,0.2258,0.1315,0.1628,0.2426
"10pm",0.2094,0.2294,0.133,0.164,0.241
"11pm",0.2094,0.2304,0.1334,0.1616,0.2437
"12pm",0.2104,0.2301,0.1334,0.1616,0.2442
"1am",0.2096,0.2299,0.1334,0.1611,0.2436
"2am",0.2094,0.2301,0.1331,0.1608,0.2436
"3am",0.2096,0.2274,0.1326,0.1601,0.2431
