"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.0989,0.192,0.2456,0.1291,0.218
"5am",0.0997,0.1921,0.246,0.1286,0.2189
"6am",0.105,0.2041,0.2439,0.1324,0.2196
"7am",0.1313,0.3114,0.2489,0.1627,0.231
"8am",0.1543,0.3299,0.2399,0.1876,0.2277
"9am",0.1643,0.3448,0.2483,0.1898,0.2182
"10am",0.1595,0.3465,0.2395,0.1889,0.2219
"11am",0.1678,0.3349,0.2378,0.1973,0.2233
"12am",0.1564,0.3065,0.2402,0.1846,0.224
"1pm",0.1542,0.3164,0.2362,0.1836,0.2142
"2pm",0.1537,0.3284,0.2304,0.1808,0.213
"3pm",0.1493,0.3205,0.2319,0.181,0.2257
"4pm",0.1448,0.2998,0.2469,0.1752,0.2311
"5pm",0.1168,0.2374,0.2471,0.1504,0.225
"6pm",0.1097,0.2061,0.2356,0.1349,0.2183
"7pm",0.0988,0.198,0.2355,0.1265,0.2237
"8pm",0.1015,0.1917,0.2446,0.1237,0.2215
"9pm",0.0996,0.1903,0.2511,0.1241,0.2214
"10pm",0.0997,0.195,0.2509,0.1261,0.2206
"11pm",0.0997,0.1922,0.2509,0.1253,0.2206
"12pm",0.1009,0.1943,0.249,0.1263,0.2203
"1am",0.1005,0.1942,0.2506,0.126,0.2203
"2am",0.0998,0.1946,0.2505,0.1265,0.2201
"3am",0.0991,0.1939,0.2503,0.1262,0.2203
