"hour","resarea1","resarea2","resarea3"
"4am",0.486173990079761,0.645523725086849,0.880049099882426
"5am",0.48577339718857,0.64419953136214,0.879996852805761
"6am",0.491609110818241,0.645343064367973,0.883853411831942
"7am",0.505838311650273,0.643022547671603,0.887446731060642
"8am",0.523840396598073,0.644544291653172,0.891541215514882
"9am",0.532597119168029,0.644339557554847,0.894205963752731
"10am",0.542721914963489,0.644632733459047,0.892548597954211
"11am",0.533296092175608,0.63461935139021,0.890854482860662
"12am",0.516295582008054,0.62483639759399,0.885742713468768
"1pm",0.527423811839745,0.635202276372216,0.888447879852069
"2pm",0.536584853662645,0.645047715620668,0.894417648573217
"3pm",0.531899895268204,0.645804305342768,0.894052021697603
"4pm",0.526838253620679,0.646422908694033,0.890309527256912
"5pm",0.500463955479247,0.647574566664211,0.889856130934326
"6pm",0.492221442315931,0.644889726562104,0.886834154813294
"7pm",0.485486453170865,0.644021082972246,0.883001780551523
"8pm",0.484780449758319,0.642950238515424,0.882074426640296
"9pm",0.484526062549295,0.643566366514794,0.881835733460795
"10pm",0.484776570336793,0.64410806145406,0.88116909901982
"11pm",0.485406245228656,0.645867486665528,0.881280894062857
"12pm",0.484788974558172,0.647083763690683,0.881661921190339
"1am",0.483836812258563,0.646621846187227,0.881352286682364
"2am",0.483786554474822,0.646457345931691,0.881359295284207
"3am",0.484642357927338,0.646446428087905,0.881569278248188
