"hour","mode1","mode2","mode3"
"4am",0.3426,0.3439,0.2963
"5am",0.3462,0.3441,0.2942
"6am",0.3554,0.3399,0.2894
"7am",0.3807,0.3422,0.2608
"8am",0.4006,0.3397,0.24
"9am",0.3987,0.3428,0.2399
"10am",0.4091,0.3435,0.2397
"11am",0.4006,0.3396,0.2443
"12am",0.3724,0.3515,0.2794
"1pm",0.3572,0.3576,0.2871
"2pm",0.3715,0.3621,0.2855
"3pm",0.365,0.3641,0.2914
"4pm",0.368,0.3542,0.2887
"5pm",0.3609,0.348,0.2977
"6pm",0.344,0.3516,0.2994
"7pm",0.3414,0.3449,0.2985
"8pm",0.3387,0.3431,0.2951
"9pm",0.3367,0.3428,0.296
"10pm",0.3346,0.3412,0.2945
"11pm",0.3335,0.342,0.2958
"12pm",0.3328,0.3412,0.2959
"1am",0.3323,0.3417,0.2959
"2am",0.3315,0.341,0.2957
"3am",0.3318,0.3414,0.2956
