"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.2428,0.152,0.1611,0.2653
"5am",0.2416,0.1515,0.1568,0.2628
"6am",0.236,0.146,0.1514,0.2567
"7am",0.2254,0.1359,0.1453,0.2362
"8am",0.222,0.1315,0.143,0.2266
"9am",0.2283,0.1344,0.1471,0.2224
"10am",0.2413,0.1301,0.1411,0.2219
"11am",0.2317,0.1412,0.1444,0.2281
"12am",0.2368,0.1408,0.1411,0.2327
"1pm",0.23,0.1428,0.1311,0.2302
"2pm",0.2279,0.1422,0.1323,0.2423
"3pm",0.2326,0.1347,0.1373,0.2382
"4pm",0.2322,0.1431,0.142,0.248
"5pm",0.232,0.1397,0.1465,0.255
"6pm",0.2448,0.1434,0.1564,0.2618
"7pm",0.2445,0.1463,0.1525,0.2584
"8pm",0.2445,0.1512,0.158,0.2639
"9pm",0.246,0.1538,0.1642,0.2635
"10pm",0.2439,0.1549,0.1618,0.2656
"11pm",0.2438,0.1539,0.1617,0.2676
"12pm",0.2447,0.1528,0.163,0.2661
"1am",0.2447,0.153,0.1635,0.2661
"2am",0.2442,0.1527,0.1627,0.2662
"3am",0.2446,0.1528,0.163,0.2662
