"hour","act1","act2","act3","act4","act5"
"4am",0.4304,0.4446,0.5634,0,0
"5am",0.398,0.4029,0.9567,0.5606,0
"6am",0.3387,0.3306,0.9577,0.9313,0.4898
"7am",0.2442,0.1829,0.4653,0.6375,0.427
"8am",0.2248,0.1718,0.3993,0.4328,0.2619
"9am",0.2215,0.1558,0.391,0.3497,0.1821
"10am",0.2137,0.1426,0.4013,0.3134,0.2019
"11am",0.2241,0.1494,0.4093,0.3988,0.2375
"12am",0.2094,0.1581,0.4037,0.4426,0.2398
"1pm",0.2158,0.1725,0.3739,0.4287,0.1587
"2pm",0.2179,0.1728,0.3915,0.412,0.1688
"3pm",0.2327,0.1812,0.3772,0.4716,0.223
"4pm",0.2201,0.1942,0.4282,0.4254,0.2209
"5pm",0.2202,0.1906,0.4691,0.4433,0.2441
"6pm",0.2245,0.1897,0.7599,0.4989,0.2585
"7pm",0.2571,0.2531,0.7638,0.5104,0.3198
"8pm",0.2715,0.3324,0.8333,0.622,0.3232
"9pm",0.2985,0.2949,0.833,0.6846,0.3519
"10pm",0.3283,0.3451,0.9492,0.6881,0.366
"11pm",0.3227,0.3877,0.6889,0.3723,0
"12pm",0.3822,0.4354,0.692,0.4367,0
"1am",0.3779,0.4329,0.693,0.5473,0
"2am",0.3605,0.4326,0.6926,0.5438,0
"3am",0.353,0.4347,0.6926,0.5325,0
