"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.1301,0.102,0.1347,0.4632
"5am",0.1336,0.1009,0.1357,0.4655
"6am",0.1396,0.108,0.1419,0.4648
"7am",0.1566,0.1003,0.1563,0.4431
"8am",0.1758,0.1137,0.1689,0.4744
"9am",0.1501,0.1244,0.176,0.5132
"10am",0.1592,0.1118,0.1647,0.48
"11am",0.1679,0.1093,0.1699,0.4814
"12am",0.1674,0.0909,0.1464,0.4308
"1pm",0.1704,0.0916,0.153,0.5207
"2pm",0.1354,0.0979,0.1478,0.5519
"3pm",0.1506,0.1038,0.1548,0.5291
"4pm",0.1645,0.0877,0.1467,0.5281
"5pm",0.1525,0.0972,0.1337,0.5179
"6pm",0.1309,0.1109,0.1401,0.4882
"7pm",0.1436,0.0962,0.1258,0.474
"8pm",0.137,0.0995,0.1337,0.4733
"9pm",0.1334,0.1,0.1356,0.4709
"10pm",0.1299,0.1029,0.1353,0.4705
"11pm",0.1288,0.1074,0.1381,0.4679
"12pm",0.1309,0.1104,0.1442,0.4673
"1am",0.132,0.1093,0.1427,0.467
"2am",0.1324,0.1095,0.1435,0.4666
"3am",0.1326,0.1095,0.1431,0.4667
