"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.1917,0.1213,0.0536,0.1157,0.1144
"5am",0.1885,0.1253,0.0595,0.1133,0.1165
"6am",0.1845,0.1347,0.0604,0.1209,0.1143
"7am",0.1845,0.1518,0.0521,0.1292,0.1447
"8am",0.2198,0.1777,0.0723,0.1179,0.1719
"9am",0.2032,0.1806,0.0646,0.1226,0.1652
"10am",0.2205,0.1657,0.0788,0.1246,0.1776
"11am",0.2165,0.1779,0.0681,0.1227,0.1602
"12am",0.2063,0.1497,0.0608,0.1421,0.1494
"1pm",0.1886,0.1788,0.0543,0.0943,0.1659
"2pm",0.1883,0.1817,0.0692,0.1093,0.1531
"3pm",0.222,0.1698,0.0851,0.1037,0.1332
"4pm",0.1681,0.1477,0.0716,0.1109,0.1371
"5pm",0.1976,0.1453,0.0632,0.1149,0.1302
"6pm",0.2141,0.1461,0.0666,0.1045,0.169
"7pm",0.2157,0.1516,0.074,0.1185,0.1349
"8pm",0.1948,0.133,0.0689,0.1025,0.1232
"9pm",0.1843,0.1143,0.0715,0.1002,0.1211
"10pm",0.184,0.1174,0.0643,0.1119,0.1185
"11pm",0.1829,0.1191,0.0604,0.1095,0.1224
"12pm",0.1927,0.1254,0.0586,0.1109,0.1212
"1am",0.1919,0.1319,0.0601,0.1135,0.1199
"2am",0.192,0.134,0.0598,0.1129,0.1196
"3am",0.1922,0.134,0.0598,0.1127,0.1197
