"hour","cs1","cs2","cs3","cs4","cs5"
"4am",0.1822,0.1209,0.0538,0.1121,0.11
"5am",0.1843,0.1259,0.0595,0.1105,0.1097
"6am",0.1787,0.1346,0.0555,0.1167,0.1089
"7am",0.1788,0.1678,0.0499,0.1398,0.1305
"8am",0.1991,0.1683,0.0701,0.1244,0.1592
"9am",0.1802,0.1652,0.0566,0.1258,0.1501
"10am",0.2201,0.1552,0.0744,0.1335,0.1647
"11am",0.2064,0.1684,0.0676,0.1332,0.1495
"12am",0.2081,0.1481,0.0609,0.1473,0.1369
"1pm",0.2001,0.1686,0.0515,0.1163,0.1656
"2pm",0.2023,0.1655,0.0679,0.1229,0.1547
"3pm",0.2082,0.1555,0.0813,0.1194,0.1207
"4pm",0.1773,0.1364,0.0756,0.1277,0.1293
"5pm",0.1763,0.1386,0.0575,0.1157,0.1348
"6pm",0.1984,0.1529,0.0622,0.1221,0.1647
"7pm",0.2149,0.1472,0.0705,0.1319,0.1318
"8pm",0.2023,0.1377,0.0661,0.1107,0.1185
"9pm",0.1897,0.1215,0.0651,0.1085,0.1228
"10pm",0.1903,0.1233,0.0557,0.1129,0.1131
"11pm",0.1913,0.1262,0.0535,0.1062,0.1206
"12pm",0.1981,0.1283,0.0513,0.1072,0.1192
"1am",0.1983,0.1336,0.0513,0.109,0.1171
"2am",0.1984,0.1362,0.0509,0.1084,0.1166
"3am",0.1986,0.1362,0.0509,0.1082,0.1168
