"hour","sex1","sex2"
"4am",0.0857,0.0857
"5am",0.0884,0.0884
"6am",0.074,0.074
"7am",0.0705,0.0705
"8am",0.0724,0.0724
"9am",0.0931,0.0931
"10am",0.0852,0.0852
"11am",0.0928,0.0928
"12am",0.0982,0.0982
"1pm",0.0933,0.0933
"2pm",0.1115,0.1115
"3pm",0.1028,0.1028
"4pm",0.1038,0.1038
"5pm",0.0969,0.0969
"6pm",0.0944,0.0944
"7pm",0.0898,0.0898
"8pm",0.102,0.102
"9pm",0.0885,0.0885
"10pm",0.0859,0.0859
"11pm",0.0867,0.0867
"12pm",0.0846,0.0846
"1am",0.0849,0.0849
"2am",0.0851,0.0851
"3am",0.0858,0.0858
