"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.1142,0.1118,0.1415,0.5004
"5am",0.117,0.111,0.1427,0.508
"6am",0.1183,0.1178,0.1496,0.5081
"7am",0.1525,0.0931,0.1581,0.4908
"8am",0.1841,0.0859,0.1542,0.5214
"9am",0.16,0.0906,0.1511,0.5611
"10am",0.1685,0.0857,0.1376,0.5251
"11am",0.1792,0.0787,0.1431,0.5256
"12am",0.1771,0.0849,0.142,0.4754
"1pm",0.1786,0.0881,0.1488,0.5219
"2pm",0.1457,0.0896,0.1449,0.5505
"3pm",0.1584,0.097,0.1489,0.532
"4pm",0.1664,0.0764,0.1459,0.5265
"5pm",0.1321,0.0955,0.1368,0.5613
"6pm",0.1136,0.1109,0.1439,0.485
"7pm",0.1326,0.104,0.1374,0.5134
"8pm",0.1206,0.106,0.1392,0.5108
"9pm",0.1165,0.1113,0.1443,0.5112
"10pm",0.1132,0.1153,0.1468,0.5108
"11pm",0.1146,0.1181,0.1503,0.5081
"12pm",0.1152,0.1197,0.1514,0.5056
"1am",0.1168,0.1192,0.1509,0.5047
"2am",0.1171,0.1195,0.1512,0.5044
"3am",0.1173,0.1188,0.1512,0.5045
