"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.0901,0.1592,0.3134,0.1,0.2023
"5am",0.0895,0.1557,0.3098,0.1041,0.2013
"6am",0.0794,0.1518,0.3052,0.0953,0.2072
"7am",0.0634,0.3064,0.2598,0.1489,0.2022
"8am",0.0838,0.3336,0.2265,0.1864,0.2308
"9am",0.0814,0.365,0.2746,0.1757,0.219
"10am",0.0826,0.3493,0.2209,0.1656,0.2346
"11am",0.0896,0.3546,0.2064,0.1681,0.2545
"12am",0.0844,0.3186,0.2559,0.1525,0.2595
"1pm",0.081,0.3203,0.2263,0.1526,0.2613
"2pm",0.0856,0.3186,0.199,0.1564,0.2214
"3pm",0.0681,0.2485,0.2528,0.1378,0.2519
"4pm",0.0815,0.2858,0.2692,0.1333,0.232
"5pm",0.0746,0.2172,0.2987,0.1031,0.2321
"6pm",0.084,0.2007,0.3147,0.0966,0.1779
"7pm",0.0965,0.2133,0.2914,0.0997,0.1808
"8pm",0.0941,0.1964,0.2852,0.0947,0.1852
"9pm",0.0904,0.1938,0.2814,0.0946,0.1852
"10pm",0.0924,0.1887,0.2736,0.0989,0.192
"11pm",0.0962,0.1892,0.2751,0.0988,0.1859
"12pm",0.0973,0.1781,0.2991,0.0951,0.188
"1am",0.0911,0.1602,0.3012,0.0942,0.1882
"2am",0.0916,0.1599,0.3008,0.0943,0.1885
"3am",0.092,0.16,0.301,0.0946,0.1887
