"hour","age1","age2","age3","age4"
"4am",0.1412,0.1238,0.1042,0.1059
"5am",0.138,0.1254,0.105,0.1096
"6am",0.1463,0.1291,0.1044,0.0993
"7am",0.3014,0.1446,0.0977,0.1349
"8am",0.3385,0.1555,0.1268,0.1556
"9am",0.3439,0.1672,0.1368,0.1472
"10am",0.3412,0.1699,0.1523,0.1462
"11am",0.3336,0.1552,0.1299,0.1567
"12am",0.2778,0.1266,0.0965,0.1384
"1pm",0.3118,0.1365,0.1058,0.135
"2pm",0.2889,0.155,0.1151,0.1313
"3pm",0.24,0.1626,0.1216,0.1127
"4pm",0.2434,0.1664,0.1017,0.1141
"5pm",0.1835,0.1154,0.088,0.106
"6pm",0.1584,0.1427,0.0894,0.0986
"7pm",0.1731,0.121,0.0981,0.1084
"8pm",0.1527,0.1155,0.1051,0.1012
"9pm",0.1551,0.1127,0.1043,0.1037
"10pm",0.1625,0.1263,0.1071,0.1025
"11pm",0.1567,0.1223,0.105,0.1006
"12pm",0.1449,0.1273,0.1038,0.0982
"1am",0.1307,0.1295,0.1028,0.0963
"2am",0.1305,0.1291,0.1026,0.0964
"3am",0.1307,0.1293,0.1032,0.0967
