"hour","resarea1","resarea2","resarea3"
"4am",0.9843,0.9772,0.9809
"5am",0.9766,0.9729,0.9798
"6am",0.9457,0.9583,0.9695
"7am",0.7339,0.7679,0.8074
"8am",0.5654,0.5977,0.6624
"9am",0.5389,0.55,0.6057
"10am",0.5011,0.5183,0.5912
"11am",0.5525,0.5525,0.6131
"12am",0.6442,0.6776,0.7143
"1pm",0.5879,0.5858,0.6366
"2pm",0.5682,0.5472,0.5942
"3pm",0.5841,0.5642,0.5947
"4pm",0.6658,0.639,0.6659
"5pm",0.7951,0.7483,0.765
"6pm",0.8898,0.8528,0.857
"7pm",0.9205,0.9171,0.9197
"8pm",0.9417,0.9332,0.9423
"9pm",0.9494,0.9434,0.9521
"10pm",0.9629,0.9542,0.9572
"11pm",0.9741,0.9704,0.9703
"12pm",0.9842,0.9767,0.9789
"1am",0.9911,0.9815,0.9819
"2am",0.9911,0.9815,0.9819
"3am",0.9925,0.9811,0.982
