"hour","mode1","mode2","mode3"
"4am",0.2784,0.2284,0.222
"5am",0.2769,0.2302,0.2228
"6am",0.2835,0.2294,0.2239
"7am",0.3377,0.1999,0.1775
"8am",0.314,0.1871,0.1807
"9am",0.3002,0.1928,0.1887
"10am",0.2522,0.1981,0.1923
"11am",0.2659,0.2202,0.2283
"12am",0.2978,0.2759,0.2656
"1pm",0.2909,0.2514,0.2406
"2pm",0.268,0.2598,0.2631
"3pm",0.269,0.255,0.2615
"4pm",0.2721,0.2261,0.2174
"5pm",0.254,0.2408,0.2353
"6pm",0.2587,0.242,0.2316
"7pm",0.2669,0.2345,0.2209
"8pm",0.2884,0.2351,0.2222
"9pm",0.2888,0.2344,0.2252
"10pm",0.2923,0.238,0.2273
"11pm",0.2943,0.2395,0.2296
"12pm",0.293,0.2359,0.2257
"1am",0.2923,0.2433,0.2279
"2am",0.2919,0.2434,0.2281
"3am",0.2921,0.2436,0.2283
