"hour";"101";"102";"103";"104";"105";"106";"107";"108";"109";"110";"111";"112";"113";"114";"115";"116";"117";"118";"119";"120";"121";"122";"123";"124";"125";"126";"127";"128";"129";"130";"131";"132";"133";"134";"135";"136";"137";"138";"139";"140";"141";"142";"143";"144";"145";"146";"147";"148";"149";"150";"151";"152";"153";"154";"155";"156";"157"
"min";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908";"90.75908"
"max";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817";"7826.08817"
"4am";"1999.5256";"2730.5657";"3447.8506";"2778.4154";"2588.7967";"4756.5381";"4202.9348";"1444.3619";"2655.4348";" 990.6815";"1056.5922";"2038.4436";" 224.4749";"1349.7372";"2366.2021";"3834.2674";"3297.5807";"4903.8927";"4846.7786";"3589.3000";"3368.9055";"2008.2551";"3102.3707";"3694.3685";"2718.2830";"3051.7525";"2022.3664";"3120.5575";"2185.9764";"1162.0511";"4972.2361";"2350.8775";"1955.8405";"1058.6073";" 911.2378";"2175.4396";"2611.7178";"1509.4814";"1425.9286";"2896.6851";"6160.1536";" 545.9757";" 892.1169";" 730.6843";" 971.5796";"2028.0579";"1010.7413";" 582.2887";" 696.4286";"1466.1536";"1216.8852";"1067.6532";" 897.4702";"1483.6548";"2594.1845";"3065.5725";"3779.8349"
"5am";"1999.5256";"2816.6235";"3447.8506";"2778.4154";"2588.7967";"4756.5381";"4202.9348";"1444.3619";"2655.4348";" 961.8830";"1056.5922";"2038.4436";" 224.4749";"1349.7372";"2273.0091";"3834.2674";"3183.9798";"4903.8927";"4846.7786";"3589.3000";"3368.9055";"2008.2551";"3016.3130";"3694.3685";"2718.2830";"3051.7525";"2022.3664";"3207.3495";"2028.6532";"1075.2591";"5129.5593";"2350.8775";"1865.0909";" 992.6949";" 911.2378";"2175.4396";"2611.7178";"1509.4814";"1425.9286";"2896.6851";"6160.1536";" 545.9757";" 892.1169";" 730.6843";" 971.5796";"1878.6595";" 937.2320";" 582.2887";" 696.4286";"1466.1536";"1216.8852";"1067.6532";" 897.4702";"1483.6548";"2594.1845";"3065.5725";"3779.8349"
"6am";"2095.6709";"2899.4457";"3268.2348";"2677.4868";"2313.6865";"4756.5381";"3941.4913";"1626.8153";"2655.4348";" 961.8830";"1093.8127";"2127.4954";" 224.4749";"1349.7372";"2126.2324";"3737.4699";"3183.9798";"4903.8927";"4874.3358";"3767.7149";"2927.0662";"2008.2551";"3016.3130";"3631.1519";"2693.6338";"2924.8076";"2022.3664";"3207.3495";"1941.7244";"1075.2591";"4791.5281";"2350.8775";"2001.9731";" 907.6840";" 911.2378";"2053.3909";"2419.0011";"1420.3652";"1425.9286";"2896.6851";"5696.5859";" 545.9757";" 892.1169";" 730.6843";" 971.5796";"1793.1718";" 882.7554";" 582.2887";" 750.9053";"1466.1536";"1347.2388";"1067.6532";" 788.8304";"1483.6548";"2594.1845";"2885.2270";"3779.8349"
"7am";"2189.5855";"3607.2452";"2540.9032";"2046.2883";"2113.0641";"5086.6226";"3622.8654";"1294.0340";"2437.9170";"1101.7214";" 873.9124";"2118.2966";" 434.7790";"1100.7897";"1667.9546";"3117.1721";"2617.6019";"3969.1573";"3478.6301";"2986.1755";"2739.6924";"1999.0799";"2581.6793";"4573.7675";"3681.6167";"2688.2817";"2032.1134";"2789.6402";"1563.2661";"1031.2089";"4554.6869";"2239.4969";"1645.9565";" 737.0296";" 735.7073";"1494.2788";"1729.9352";"1196.5190";" 718.0506";"2248.2309";"4206.1208";" 545.9757";" 826.5629";" 317.9208";"1073.6252";"1847.7082";"1164.3619";" 457.8999";" 696.4286";"1226.0045";"1532.8479";" 849.5849";" 731.6302";"1315.2224";"1994.1403";"1953.7264";"3901.0969"
"8am";"3177.2951";"4134.6511";"1770.9277";"1211.2644";"1990.7648";"5041.0947";"3419.6135";"1173.8541";"1830.3359";"2241.5125";"1198.3009";"1673.3877";" 638.4654";"1321.5268";" 936.0132";"2746.5387";"2359.6762";"3966.5865";"3564.4820";"1926.5855";"2666.3633";"1541.4543";"3111.0949";"4445.3614";"4879.4444";"1872.8232";"2089.9069";"1350.7214";" 959.9510";"1156.2243";"4846.7046";"1981.6729";" 861.2434";" 547.5634";" 791.1083";"1566.1557";"1236.1560";" 849.6910";" 623.5870";"1865.4524";"3349.5837";" 540.5160";"1094.7679";" 199.7455";"1565.6312";"1541.9592";"2841.3447";" 789.1377";" 795.0868";"1532.6167";"2061.4677";" 814.2178";" 946.1747";"1496.1647";" 929.8736";"2336.0932";"2949.9507"
"9am";"4521.9531";"4419.0984";"2095.9984";"1436.1735";"2129.4657";"4616.7222";"3386.3692";"1340.7655";"1337.6173";"3014.2713";"1308.1727";"1461.8338";" 682.4886";"1321.5268";" 832.1521";"2781.2310";"1953.6802";"3791.8830";"3509.3947";"1780.2252";"2752.1979";"1777.4380";"3808.4494";"5316.3261";"6215.8902";"1442.2034";"1886.5377";"1235.3888";"1274.4412";"1067.7874";"5015.4377";"1661.7001";" 488.5900";" 656.5050";"1019.2801";"1298.4367";"1375.7514";" 732.8339";" 699.0865";"1865.4524";"2993.2882";" 521.3744";"1111.0669";" 199.7455";"1909.4217";"1477.7894";"3414.9125";" 741.8110";" 636.5530";"1774.8384";"2052.6112";" 710.5793";" 791.5930";"1541.2326";" 861.6839";"2249.0683";"3490.9538"
"10am";"5261.5111";"4605.1801";"1712.9198";"1182.8010";"2181.7210";"4339.5740";"3357.3318";"1139.2953";"1316.1108";"2970.2480";"1332.2510";"1322.3260";" 682.4886";"1516.5377";" 562.9172";"2585.8723";"2379.4024";"3581.0795";"3446.7174";"1520.0484";"2297.4567";"1924.6232";"3676.4431";"5240.6672";"6012.4866";"1299.3062";"1950.8025";"1312.2511";"1455.1322";"1067.7874";"4660.1907";"1854.5450";" 886.8811";" 656.5050";"1120.2087";"1298.4367";"1164.7202";" 732.8339";" 939.7363";"1864.9832";"3222.3172";" 540.5160";" 856.5901";" 349.3044";"1919.0670";"1747.6152";"3775.5854";" 682.8394";" 762.6087";"1562.2978";"1964.0067";" 710.5793";" 750.9115";"1517.8077";" 939.9197";"2084.9657";"3426.3481"
