"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066"
"12am";"21.16337";"13.77942";"29.56732";"24.01576";"33.39797";"48.04184";"38.09842";"30.02161";"44.62713";"39.85659";"32.53570";"28.42897";"31.78735";"56.23607";"36.47836";"38.75332";"68.07075";"74.23462";"61.48072";"54.15843";"48.76886";"49.39474";"71.24224";"37.49591";"85.57970";"72.64402";"43.35750";"51.99265";"85.29693";"77.94011";"76.64349";"69.46808";"79.60544";"63.13224";"61.06509";"78.26302";"78.69039";"76.90007";"90.05978";"82.99103";"84.89729";"84.74550";"86.71453";"78.34224";"73.73734";"83.35974";"57.91344";"91.76504";"78.09543";"77.47947";"81.92103";"78.67544";"82.84597";"71.41419";"74.59061";"85.51856";"90.33492";"82.63120";"90.60803";"90.07141";"92.96738";"75.09987";"88.95524";"87.19788";"85.70194";"90.78623"
"1pm";"17.92881";"12.85588";"30.68204";"17.45918";"33.60234";"52.44866";"38.29513";"28.66679";"41.78793";"43.82839";"34.25604";"24.54339";"33.42163";"57.93611";"36.92419";"42.33241";"66.00155";"73.13036";"63.08824";"52.14188";"58.40211";"45.75583";"71.05747";"36.95236";"83.01695";"75.42098";"47.26317";"52.30639";"84.80276";"77.63306";"74.65166";"68.22900";"76.19835";"66.04575";"63.10585";"73.65456";"79.32343";"75.48330";"96.08280";"80.52270";"84.80111";"84.53666";"84.39183";"79.76829";"76.14889";"82.92794";"57.87886";"87.82993";"78.36425";"69.42113";"80.54006";"72.34052";"84.58280";"70.78346";"71.50849";"87.10978";"92.99082";"82.83544";"93.68327";"92.34909";"92.82044";"80.96275";"80.53432";"86.49528";"86.37137";"90.84567"
"2pm";"16.86829";"10.10789";"28.53466";"18.64099";"30.46243";"52.16362";"47.34137";"28.47265";"45.50905";"42.73644";"33.94540";"29.97317";"30.28592";"63.23439";"36.78408";"46.19514";"66.01595";"76.23149";"59.61285";"59.14445";"57.24679";"43.02546";"72.04458";"36.95545";"84.71199";"77.70336";"47.84992";"51.58820";"83.97368";"78.02111";"74.90571";"70.60889";"78.89251";"67.16924";"65.35927";"76.25428";"81.90082";"78.31330";"93.17342";"80.40745";"87.04480";"84.49067";"82.41756";"83.41498";"73.83305";"82.00967";"55.13102";"88.90593";"83.29427";"68.22527";"82.62294";"72.54475";"83.37124";"69.04726";"66.24314";"84.42518";"83.95425";"86.00641";"92.01536";"92.68357";"92.21474";"78.46922";"74.83390";"87.91172";"84.41842";"93.89494"
"3pm";"12.77047";"10.82908";"27.91294";"20.90058";"28.22124";"54.08144";"44.41084";"34.61348";"49.71334";"44.58094";"37.63756";"32.29596";"32.46672";"62.22968";"33.69632";"41.19269";"66.82760";"65.86982";"56.81192";"60.62267";"54.84144";"50.23616";"70.60987";"35.91291";"85.55048";"81.14621";"46.63128";"51.59406";"83.76625";"76.27788";"77.81978";"70.36654";"81.27762";"68.59684";"67.20791";"76.25269";"78.76027";"77.59347";"92.73080";"78.83227";"84.93573";"84.09004";"82.20249";"80.58413";"77.67945";"82.07904";"54.24266";"82.12677";"84.82945";"67.76476";"87.92924";"74.45801";"82.21355";"67.36918";"70.11193";"85.12780";"85.85185";"87.79009";"89.11016";"90.74755";"91.36868";"79.64282";"74.68203";"89.97662";"85.40921";"94.58282"
"4pm";"11.91779";"10.68550";"28.45760";"16.80448";"27.15026";"54.79238";"43.62211";"28.60663";"50.98022";"48.11211";"31.96220";"25.19455";"29.09397";"60.21772";"37.33752";"43.67024";"70.80958";"65.57406";"55.89237";"58.04122";"55.03421";"54.51021";"70.48313";"35.08239";"80.87341";"77.89767";"45.51960";"52.69213";"82.66666";"77.25264";"76.96625";"70.06782";"78.91708";"66.07628";"61.91427";"73.39278";"78.64969";"75.23439";"92.55488";"77.69642";"81.24251";"80.02062";"80.95156";"79.54656";"76.70243";"77.29271";"58.74860";"85.48863";"82.88135";"66.68771";"87.64631";"77.97108";"79.35814";"70.77473";"75.74995";"84.14691";"80.57930";"80.16007";"89.40162";"91.85875";"89.03580";"81.15390";"80.35452";"87.29729";"86.18771";"93.31785"
"5pm";"18.126219";" 9.863917";"23.289370";"16.546994";"28.227832";"48.660587";"41.814062";"23.168896";"47.896863";"47.557202";"39.600970";"24.634363";"30.498703";"60.147433";"38.852295";"40.736290";"69.075061";"62.928925";"52.989288";"62.109328";"51.201570";"56.829826";"69.597489";"34.497694";"74.005513";"79.810150";"39.892687";"51.677277";"82.834012";"77.891719";"76.347955";"65.232754";"77.986590";"63.416647";"64.683367";"75.878319";"82.727957";"75.802437";"89.472318";"82.858902";"80.465895";"81.547073";"79.351898";"77.675309";"79.727113";"74.672585";"62.360362";"89.119756";"84.060516";"71.001005";"86.981572";"82.373157";"79.850968";"69.894447";"74.849611";"80.630106";"82.378695";"80.164105";"85.038809";"90.055594";"88.509442";"85.307945";"86.803657";"89.605965";"87.024318";"91.032124"
"6pm";"18.63883";"10.07087";"22.79250";"16.43174";"27.80451";"48.94210";"45.92555";"27.19828";"44.52227";"49.64209";"37.70691";"30.21190";"31.44035";"61.07655";"44.44557";"36.05844";"66.39532";"61.95194";"57.90818";"64.68982";"60.17503";"52.36911";"63.01287";"40.05073";"68.44398";"77.70193";"30.35832";"53.54124";"83.01337";"74.10855";"77.21898";"63.20631";"77.29104";"66.31821";"77.03089";"76.39045";"84.24504";"71.43795";"90.85015";"81.28701";"81.23000";"82.63994";"73.84356";"74.40293";"79.23562";"76.54145";"63.01476";"86.48472";"84.12031";"70.04918";"84.74709";"82.61423";"88.29181";"68.18423";"72.22101";"77.80142";"82.85919";"81.56831";"83.11334";"89.02743";"89.40158";"84.44723";"84.81898";"88.01918";"83.41432";"87.49306"
"7pm";"20.28951";"15.57149";"23.59313";"17.41683";"31.91053";"49.19725";"46.99561";"27.33196";"46.74339";"46.74555";"38.57749";"33.27082";"34.53424";"56.12805";"42.13507";"41.98685";"61.67735";"60.66279";"61.34130";"68.99183";"57.53370";"59.95041";"60.77467";"40.61919";"65.52457";"77.59163";"35.52079";"56.54819";"79.86564";"70.91846";"77.43125";"66.16514";"75.84609";"69.03959";"75.29485";"77.78757";"83.43630";"71.15583";"89.19726";"84.24485";"80.96489";"83.90765";"76.61919";"75.67768";"81.14433";"79.56407";"64.57578";"87.54515";"83.23784";"70.75943";"85.38573";"85.34621";"89.91965";"69.54199";"75.45917";"76.92433";"81.66918";"84.83716";"82.00818";"90.66830";"89.88648";"86.14569";"83.65573";"91.06509";"89.85994";"86.42606"
"8pm";"20.13470";"14.56523";"22.97215";"18.59007";"37.06902";"51.19466";"48.18555";"31.75053";"48.87412";"47.57324";"41.70459";"32.69067";"34.25375";"58.84918";"41.20200";"43.24728";"55.96580";"58.84803";"62.43485";"71.86092";"54.12889";"59.00673";"61.20005";"42.68754";"63.77107";"78.05039";"35.97334";"59.12994";"82.96866";"69.14348";"80.35657";"64.11331";"76.00931";"69.01108";"76.40656";"76.93798";"84.10157";"72.01220";"88.61083";"84.07684";"80.96183";"85.38053";"77.54946";"76.30443";"81.49486";"79.33671";"67.22226";"89.33800";"81.26065";"73.04659";"85.44177";"86.29079";"91.48468";"71.46332";"78.06521";"78.51777";"82.72508";"85.32965";"82.20695";"90.50489";"91.55570";"87.21628";"81.95148";"90.69434";"90.90470";"85.54855"
"9pm";"19.71764";"16.65007";"26.45390";"16.67947";"37.98045";"51.15072";"47.89915";"31.54286";"50.88794";"43.82618";"38.83242";"31.37910";"35.04802";"57.52923";"40.84508";"44.85435";"55.29891";"58.92575";"63.73466";"71.05828";"55.55309";"58.42555";"61.34378";"43.30733";"63.46544";"79.08523";"36.08094";"58.94764";"81.34473";"69.44489";"79.95252";"64.39313";"74.90176";"68.69562";"77.81941";"77.08281";"84.27843";"72.80075";"88.79307";"84.35408";"81.44134";"85.19797";"75.28859";"77.33851";"81.11073";"78.86878";"65.31268";"88.33392";"78.94599";"73.73545";"85.18785";"86.61757";"91.05859";"72.48303";"77.79763";"79.30532";"82.84705";"85.52679";"82.77460";"90.61293";"91.41272";"86.57374";"82.35119";"90.91294";"91.20104";"86.24793"
"10pm";"20.11349";"14.68377";"24.67672";"17.19947";"39.79271";"52.26290";"45.98966";"31.05768";"48.80944";"44.30976";"38.64546";"29.03110";"35.04094";"57.51673";"41.37461";"45.20292";"56.92469";"56.74633";"63.95950";"70.68180";"55.25951";"57.66333";"61.58442";"41.39803";"61.24127";"79.46555";"35.41054";"59.79691";"80.81506";"69.15210";"78.15466";"63.42727";"74.42730";"66.83403";"78.10465";"77.30304";"85.63537";"72.83160";"88.95992";"84.33115";"80.77639";"85.37881";"75.46019";"77.94398";"81.15493";"78.76401";"65.62040";"88.33392";"78.51664";"73.82337";"85.40700";"87.48797";"91.23952";"71.42545";"78.34142";"78.41817";"83.43603";"86.17190";"83.08938";"90.61293";"91.41914";"85.66375";"86.50135";"90.81772";"91.24973";"86.24793"
"11pm";"19.96152";"15.18431";"23.88732";"16.77354";"38.57954";"52.60979";"46.08900";"30.83216";"50.08916";"45.20634";"38.32110";"25.09120";"33.87691";"58.28262";"41.60206";"43.57544";"57.18010";"56.91224";"64.82714";"71.89996";"54.18890";"58.57688";"60.64972";"41.65205";"60.66945";"80.01455";"34.26947";"58.68618";"81.15361";"70.43250";"78.72272";"63.61544";"74.60957";"66.47353";"78.14232";"77.45450";"85.82369";"72.47184";"89.28383";"84.01751";"80.69595";"85.00991";"75.80472";"78.28009";"80.83091";"78.93477";"66.46015";"88.62699";"78.18435";"73.75506";"85.18263";"87.48797";"91.37306";"71.43286";"78.79610";"78.92651";"83.10853";"86.43427";"83.38853";"90.53496";"91.62816";"84.17272";"86.70177";"91.34124";"90.58430";"86.42646"
"12pm";"21.38512";"16.84436";"22.69835";"15.34145";"37.45709";"52.28547";"46.08900";"29.91075";"51.07666";"45.21840";"38.42520";"23.87804";"33.99557";"57.89841";"41.01337";"44.96887";"56.45644";"54.24817";"64.83673";"72.15609";"53.88064";"58.87806";"58.99041";"41.88671";"63.94742";"81.06086";"32.48105";"58.68618";"81.14426";"70.33755";"79.78758";"63.86962";"74.89280";"66.73133";"77.67647";"77.73415";"85.91930";"71.56929";"89.11869";"84.49725";"81.02200";"84.89909";"75.94946";"78.11393";"79.67654";"77.96475";"66.70872";"88.86005";"77.39168";"73.69796";"85.30152";"87.63309";"91.37306";"71.47899";"78.79610";"79.06555";"83.72082";"86.51994";"83.38853";"90.59806";"91.94938";"84.08905";"86.92556";"91.21383";"90.71065";"86.48387"
"1am";"22.08264";"15.39018";"22.64776";"13.81456";"37.49380";"51.56118";"46.68982";"29.06290";"51.47266";"44.05801";"38.02829";"25.06061";"34.30682";"56.41964";"40.53117";"44.77414";"57.96760";"56.41028";"64.71337";"71.73917";"52.57421";"58.87806";"58.60698";"42.34049";"63.73237";"81.06086";"30.62882";"59.45639";"82.22137";"70.33755";"80.29289";"64.64157";"74.89280";"66.53549";"77.84979";"77.73415";"85.91930";"71.27210";"89.11869";"84.65679";"81.04888";"85.05870";"75.53170";"78.11393";"79.48830";"77.99609";"67.06121";"88.60957";"77.57421";"74.21444";"85.35636";"87.63309";"91.50298";"71.06090";"78.79610";"79.22311";"83.72082";"86.68809";"83.38853";"90.59806";"92.07317";"83.98719";"87.02030";"91.52244";"90.71065";"86.48387"
"2am";"22.35589";"15.29456";"22.74000";"14.05004";"37.61211";"51.14918";"46.98439";"29.35766";"51.81578";"42.94127";"38.34047";"23.30874";"35.20734";"56.02439";"40.35265";"45.57004";"58.13227";"55.84342";"64.31709";"72.48728";"52.57421";"58.87806";"58.60698";"42.71692";"63.73237";"81.06086";"30.62882";"58.74844";"82.31455";"70.12145";"80.46001";"64.64157";"74.67901";"66.29347";"77.84979";"77.73415";"85.91930";"71.60236";"89.23797";"84.54172";"81.04888";"85.05870";"75.17734";"78.11393";"79.48830";"77.99609";"67.06121";"88.60957";"77.57421";"74.21444";"85.35636";"86.49021";"91.50298";"71.24776";"78.79610";"79.37409";"83.72082";"86.68809";"82.59754";"90.59806";"92.07317";"83.98719";"87.02030";"91.59876";"90.91239";"86.48387"
"3am";"22.35589";"15.46672";"22.66107";"14.14145";"37.79606";"51.14918";"46.98439";"28.98417";"51.49035";"43.35603";"38.87946";"23.21456";"35.20734";"56.02439";"40.35265";"45.57004";"57.83708";"55.84342";"64.31709";"72.48728";"52.57421";"59.11947";"59.24264";"42.71692";"64.34236";"81.06086";"30.62882";"58.38610";"82.31455";"70.03608";"80.46001";"64.64157";"74.67901";"66.10130";"77.84979";"77.73415";"85.71936";"71.60236";"89.23797";"84.54172";"80.88187";"85.37874";"75.17734";"78.11393";"79.48830";"77.99609";"67.06121";"88.60957";"77.47088";"74.21444";"85.35636";"86.49021";"91.50298";"71.24776";"78.79610";"79.37409";"83.72082";"86.47861";"82.59754";"90.59806";"92.07317";"83.98719";"87.02030";"91.68379";"90.91239";"86.48387"
