"hour","sex1","sex2"
"4am",0.283564827342829,0.283564827342829
"5am",0.304482311423362,0.304482311423362
"6am",0.251313828128896,0.251313828128896
"7am",-0.0265985267029428,-0.0265985267029428
"8am",0.145022684836011,0.145022684836011
"9am",0.143273227585421,0.143273227585421
"10am",0.151369009745627,0.151369009745627
"11am",0.145290042057017,0.145290042057017
"12am",0.067442241455751,0.0674422414557512
"1pm",0.00523169792677035,0.00523169792677026
"2pm",0.0426879815102274,0.0426879815102275
"3pm",0.0334913121089391,0.0334913121089392
"4pm",-0.0134185826301366,-0.0134185826301364
"5pm",-0.0218622440942194,-0.0218622440942195
"6pm",0.251458582171852,0.251458582171851
"7pm",0.246744948610721,0.246744948610721
"8pm",0.307173541711956,0.307173541711956
"9pm",0.323559533459583,0.323559533459584
"10pm",0.318840111060233,0.318840111060233
"11pm",0.33118401159926,0.331184011599259
"12pm",0.311850424832724,0.311850424832724
"1am",0.31561312193568,0.31561312193568
"2am",0.309847708979407,0.309847708979407
"3am",0.321967879352274,0.321967879352274
