"hour","mode1","mode2","mode3"
"4am",0.2147,0.3008,0.2939
"5am",0.2122,0.2987,0.2921
"6am",0.205,0.2993,0.2986
"7am",0.2618,0.3075,0.2759
"8am",0.2838,0.2875,0.2447
"9am",0.3066,0.2759,0.2245
"10am",0.3198,0.2715,0.2208
"11am",0.3491,0.2717,0.2267
"12am",0.3323,0.3,0.2481
"1pm",0.2898,0.2903,0.2548
"2pm",0.3208,0.3087,0.2745
"3pm",0.2813,0.3082,0.2669
"4pm",0.2657,0.3004,0.2642
"5pm",0.2638,0.29,0.262
"6pm",0.2221,0.2935,0.284
"7pm",0.2063,0.2935,0.2812
"8pm",0.226,0.297,0.283
"9pm",0.2224,0.2952,0.2851
"10pm",0.2182,0.3034,0.2906
"11pm",0.2096,0.304,0.2969
"12pm",0.2078,0.2983,0.2917
"1am",0.2048,0.2996,0.2939
"2am",0.2063,0.2998,0.2937
"3am",0.2054,0.2999,0.2948
