"hour","cs1","cs2","cs3","cs4","cs5"
"4am",0.197,0.2145,0.1384,0.2139,0.2134
"5am",0.1966,0.2117,0.141,0.214,0.2115
"6am",0.1954,0.2144,0.1409,0.2093,0.2176
"7am",0.1924,0.2264,0.1293,0.1949,0.1936
"8am",0.1912,0.2308,0.1173,0.1557,0.1693
"9am",0.1754,0.2403,0.1155,0.1429,0.1571
"10am",0.193,0.236,0.1154,0.1486,0.1665
"11am",0.1948,0.2384,0.1113,0.1313,0.1723
"12am",0.2008,0.2414,0.0979,0.1407,0.1764
"1pm",0.2495,0.2253,0.0962,0.1403,0.1923
"2pm",0.2339,0.218,0.1028,0.145,0.1851
"3pm",0.2112,0.2439,0.1151,0.1466,0.1556
"4pm",0.2178,0.2207,0.1196,0.1321,0.1818
"5pm",0.2042,0.2049,0.1178,0.1684,0.1823
"6pm",0.2105,0.1923,0.126,0.1925,0.1861
"7pm",0.2123,0.2009,0.1354,0.1955,0.206
"8pm",0.2125,0.222,0.1251,0.1971,0.2146
"9pm",0.2147,0.2167,0.1298,0.2016,0.2132
"10pm",0.2194,0.2182,0.134,0.2082,0.2288
"11pm",0.2106,0.2126,0.1326,0.2067,0.2208
"12pm",0.2086,0.2166,0.1313,0.2092,0.2215
"1am",0.2089,0.2177,0.1313,0.2085,0.2212
"2am",0.2075,0.2184,0.1317,0.2097,0.2165
"3am",0.2084,0.2199,0.1321,0.2107,0.2205
