"hour","age1","age2","age3","age4"
"4am",0.2429,0.1583,0.1877,0.0825
"5am",0.2425,0.1545,0.1871,0.0794
"6am",0.2523,0.1496,0.1913,0.0784
"7am",0.2814,0.1507,0.1665,0.1096
"8am",0.3059,0.156,0.1227,0.143
"9am",0.3085,0.1539,0.1263,0.1457
"10am",0.3139,0.1589,0.1202,0.1597
"11am",0.2935,0.169,0.1087,0.1625
"12am",0.2995,0.1621,0.1254,0.1485
"1pm",0.2921,0.1745,0.1151,0.1714
"2pm",0.2895,0.1557,0.1076,0.182
"3pm",0.2861,0.1603,0.1182,0.1603
"4pm",0.2667,0.1406,0.1249,0.1206
"5pm",0.2794,0.1437,0.1372,0.1101
"6pm",0.2581,0.1495,0.1742,0.088
"7pm",0.2515,0.1528,0.1793,0.0858
"8pm",0.2472,0.1447,0.1766,0.0859
"9pm",0.2381,0.1493,0.1821,0.087
"10pm",0.2391,0.1555,0.1892,0.082
"11pm",0.2356,0.1546,0.1845,0.0811
"12pm",0.2408,0.1548,0.1901,0.08
"1am",0.2371,0.155,0.1882,0.0816
"2am",0.2369,0.156,0.1889,0.0788
"3am",0.2388,0.1596,0.1912,0.0763
