"hour","act1","act2","act3","act4","act5"
"4am",0.3458,0.3587,0.9671,0.6437,0
"5am",0.2861,0.3066,0.9665,0.9224,0.6623
"6am",0.3094,0.3384,0.833,0.8483,0.6068
"7am",0.2724,0.2358,0.4185,0.7613,0.4573
"8am",0.2519,0.2067,0.4122,0.4302,0.2861
"9am",0.2626,0.2093,0.4209,0.33,0.2448
"10am",0.2691,0.2043,0.4305,0.3531,0.2223
"11am",0.2737,0.2093,0.4296,0.3854,0.2453
"12am",0.2681,0.2217,0.3855,0.5733,0.2811
"1pm",0.2801,0.2218,0.411,0.4853,0.2232
"2pm",0.2564,0.1983,0.4079,0.4527,0.2218
"3pm",0.2244,0.1913,0.4121,0.4289,0.1425
"4pm",0.2214,0.1864,0.4317,0.4068,0.1835
"5pm",0.2343,0.2207,0.5674,0.4833,0.1891
"6pm",0.2685,0.2616,0.5544,0.452,0.2998
"7pm",0.2149,0.3055,0.7107,0.6711,0.2295
"8pm",0.2214,0.3892,0.8206,0.6741,0.2183
"9pm",0.2691,0.365,0.8221,0.9078,0.268
"10pm",0.3125,0.4076,0.8653,0.9421,0.3547
"11pm",0.4308,0.5037,0.9534,0.9416,0.4648
"12pm",0.4576,0.5205,0.9401,0.5034,0
"1am",0.4598,0.5314,0.9407,0.5058,0
"2am",0.4217,0.5461,0.9404,0.4839,0
"3am",0.4566,0.5455,0.9404,0.5212,0
