"hour","sex1","sex2"
"4am",0.0732,0.0732
"5am",0.0712,0.0712
"6am",0.0733,0.0733
"7am",0.0901,0.0901
"8am",0.1035,0.1035
"9am",0.1055,0.1055
"10am",0.0992,0.0992
"11am",0.0888,0.0888
"12am",0.0877,0.0877
"1pm",0.1038,0.1038
"2pm",0.0982,0.0982
"3pm",0.0904,0.0904
"4pm",0.0913,0.0913
"5pm",0.0764,0.0764
"6pm",0.0694,0.0694
"7pm",0.0669,0.0669
"8pm",0.0621,0.0621
"9pm",0.0622,0.0622
"10pm",0.0568,0.0568
"11pm",0.056,0.056
"12pm",0.0568,0.0568
"1am",0.0562,0.0562
"2am",0.057,0.057
"3am",0.0559,0.0559
