"hour","cs1","cs2","cs3","cs4","cs5"
"4am",-0.0249121380007909,0.0909369784439035,0.240160977139984,0.201853374564413,0.172638295319997
"5am",-0.0334818103901031,0.0989947322810124,0.249471849799648,0.211235380700017,0.172154009433096
"6am",-0.0426585749095382,0.0950558885589724,0.220799603870944,0.174966053686242,0.177622476670587
"7am",-0.148966307795697,0.163093218705263,0.204908354242699,0.15976682844199,0.16100899567573
"8am",-0.0927967561263735,0.174625059805087,0.129532411259646,0.16852352261912,0.146351489984621
"9am",-0.0765672324892383,0.238716660835935,0.181415161621388,0.169445895229665,0.0957623923772018
"10am",-0.0273114575257148,0.284206309593091,0.153440878475717,0.159677236178767,0.110357665271674
"11am",-0.00582111328477903,0.284350529143389,0.164726701869752,0.192820244773266,0.0872335483571295
"12am",-0.0922616040433064,0.222688716871205,0.272031137994127,0.139785500854156,0.042602176888737
"1pm",-0.138032207694678,0.264376699160316,0.258090281689184,0.268941879140958,0.039137239625236
"2pm",-0.0893707942800762,0.272372484806309,0.179842279712253,0.20168415917309,0.0219400855113318
"3pm",-0.157321661239683,0.306142245100018,0.248381634551782,0.150753628182306,0.0701664066093517
"4pm",-0.102540563526108,0.288531462365832,0.282152035262445,0.237257274707377,0.130725782600845
"5pm",-0.0333418715593298,0.215326241132322,0.289124809185354,0.235503148432348,0.128130339775193
"6pm",-0.0319245538266679,0.206511706425797,0.332214422310382,0.287534902617662,0.0674780273826599
"7pm",0.0467189769447491,0.172621973979213,0.350803067811792,0.228469779226674,0.136137618942755
"8pm",0.0505849010993854,0.124980138998841,0.305219801926515,0.161774167133012,0.167939959027744
"9pm",0.0591070922050101,0.0850204712866347,0.304924474281292,0.212109677908504,0.171941623483236
"10pm",0.058497205001162,0.0877638721637817,0.281488316769971,0.209226096359584,0.169878126967167
"11pm",0.0982088784651335,0.0978745333546876,0.287127718608881,0.217659485520054,0.16734211984193
"12pm",0.0911802083290612,0.0884892383420617,0.274151418625001,0.212133628458485,0.172803891435039
"1am",0.0948808996633723,0.0827319201562648,0.277144359462271,0.210992487337465,0.171392115750717
"2am",0.0958452044340859,0.0805087139658351,0.273455169926145,0.213202204653305,0.168452387976994
"3am",0.095560513606842,0.084543011591427,0.273745119307764,0.215304426327872,0.16679432178641
