"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.1736,0.1765,0.1377,0.2915
"5am",0.1774,0.1761,0.1359,0.2948
"6am",0.1737,0.1784,0.1258,0.2908
"7am",0.1642,0.1512,0.1202,0.2818
"8am",0.1841,0.121,0.119,0.2435
"9am",0.2054,0.1143,0.1279,0.2231
"10am",0.1834,0.1094,0.1184,0.2295
"11am",0.1825,0.1096,0.1217,0.2375
"12am",0.1831,0.1265,0.1192,0.2128
"1pm",0.188,0.121,0.1199,0.2105
"2pm",0.1817,0.1148,0.1104,0.2143
"3pm",0.1437,0.1318,0.1156,0.2137
"4pm",0.1676,0.1254,0.1366,0.2134
"5pm",0.1819,0.1389,0.1438,0.2525
"6pm",0.1637,0.1625,0.1548,0.2633
"7pm",0.1741,0.1732,0.1404,0.2582
"8pm",0.1778,0.1799,0.1491,0.2651
"9pm",0.178,0.1832,0.1519,0.2736
"10pm",0.182,0.1863,0.1533,0.2867
"11pm",0.1833,0.1857,0.1453,0.2887
"12pm",0.1804,0.1858,0.1512,0.2908
"1am",0.1819,0.1855,0.1536,0.2908
"2am",0.1808,0.1854,0.1545,0.2926
"3am",0.1808,0.1873,0.1554,0.2925
