"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.1242,0.2643,0.2396,0.082,0.1904
"5am",0.1233,0.2645,0.2372,0.0802,0.1906
"6am",0.1236,0.2805,0.2386,0.0847,0.1914
"7am",0.1237,0.3573,0.231,0.1461,0.2177
"8am",0.1135,0.3903,0.2497,0.2018,0.2369
"9am",0.1263,0.4057,0.2459,0.1981,0.2486
"10am",0.1198,0.4128,0.2414,0.211,0.2645
"11am",0.1165,0.4029,0.2093,0.2004,0.2463
"12am",0.1239,0.3846,0.2098,0.1812,0.2253
"1pm",0.1388,0.3825,0.1923,0.2137,0.2313
"2pm",0.1241,0.3697,0.2059,0.2165,0.2297
"3pm",0.1365,0.3528,0.2236,0.2111,0.224
"4pm",0.1224,0.3429,0.2366,0.1638,0.2213
"5pm",0.1109,0.3364,0.2148,0.1372,0.1969
"6pm",0.117,0.2957,0.2352,0.1041,0.1814
"7pm",0.1165,0.2741,0.2604,0.0882,0.1883
"8pm",0.1246,0.258,0.2569,0.0911,0.1843
"9pm",0.1233,0.2617,0.265,0.0912,0.1798
"10pm",0.1244,0.2651,0.2675,0.0849,0.1897
"11pm",0.1237,0.2629,0.2605,0.0839,0.1901
"12pm",0.125,0.2637,0.2553,0.0853,0.1892
"1am",0.1245,0.2588,0.2568,0.0869,0.1881
"2am",0.1244,0.2588,0.2548,0.0844,0.1865
"3am",0.1249,0.2614,0.2602,0.0832,0.1874
