"hour","resarea1","resarea2","resarea3"
"4am",0.9748,0.9837,0.9778
"5am",0.9701,0.9801,0.9727
"6am",0.9543,0.9693,0.9635
"7am",0.8128,0.8105,0.8148
"8am",0.6386,0.6275,0.6588
"9am",0.5966,0.5658,0.6077
"10am",0.5871,0.5446,0.5955
"11am",0.6037,0.5687,0.6028
"12am",0.6672,0.6522,0.6696
"1pm",0.6143,0.6039,0.6245
"2pm",0.5809,0.5563,0.5846
"3pm",0.576,0.5633,0.5945
"4pm",0.6593,0.6176,0.6583
"5pm",0.8056,0.756,0.7881
"6pm",0.8942,0.8579,0.8818
"7pm",0.9202,0.9054,0.9216
"8pm",0.935,0.9229,0.9317
"9pm",0.9529,0.9406,0.9435
"10pm",0.9638,0.9633,0.9605
"11pm",0.973,0.9797,0.9698
"12pm",0.9777,0.9905,0.9818
"1am",0.9806,0.9925,0.9836
"2am",0.9806,0.9944,0.9848
"3am",0.9806,0.9942,0.9844
