"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.24,0.2371,0.102,0.2466,0.3406
"5am",0.2332,0.234,0.1038,0.2476,0.3369
"6am",0.2337,0.2328,0.1057,0.2418,0.3382
"7am",0.2151,0.2321,0.1066,0.2378,0.2774
"8am",0.1757,0.2155,0.0926,0.1943,0.2079
"9am",0.1534,0.22,0.0974,0.1871,0.1919
"10am",0.1894,0.2215,0.0995,0.1902,0.1913
"11am",0.1821,0.2215,0.0996,0.1826,0.22
"12am",0.2128,0.2313,0.0894,0.191,0.2368
"1pm",0.2172,0.2091,0.086,0.171,0.2082
"2pm",0.203,0.2001,0.0863,0.1894,0.1955
"3pm",0.2008,0.2132,0.0933,0.1798,0.2005
"4pm",0.1863,0.203,0.103,0.1639,0.2188
"5pm",0.1948,0.2131,0.0842,0.1954,0.247
"6pm",0.2132,0.2102,0.1029,0.2219,0.2999
"7pm",0.2332,0.2158,0.1078,0.2417,0.3294
"8pm",0.2164,0.2525,0.0958,0.2475,0.3256
"9pm",0.2233,0.2494,0.1008,0.2438,0.3314
"10pm",0.2295,0.2571,0.095,0.2485,0.3462
"11pm",0.2315,0.2501,0.1007,0.2508,0.3356
"12pm",0.2311,0.2528,0.0987,0.251,0.3394
"1am",0.2321,0.2549,0.0993,0.2509,0.3396
"2am",0.2317,0.2537,0.0999,0.2526,0.3345
"3am",0.2315,0.2562,0.099,0.2535,0.3413
