"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.1464,0.1754,0.0974,0.2442
"5am",0.1494,0.176,0.0975,0.2477
"6am",0.1487,0.1783,0.0919,0.2447
"7am",0.1549,0.1592,0.072,0.2421
"8am",0.1715,0.1511,0.0887,0.2273
"9am",0.1976,0.151,0.0948,0.2147
"10am",0.1635,0.1468,0.1015,0.2136
"11am",0.1651,0.1366,0.0996,0.218
"12am",0.168,0.1336,0.0964,0.2223
"1pm",0.1867,0.1298,0.0966,0.2038
"2pm",0.1705,0.1327,0.1029,0.2141
"3pm",0.1494,0.1307,0.0959,0.2097
"4pm",0.1573,0.1523,0.1152,0.194
"5pm",0.1591,0.1476,0.1103,0.2205
"6pm",0.1488,0.1578,0.1111,0.2286
"7pm",0.1536,0.1686,0.1058,0.2246
"8pm",0.148,0.177,0.1135,0.2302
"9pm",0.1477,0.1798,0.1254,0.2333
"10pm",0.1461,0.18,0.1168,0.2389
"11pm",0.1468,0.178,0.1076,0.2392
"12pm",0.1493,0.1748,0.1059,0.2372
"1am",0.1502,0.1755,0.1071,0.236
"2am",0.1497,0.1747,0.1073,0.2379
"3am",0.1497,0.1758,0.1066,0.2387
