"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021"
"min";"1162.779488";"1162.779488";"1162.779488";"1162.779488";"1162.779488";"1162.779488";"1162.779488";"1162.779488";"1162.779488";"1162.779488";"1162.779488";"1162.779488";"1162.779488";"1162.779488";"1162.779488";"1162.779488";"1162.779488";"1162.779488";"1162.779488";"1162.779488";"1162.779488"
"max";"4768.083936";"4768.083936";"4768.083936";"4768.083936";"4768.083936";"4768.083936";"4768.083936";"4768.083936";"4768.083936";"4768.083936";"4768.083936";"4768.083936";"4768.083936";"4768.083936";"4768.083936";"4768.083936";"4768.083936";"4768.083936";"4768.083936";"4768.083936";"4768.083936"
"4am";"2428.764";"1960.900";"2009.063";"2304.918";"1905.858";"2380.602";"2387.482";"2504.448";"2621.414";"2098.507";"2346.200";"2408.123";"1871.456";"2820.944";"2353.080";"2442.525";"2256.755";"2518.209";"2050.345";"2669.577";"2339.320"
"5am";"2449.405";"1974.661";"2009.063";"2332.439";"1912.738";"2401.243";"2311.798";"2470.046";"2614.534";"2098.507";"2311.798";"2373.721";"1782.011";"2931.030";"2284.277";"2415.004";"2160.431";"2504.448";"2015.943";"2593.893";"2229.234"
"6am";"2490.687";"2009.063";"2077.866";"2346.200";"1926.499";"2538.850";"2201.713";"2470.046";"2580.132";"2002.182";"2146.670";"2160.431";"1651.284";"3392.014";"2036.584";"2160.431";"1919.618";"2525.089";"1871.456";"2325.559";"2015.943"
"7am";"3220.005";"1857.695";"2002.182";"2112.268";"2242.995";"2566.371";"1960.900";"2229.234";"2869.107";"1885.216";"2077.866";"1740.729";"1458.635";"4093.809";"1692.567";"1850.815";"1658.165";"2421.884";"1644.404";"2077.866";"1740.729"
"8am";"3625.946";"1933.379";"2146.670";"2077.866";"2408.123";"2552.611";"1809.533";"2009.063";"3054.876";"1905.858";"2105.388";"1589.361";"1376.070";"4169.493";"1589.361";"1726.968";"1575.601";"2366.841";"1520.558";"2009.063";"1665.045"
"9am";"3777.313";"2119.148";"2277.397";"2002.182";"2476.927";"2476.927";"1720.088";"1981.541";"3116.799";"1830.174";"2187.952";"1479.276";"1321.028";"4307.100";"1486.156";"1644.404";"1493.036";"2346.200";"1431.113";"1940.259";"1603.122"
"10am";"3770.433";"2174.191";"2236.114";"2029.704";"2518.209";"2408.123";"1692.567";"1974.661";"3144.321";"1864.575";"2146.670";"1534.318";"1279.745";"4313.981";"1437.994";"1596.242";"1444.874";"2298.038";"1458.635";"1885.216";"1534.318"
"11am";"3564.022";"2181.072";"2263.636";"2036.584";"2401.243";"2435.645";"1720.088";"2112.268";"3013.594";"1837.054";"2242.995";"1499.917";"1286.626";"4252.058";"1561.840";"1575.601";"1451.754";"2339.320";"1499.917";"1898.977";"1561.840"
