"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"7194.29707";"7194.29707";"7194.29707";"7194.29707";"7194.29707";"7194.29707";"7194.29707";"7194.29707";"7194.29707";"7194.29707";"7194.29707";"7194.29707";"7194.29707";"7194.29707";"7194.29707";"7194.29707";"7194.29707";"7194.29707";"7194.29707";"7194.29707";"7194.29707";"7194.29707";"7194.29707";"7194.29707";"7194.29707";"7194.29707";"7194.29707";"7194.29707";"7194.29707";"7194.29707"
"4am";"1226.7749";" 592.5748";"1268.5535";"1117.9967";" 850.6475";"1321.4034";" 726.2237";"1011.4419";"1382.9227";" 486.3725";"1947.8664";"1020.9731";" 843.8117";"1278.6895";"1208.3903";"1519.9300";"1495.1633";" 675.1076";"1328.3360";"2881.5030";"1126.6698";" 997.1649";" 550.1409";" 275.4183";" 801.8964";" 729.1779";" 427.2292";" 718.8683";" 476.7521";"1403.6014"
"5am";"1186.4267";" 592.5748";"1268.5535";"1117.9967";" 850.6475";"1321.4034";" 726.2237";"1011.4419";"1382.9227";" 486.3725";"1947.8664";"1020.9731";" 843.8117";" 463.7687";"1208.3903";"1519.9300";"1495.1633";"1490.0284";"1328.3360";"2881.5030";"1126.6698";" 997.1649";" 550.1409";" 275.4183";" 801.8964";" 729.1779";" 427.2292";" 718.8683";" 476.7521";"1403.6014"
"6am";"1186.4267";" 592.5748";"1357.8342";"1066.6762";" 850.6475";"1268.0338";" 726.2237";" 885.0446";"1346.8879";" 447.3765";"2003.7564";"1020.9731";" 879.8465";" 463.7687";"1171.2721";"1519.9300";"1296.9912";"1490.0284";"1073.8458";"2843.1432";"1126.6698";" 997.1649";" 550.1409";" 275.4183";" 801.8964";" 729.1779";" 427.2292";" 676.4211";" 413.2218";"1403.6014"
"7am";" 979.3316";" 466.5593";"1310.1012";"1253.9988";" 571.6603";" 854.9796";" 621.8637";" 732.8474";"1504.2193";" 394.5246";"2987.7425";" 851.8014";"1116.3028";" 613.1092";"1002.7558";"1966.0559";" 875.5906";"1229.1135";" 855.2112";"1964.6248";"1672.8915";" 510.0242";" 487.2242";" 231.8640";" 570.8842";" 669.5474";" 331.7135";" 676.4211";" 376.6409";"1270.8756"
"8am";"1118.9298";" 574.5444";"1287.3326";"1231.4916";" 490.5095";" 611.7220";" 911.7835";" 685.5528";"1830.8830";" 351.0583";"2704.0598";" 951.2576";"1214.0187";" 738.0450";"1572.7592";"1592.0901";" 777.7483";"1327.1309";" 647.4213";"2032.6987";"1002.9036";" 632.9099";" 273.9686";" 380.9455";" 562.1567";" 669.1983";" 293.5144";" 618.2357";" 369.0458";"1069.9409"
"9am";"1013.0255";" 959.0735";"1391.9894";" 845.7124";" 413.6508";" 660.6909";" 911.7835";" 685.5528";"1890.6429";" 351.0583";"2956.7667";"1059.3938";"1175.1413";" 701.1424";"1621.1420";"1979.3249";" 672.8622";"1248.0543";" 446.7856";"1990.8002";" 906.7911";" 597.5858";" 273.9686";" 265.3158";" 544.2124";" 669.1983";" 293.5144";" 602.4974";" 342.1517";"1196.8187"
"10am";"1132.0496";" 803.5955";"1331.8735";" 904.7624";" 364.6819";" 352.9481";" 847.5168";" 614.6311";"1894.6393";" 304.6834";"3137.9128";" 873.5914";"1143.4107";" 670.0921";"1649.4678";"2243.1887";" 796.6713";"1248.0543";" 529.1329";"2070.0584";"1159.4313";" 303.5456";" 211.0520";" 265.3158";" 627.5736";" 619.7429";" 320.4086";" 554.4491";" 342.1517";"1120.3583"
"11am";"1064.8435";" 902.5079";"1183.9590";" 794.6429";" 315.7131";" 637.6319";" 847.5168";" 614.6311";"1998.4193";" 258.4236";"3167.1737";"1764.5469";"1179.4790";" 590.1536";" 818.1917";"1952.7568";" 771.1650";"1230.4091";" 511.5100";"2163.8532";"1144.8383";" 516.4753";" 273.9686";" 265.3158";" 414.6439";" 669.1983";" 223.0310";" 554.4491";" 369.0458";"1084.4380"
