"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066"
"12am";"2902.8082";"9561.8478";"5295.5900";"4723.7781";"2528.9955";"4630.0286";"3139.5545";"4088.3846";"3519.3992";"2705.0823";"4278.5199";"1263.5040";"5290.8092";"1487.3342";"3562.5565";"2437.3145";"3709.5770";"1670.3470";"3510.6502";"4950.6635";"5381.7192";"3400.0526";"6784.0642";"5039.1139";"3702.4971";"1135.1758";"2725.4209";"6021.8066";"4250.2672";"8846.7199";"3163.2726";"4469.8590";"3662.2854";"3436.3395";"3680.7971";"4539.5619";"3009.1373";"6484.3032";"2034.8101";"3356.3384";"3681.5880";" 977.9448";"2993.4436";"2336.7938";"1979.7241";"3515.1996";"2225.6238";" 828.1666";"4688.4972";"4385.0090";"4000.8914";"3753.5921";"2241.4421";"8396.7846";"2470.7259";"2649.7833";"1879.6970";"1195.4049";"3838.7031";"2363.7027";"3002.7340";"4511.1233";"1070.5441";"4160.5282";"3267.4629";"3861.6184"
"1pm";"3163.7122";"9330.6740";"4869.2865";"4509.1742";"2571.4387";"4477.5686";"3405.0689";"4096.9439";"3285.9727";"2756.6091";"4129.6946";"1449.0093";"5474.3872";"1497.5107";"3210.3907";"2982.2747";"3344.5735";"1591.3551";"3540.8219";"3927.9312";"5138.6205";"3313.0394";"6960.2551";"5123.7455";"3348.1951";"1032.3166";"2446.9052";"6293.2269";"4646.3667";"9173.1187";"3241.2907";"4669.0633";"3470.3816";"3442.8969";"3426.6686";"3489.7128";"3256.2060";"6219.3872";"1869.9089";"2902.3662";"3290.8602";"1028.2461";"3058.3312";"3039.4434";"2117.1628";"3578.4322";"2233.4697";" 754.5746";"4414.2299";"4558.2663";"4055.3829";"3725.0135";"2426.4675";"8812.5587";"2474.0685";"2557.1606";"1896.8874";"1148.0500";"3756.5308";"2165.8063";"3054.9480";"4839.4762";"1151.5490";"4134.3370";"3417.1746";"3943.3163"
"2pm";"2883.9784";"9518.6560";"4980.4703";"4697.2393";"2597.3200";"4774.4029";"3392.3716";"4626.6210";"3048.3452";"2716.3604";"3617.6542";"1597.6369";"5225.5529";"1579.3833";"3433.9829";"3498.8620";"2856.7198";"1700.3818";"3347.2986";"4751.0735";"5910.3534";"2718.4600";"6817.3530";"5094.1547";"2948.1411";"1108.9497";"2883.3337";"6357.4001";"4719.6976";"9568.1491";"2642.9579";"4746.1080";"3792.7889";"3016.9322";"3401.4191";"3485.0689";"3593.7515";"6381.5993";"1676.8656";"2801.6402";"4131.0098";" 964.5741";"2582.5824";"2890.1028";"2069.5873";"3674.7668";"2284.4038";" 905.2989";"5421.1865";"4151.1464";"3873.0399";"3794.3144";"2330.7136";"8356.1769";"1813.9693";"2961.1451";"2399.1969";"1263.7800";"3903.0791";"2235.6522";"3076.9054";"4493.4951";" 900.9336";"3865.1854";"3337.8866";"3347.7181"
"3pm";"2909.7921";"9187.9045";"5075.2510";"4735.7411";"2891.7833";"4742.2454";"3639.8503";"4149.8509";"3099.3081";"2467.3932";"4360.6541";"1435.8356";"5048.4574";"1467.4158";"3813.2665";"2535.5277";"2643.5241";"1818.6418";"3197.0459";"4152.6429";"5927.4763";"2823.7769";"6645.4261";"4427.0553";"3172.5667";"1191.5472";"2516.3503";"6216.8165";"4526.8664";"9672.6060";"2380.9217";"4893.8941";"4378.4344";"2991.3906";"2877.9114";"4068.2310";"3520.2304";"6073.7019";"2148.7890";"2918.3714";"3785.1724";"1413.2522";"2819.4180";"2733.2158";"1925.2290";"4109.2519";"2358.3256";" 754.5746";"5582.3434";"4119.8441";"3384.3931";"3853.0368";"2972.6952";"8113.7434";"1541.0673";"3581.3030";"2716.5152";"1332.6084";"3709.5549";"2033.2538";"3227.9630";"4623.0751";"1060.0785";"3827.0390";"3141.6661";"2935.6415"
"4pm";"2253.0142";"8040.7125";"4542.1208";"4177.2517";"2971.0131";"4713.0708";"3157.7472";"4305.5628";"3146.0928";"2551.4402";"4089.0707";"1361.0722";"4632.8992";"1583.9659";"3666.5944";"2172.7569";"2367.0190";"1902.6501";"2860.8563";"5033.1015";"5990.5719";"2605.4830";"6678.9227";"3884.0430";"2623.7713";"1251.6301";"1902.9223";"5400.2768";"3734.6737";"8629.1281";"2371.3833";"5045.2609";"4126.8790";"2597.4543";"3178.9108";"4424.7903";"3451.5933";"5503.4679";"2196.7481";"3573.9368";"3171.0891";" 994.6242";"2986.2103";"2648.8435";"1736.0522";"3533.6753";"2570.5687";" 794.8577";"5915.0250";"4445.0302";"3833.0515";"3926.9961";"2823.7007";"8246.5876";"2085.0196";"2969.4168";"4191.2434";"1345.0193";"4069.8950";"2809.0457";"3152.9930";"4691.9939";"1271.3231";"4334.0274";"3221.7304";"3227.3666"
"5pm";"1582.4027";"7181.4221";"2909.2265";"3125.1246";"2904.9367";"4156.9152";"3236.7150";"4436.6744";"2505.8408";"2805.1073";"4163.0296";"1518.1433";"4318.7040";"1770.7327";"4308.7134";"1995.4698";"1665.1186";"2237.8090";"2279.7972";"5933.8137";"5082.5438";"2682.8848";"6147.2994";"3448.9540";"1775.5525";"1330.7693";"2401.3977";"3973.6574";"2610.8984";"7042.7212";"3177.6249";"4015.1292";"3415.1394";"2994.0024";"3686.3331";"4849.7150";"3062.4342";"6305.2290";"2610.9255";"3497.9849";"4225.2434";"1223.6900";"3161.1036";"2906.8259";"2355.1637";"3163.2663";"2142.5218";" 894.7844";"5669.2887";"4623.8489";"4128.0239";"3655.5603";"3108.0689";"7890.5473";"2306.6168";"3623.2776";"4288.1141";"2399.9831";"4204.9731";"3453.8793";"3209.6788";"6544.3665";"1303.1737";"4274.7557";"3846.9100";"3889.2702"
"6pm";"1477.821";"4869.544";"2779.176";"3143.010";"1993.644";"3348.945";"3388.513";"4814.984";"3138.294";"2593.228";"4539.733";"1620.783";"4432.712";"1530.738";"4153.284";"2055.384";"1405.641";"2599.998";"2725.141";"5666.802";"4752.065";"3192.005";"5553.702";"3538.951";"1591.349";"1233.696";"2674.210";"3372.327";"1871.786";"6880.666";"3337.879";"4409.077";"3581.584";"3242.124";"3821.556";"6012.309";"2741.836";"5110.244";"2836.720";"3275.235";"4556.770";"1206.959";"4378.342";"2925.905";"2830.866";"2978.873";"2683.724";"1104.837";"5526.741";"4495.958";"5143.994";"5347.498";"3160.547";"9121.621";"3393.054";"3363.491";"5019.630";"2665.207";"4965.602";"3748.483";"3886.374";"7366.340";"1908.155";"4665.534";"4227.336";"5016.291"
"7pm";"1265.747";"3634.638";"2955.924";"2749.892";"1912.731";"2698.289";"3584.778";"4757.110";"2828.621";"3011.414";"4967.736";"1943.600";"4618.883";"1696.618";"4218.526";"2303.949";"1119.402";"2586.378";"3114.870";"6736.957";"3943.209";"3803.382";"5995.720";"3385.294";"1751.469";"1591.959";"2720.575";"3330.205";"1892.813";"6909.808";"3423.596";"4100.755";"2806.220";"3014.458";"3823.705";"6088.759";"2123.986";"5170.237";"2793.261";"3826.216";"4533.876";"1602.104";"4776.114";"2871.436";"3069.253";"2784.744";"2274.621";"1104.746";"4412.098";"5383.461";"5290.484";"5515.283";"3230.909";"9201.178";"3370.139";"3297.050";"5282.599";"3344.123";"5517.143";"3991.184";"4126.743";"8159.526";"1889.275";"5381.162";"4552.071";"5608.416"
"8pm";"1239.272";"3441.570";"3058.256";"2673.115";"2067.905";"2510.749";"3808.915";"4798.310";"3103.253";"3229.340";"5017.376";"2018.170";"4014.152";"1651.669";"4517.135";"2691.956";"1140.427";"2060.050";"3044.540";"7637.910";"3124.287";"3980.778";"5780.933";"3296.569";"1717.711";"1492.761";"3134.122";"3153.569";"2097.825";"7325.441";"3645.347";"4201.662";"2766.295";"3075.260";"3873.627";"6183.870";"2224.890";"4549.072";"2811.308";"3920.756";"4148.457";"1701.232";"5028.980";"2794.543";"3142.108";"2957.320";"2385.464";"1104.746";"4391.208";"5500.073";"5713.770";"5925.623";"3466.203";"9707.130";"3299.732";"3597.934";"5651.616";"3488.769";"5692.889";"3750.415";"4629.063";"7735.039";"1976.928";"5737.419";"4315.935";"5511.868"
"9pm";"1166.184";"3133.277";"3043.736";"2899.469";"1908.296";"2762.329";"3792.694";"4675.386";"3336.861";"3308.000";"4776.577";"1866.611";"4801.414";"1562.860";"4370.567";"2697.504";"1104.435";"2174.084";"3267.162";"7286.441";"3020.079";"4004.601";"5955.317";"3296.569";"1697.570";"1594.482";"3196.459";"3031.955";"2176.806";"6742.367";"3756.223";"4079.830";"2754.465";"3247.139";"3873.627";"6408.941";"2398.178";"4480.936";"2876.348";"3971.004";"4148.457";"1701.232";"5028.980";"2774.463";"3142.108";"3025.466";"2330.675";"1104.746";"4207.576";"5534.490";"5689.843";"6073.541";"3466.203";"9810.105";"3136.992";"3597.934";"5651.616";"3453.004";"5765.302";"3750.415";"4526.087";"7906.300";"1976.928";"6202.325";"4414.798";"5511.868"
"10pm";"1157.526";"3295.813";"3022.117";"2521.783";"1731.527";"2762.329";"3771.789";"4613.663";"3154.253";"3382.079";"4776.577";"1871.566";"4652.137";"1586.102";"4556.190";"2697.504";"1128.361";"2082.163";"3197.126";"7491.734";"3222.101";"4318.444";"6154.963";"2992.140";"1512.737";"1628.651";"3079.080";"3031.955";"1977.478";"6388.703";"3831.652";"4189.906";"2724.435";"3164.159";"3873.627";"6492.815";"2771.294";"4389.997";"2941.387";"4014.087";"4069.797";"1701.232";"4996.542";"2774.463";"3196.897";"3025.466";"2413.656";"1104.746";"4238.007";"5417.878";"5689.843";"6055.084";"3634.630";"9621.170";"3324.238";"3491.860";"5757.690";"3577.404";"5765.302";"3750.415";"4753.777";"8090.020";"1793.208";"6202.325";"4446.067";"5511.868"
"11pm";"1226.976";"2617.850";"2954.736";"2505.681";"1731.527";"3062.347";"3771.789";"4952.565";"3252.380";"3525.927";"4903.206";"1973.354";"4579.654";"1586.102";"4556.190";"2415.390";"1128.361";"1978.914";"3512.899";"7635.891";"3347.332";"4181.894";"6115.495";"2928.468";"1512.737";"1628.651";"3079.080";"3031.955";"1939.823";"6038.709";"3905.638";"4189.906";"2640.139";"3164.159";"3764.448";"6492.815";"2857.938";"4389.997";"2999.064";"4073.763";"4008.792";"1701.232";"5005.409";"2824.547";"3264.904";"2617.518";"2443.685";"1104.746";"4238.007";"5351.699";"5776.667";"6055.084";"3634.630";"9504.995";"3324.238";"3491.860";"5757.690";"3629.321";"5919.155";"3867.938";"4753.777";"8385.541";"1859.387";"6202.325";"4683.931";"5511.868"
"12pm";"1226.976";"2616.754";"2879.307";"2598.699";"1731.527";"2970.426";"3771.789";"4833.041";"3252.380";"3346.286";"4903.206";"1920.627";"4579.654";"1586.102";"4637.373";"2415.390";"1128.361";"2014.286";"3519.973";"7635.891";"3347.332";"4181.894";"6103.286";"3026.925";"1690.596";"1651.662";"2962.085";"3031.955";"1939.823";"5917.905";"4123.698";"4189.906";"2640.139";"3164.159";"3764.448";"6492.815";"2857.938";"4389.997";"3038.532";"4073.763";"4008.792";"1701.232";"5089.704";"2768.557";"3264.904";"2571.206";"2443.685";"1104.746";"4207.576";"5313.553";"5692.372";"6130.452";"3634.630";"9625.799";"3324.238";"3491.860";"5902.635";"3629.321";"5919.155";"3930.527";"4718.406";"8385.541";"1897.534";"6098.448";"4803.456";"5616.129"
"1am";"1226.976";"2465.156";"2879.307";"2545.617";"1731.527";"3062.347";"3771.789";"4833.041";"3252.380";"3346.286";"4903.206";"1920.627";"4463.785";"1586.102";"4637.373";"2415.390";"1128.361";"2130.155";"3519.973";"7635.891";"3347.332";"4181.894";"6103.286";"3080.007";"1721.028";"1651.662";"2962.085";"3203.316";"1864.518";"5917.905";"4123.698";"4189.906";"2640.139";"3164.159";"3764.448";"6492.815";"2857.938";"4389.997";"3038.532";"4133.440";"4008.792";"1701.232";"5089.704";"2768.557";"3264.904";"2571.206";"2443.685";"1104.746";"4266.096";"5313.553";"5692.372";"6130.452";"3799.562";"9460.866";"3324.238";"3491.860";"5902.635";"3629.321";"5919.155";"3930.527";"4924.356";"8179.591";"1897.534";"6098.448";"4803.456";"5616.129"
"2am";"1226.976";"2402.434";"2879.307";"2166.082";"1897.848";"2946.172";"3834.511";"4939.453";"3252.380";"3346.286";"4903.206";"1795.790";"4258.492";"1586.102";"4637.373";"2415.390";"1128.361";"2130.155";"3519.973";"7947.988";"3347.332";"4181.894";"6103.286";"3080.007";"1721.028";"1651.662";"2962.085";"3203.316";"1864.518";"5917.905";"4123.698";"4189.906";"2640.139";"3164.159";"3764.448";"6492.815";"2857.938";"4389.997";"3038.532";"4133.440";"4008.792";"1701.232";"4891.979";"2768.557";"3264.904";"2571.206";"2443.685";"1104.746";"4266.096";"5313.553";"5692.372";"6130.452";"3799.562";"9577.041";"3324.238";"3491.860";"5902.635";"3629.321";"5919.155";"3930.527";"4924.356";"8179.591";"1897.534";"6223.286";"5001.181";"5616.129"
"3am";"1226.976";"2334.176";"2802.318";"2187.479";"1824.545";"2946.172";"3834.511";"4939.453";"3252.380";"3346.286";"4980.195";"1847.695";"4258.492";"1586.102";"4637.373";"2415.390";"1128.361";"2130.155";"3519.973";"7947.988";"3347.332";"4250.153";"6103.286";"3080.007";"1721.028";"1651.662";"2962.085";"3203.316";"1864.518";"5872.586";"4123.698";"4189.906";"2640.139";"3164.159";"3764.448";"6492.815";"2857.938";"4389.997";"3038.532";"4133.440";"4008.792";"1765.713";"4891.979";"2768.557";"3264.904";"2571.206";"2443.685";"1104.746";"4266.096";"5313.553";"5692.372";"6130.452";"3799.562";"9577.041";"3324.238";"3491.860";"5902.635";"3564.840";"5919.155";"3930.527";"4924.356";"8179.591";"1897.534";"6223.286";"5001.181";"5616.129"
