"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100"
"4am";"  0.5305846";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.7526492";"  0.1879205";"100.0000000";" 89.0753089";" 99.5514944";"100.0000000";"  0.0000000";"100.0000000"
"5am";"  0.5273028";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  1.1124999";"  0.1910075";"100.0000000";" 88.9929610";" 99.5483733";" 97.8091017";"  0.0000000";"100.0000000"
"6am";"  0.2938074";"  0.0000000";"  0.2732014";"  1.2521341";"  0.0000000";"  0.0000000";"  1.8784203";"  1.9427730";"  0.2023883";" 99.2493713";" 87.8272483";" 98.9816972";" 96.6979558";"  0.0000000";"100.0000000"
"7am";" 8.2254746";" 6.6417342";" 3.7702173";" 7.1008551";" 0.0000000";" 2.4395329";" 3.2030805";"11.8392739";" 0.7035568";"94.7750558";"84.2447630";"95.0787236";"95.5028037";" 2.2081748";"98.6689495"
"8am";"15.786926";"11.706286";" 9.362638";"11.502957";" 3.105499";" 3.437169";" 8.694416";"15.657951";" 1.752893";"92.967120";"82.010029";"90.497601";"89.046279";" 3.592166";"91.020949"
"9am";"16.640028";"11.529264";" 9.728597";"14.604558";" 3.249316";" 6.419893";" 9.805935";"16.444786";" 3.017225";"88.980825";"79.013795";"87.308450";"88.571607";" 9.279155";"90.433256"
"10am";"17.481062";"11.567122";"10.077659";"16.899571";" 4.339683";" 5.475347";" 7.438776";"15.864284";" 2.010757";"88.559520";"85.503733";"85.102997";"87.867228";" 8.796509";"92.227887"
"11am";"16.4435605";"12.7125474";"11.0765832";" 8.4586580";" 0.0000000";" 4.8618876";" 5.6033405";"15.8618778";" 0.3579674";"89.7330134";"86.0664329";"87.1181019";"88.9662002";" 7.6108744";"90.5740107"
"12am";" 14.585677";"  9.557182";"  8.602043";"  7.767784";"  0.000000";"  2.750835";"  3.531510";"  9.666436";"  0.000000";" 98.834587";" 77.651686";" 93.611278";" 92.033453";"  8.281681";"100.000000"
"1pm";"15.6821981";"15.0720701";" 9.8097454";"12.4886239";" 0.9219532";" 3.8792228";" 9.4913715";"14.3744901";" 1.7427377";"91.8132061";"75.9056972";"90.2948714";"90.7511648";" 7.2001080";"93.8352175"
"2pm";"16.3998709";"14.8823665";"11.4353087";"17.5243108";" 0.9605222";" 7.0150382";" 8.1724909";"18.7958800";" 1.8371746";"87.2466438";"80.8454195";"76.8791503";"89.7765744";" 9.5710010";"90.2287264"
"3pm";"16.498982";"13.995654";"12.531632";"14.830789";" 0.914895";" 6.544791";"10.700915";"20.412871";" 1.866019";"86.638819";"84.890516";"74.792178";"85.773325";"11.662667";"79.119283"
"4pm";"14.5232271";" 9.9726466";"13.3337513";"13.9533200";" 0.7787996";" 2.5814281";" 9.5190516";"16.2829625";" 1.6346992";"86.4261539";"82.4128216";"80.4194839";"85.0289367";" 7.5394419";"87.5964079"
