"district","hour","mode1","mode2","mode3"
"006","5am",2143.62636,3618.343,3268.8028
"007","5am",2964.8699,4181.239,5023.3905
"008","5am",1621.5329,3344.823,1248.0559
"009","5am",1606.69859,3024.159,2016.7648
"010","5am",1275.36074,2838.328,3004.714
"011","5am",2084.8441,3358.277,2852.31
"012","5am",1478.93403,2774.422,2989.2634
"013","5am",1278.0256,3612.454,1626.9513
"014","5am",2672.06224,4704.453,1466.0777
"015","5am",1733.40052,4284.69,2627.6275
"016","5am",2574.33075,5338.383,3199.4378
"017","5am",2315.18291,6025.602,2388.1251
"018","5am",1855.97197,5844.649,1960.8683
"019","5am",1997.54325,6242.756,2782.107
"020","5am",927.96377,5434.69,2007.8796
"021","5am",610.05094,4299.077,1096.0883
"022","5am",1543.02229,8791.051,2085.1436
"023","5am",1249.40137,3743.836,2412.2334
"024","5am",1483.02492,4816.992,1357.2341
"025","5am",1196.62646,4804.962,2192.6161
"026","5am",587.18683,4854.594,714.6831
"027","5am",1412.97554,3998.528,1601.2308
"028","5am",1236.58025,6361.598,1232.1129
"029","5am",1463.69424,5319.707,1470.5971
"030","5am",2801.01521,4059.099,2751.3302
"031","5am",1306.50702,6637.586,2440.9026
"032","5am",1064.1865,4315.936,1754.676
"033","5am",773.89293,4991.63,649.6817
"034","5am",420.50115,4290.082,619.1318
"035","5am",474.35131,4629.281,1103.2944
"036","5am",638.2196,5788.018,519.8511
"037","5am",790.47943,4267.417,953.4535
"038","5am",1247.58781,9437.896,1044.5434
"039","5am",189.09672,11755.144,965.9405
"040","5am",610.84602,5947.875,537.7355
"041","5am",705.76686,3642.482,927.7367
"042","5am",743.20697,6070.891,1071.1169
"043","5am",410.42272,4831.529,484.5764
"044","5am",530.38551,5433.93,1007.4095
"045","5am",570.30287,5056.686,1231.6791
"046","5am",1627.08472,4826.916,1133.5065
"047","5am",1161.91226,5876.266,1022.084
"048","5am",423.43364,4265.399,1129.7339
"049","5am",609.03054,6665.029,257.1569
"050","5am",203.34454,4067.855,842.2114
"051","5am",282.9208,5547.557,1154.8001
"052","5am",479.49644,6838.809,906.0508
"053","5am",1035.99828,8405.328,700.8187
"101","5am",291.491,5882.792,1340.816
"102","5am",410.45967,5389.927,1201.869
"103","5am",0,6822.414,2937.2099
"104","5am",85.24352,3355.395,1263.9206
"105","5am",29.33913,7064.412,687.1236
"106","5am",28.03032,4454.723,865.2314
"107","5am",218.56099,5745.545,111.5353
"108","5am",312.32332,5679.023,1456.0037
"109","5am",231.29514,5431.372,1013.919
"110","5am",67.98921,5429.264,442.991
"111","5am",307.32134,6185.558,1817.8957
"112","5am",140.33107,6615.908,840.2154
"113","5am",519.05754,2352.815,921.2016
"114","5am",515.20333,4343.64,1433.9442
"115","5am",187.51453,3536.175,1794.0599
"116","5am",433.45098,5190.11,1969.4812
"117","5am",263.65527,3347.959,1395.8739
"118","5am",647.78558,3914.756,2565.7867
"119","5am",205.88034,3949.224,1450.1694
"120","5am",142.98788,4166.483,909.9615
"121","5am",301.12078,5222.344,1061.1691
"122","5am",278.29725,5510.523,917.6215
"123","5am",231.94356,7037.302,1112.8742
"124","5am",218.75465,5557.463,673.7395
"125","5am",410.44344,5280.325,701.8115
"126","5am",249.44888,4636.834,204.0666
"127","5am",528.81392,3710.182,1046.8335
"128","5am",174.07039,4527.695,691.6973
"129","5am",274.5843,4541.208,659.232
"130","5am",67.20097,4037.996,698.1427
"131","5am",73.6854,6645.984,2523.4951
"132","5am",842.4443,9237.445,2991.9688
"133","5am",0,7442.094,2435.1507
"134","5am",185.01611,3237.636,686.7591
"135","5am",129.2127,5034.472,658.743
"136","5am",226.43908,3775.153,805.6555
"200","5am",183.94915,6263.276,1268.9547
"201","5am",248.95073,7947.567,1382.1759
"202","5am",1100.67925,9644.142,1053.8216
"203","5am",420.82748,6981.142,990.6495
"204","5am",704.02468,6297.137,1089.2007
"205","5am",153.3108,7783.394,1778.258
"206","5am",263.67181,5057.862,782.7189
"207","5am",41.15878,5604.817,1015.7912
"208","5am",552.2924,8226.402,1036.1039
"209","5am",54.77335,5816.171,645.4868
"210","5am",284.94472,5888.843,1486.5393
"211","5am",215.82549,6355.537,512.2417
"212","5am",136.33537,5542.037,900.0629
"213","5am",272.30186,5418.843,1322.8588
"214","5am",102.54481,5389.701,1114.7081
"215","5am",222.82173,9239.656,1078.1072
"216","5am",135.74841,6621.7,1112.3295
"217","5am",319.64004,6126.652,2040.9905
"218","5am",575.98123,7085.748,852.663
"219","5am",116.49822,5721.911,1346.8974
"220","5am",339.69601,5993.621,866.4046
"221","5am",387.50811,4508.964,831.8655
"222","5am",351.71209,9290.591,804.125
"223","5am",133.71337,3509.504,415.6778
"224","5am",251.52733,6178.626,1374.3104
"225","5am",759.41422,4806.684,652.9026
"226","5am",487.00708,5637.908,1313.6635
"227","5am",455.31432,7052.481,1323.1534
"228","5am",681.94275,7290.46,606.3853
"229","5am",499.96505,6454.81,721.9221
"230","5am",126.02146,4117.389,883.3138
"231","5am",164.53665,6458.707,1557.8529
"232","5am",254.68611,4277.579,620.0766
"233","5am",255.18639,4664.961,1082.3818
"001","6am",1003.34846,1991.552,5331.668
"002","6am",1479.8085,2085.596,3402.4126
"003","6am",1415.0683,2333.095,3667.9602
"004","6am",1825.82096,3841.838,4658.6828
"005","6am",1690.89672,2476.042,3450.1665
"006","6am",2263.62488,3959.869,3040.8835
"007","6am",2954.90556,4204.611,4915.2822
"008","6am",1489.03413,3521.494,1238.6261
"009","6am",1536.25703,2994.974,2016.7648
"010","6am",1275.36074,2957.722,3085.3608
"011","6am",1938.0567,3428.309,2731.15
"012","6am",1439.92617,2794.115,2989.2634
"013","6am",1278.0256,3606.551,1604.8505
"014","6am",2556.28992,4464.217,1466.0777
"015","6am",1678.15297,4095.92,2627.6275
"016","6am",2650.62589,5326.297,3040.1949
"017","6am",2368.53386,6017.471,2434.0363
"018","6am",1595.18047,5706.371,1960.8683
"019","6am",1830.66538,6200.832,2782.107
"020","6am",878.95394,5405.318,2007.8796
"021","6am",471.8079,4217.845,1096.0883
"022","6am",1190.82659,8713.044,2085.1436
"023","6am",1352.3961,3470.635,2418.6605
"024","6am",1360.00972,4780.923,1357.2341
"025","6am",1196.62646,4718.237,2076.2688
"026","6am",532.49273,5028.199,662.2648
"027","6am",1374.24084,3946.141,1499.1613
"028","6am",1183.2293,6194.71,1214.726
"029","6am",1463.69424,5278.452,1319.7682
"030","6am",2585.85,4166.891,2826.5908
"031","6am",1181.46944,7526.78,2346.25
"032","6am",1064.1865,4287.029,1719.7467
"033","6am",693.01502,4999.573,649.6817
"034","6am",378.44015,4535.753,619.1318
"035","6am",474.35131,4411.178,1044.2194
"036","6am",638.2196,5832.44,519.8511
"037","6am",760.25491,4233.814,953.4535
"038","6am",1035.30179,9470.954,1083.2859
"039","6am",142.83617,12064.358,1043.7456
"040","6am",576.60359,5843.088,476.4998
"041","6am",571.97256,3567.218,927.7367
"042","6am",712.13815,6176.093,1071.1169
"043","6am",270.04477,4597.084,484.5764
"044","6am",530.38551,4961.762,1007.4095
"045","6am",513.14379,5151.068,1160.3958
"046","6am",1512.05708,4885.298,1133.5065
"047","6am",1161.91226,6622.903,1046.8303
"048","6am",266.47014,4233.126,1039.5465
"049","6am",474.39296,6621.087,257.1569
"050","6am",274.35468,3812.74,784.1077
"051","6am",282.9208,5335.16,1039.2834
"052","6am",430.05521,6897.501,906.0508
"053","6am",1035.99828,9104.587,700.8187
"101","6am",137.8392,5598.55,1398.2916
"102","6am",228.20157,5155.269,1201.869
"103","6am",0,6846.219,2706.027
"104","6am",85.24352,3422.321,1263.9206
"105","6am",29.33913,6962.273,790.8501
"106","6am",0,4577.149,865.2314
"107","6am",130.48354,5228.267,111.5353
"108","6am",185.06392,5392.192,1403.962
"109","6am",185.8842,5104.106,1013.919
"110","6am",67.98921,5584.113,491.6783
"111","6am",307.32134,6085.507,1817.8957
"112","6am",140.33107,6524.427,840.2154
"113","6am",538.60162,2514.716,861.1073
"114","6am",455.21741,4093.132,1514.1526
"115","6am",69.08096,3350.146,1850.3282
"116","6am",433.45098,5070.821,1926.1105
"117","6am",202.23775,3017.09,1304.7039
"118","6am",698.24962,3885.324,2630.5506
"119","6am",205.88034,4861.263,1422.4447
"120","6am",104.14988,4159.728,950.4098
"121","6am",301.12078,5735.197,1034.6864
"122","6am",223.70165,5533.144,878.3165
"123","6am",231.94356,7324.897,1053.6028
"124","6am",107.512,5086.823,673.7395
"125","6am",306.78759,4940.849,701.8115
"126","6am",215.97776,4333.559,204.0666
"127","6am",468.45349,3533.817,1001.5632
"128","6am",148.27888,4097.717,691.6973
