"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"2868.899";"2868.899";"2868.899";"2868.899";"2868.899";"2868.899";"2868.899";"2868.899";"2868.899";"2868.899";"2868.899";"2868.899";"2868.899";"2868.899";"2868.899"
"4am";" 0";" 0";"0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";"0";"0"
"5am";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0"
"6am";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0"
"7am";" 922.993";" 669.077";"1054.988";" 569.246";"   0.000";" 595.899";" 404.619";"1112.814";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"8am";"2207.562";"2131.056";"2796.984";" 704.033";"   0.000";"1036.843";" 788.198";"1628.453";"   0.000";"   0.000";" 575.479";" 402.278";" 434.288";"   0.000";"   0.000"
"9am";"2354.772";"2060.471";"2868.899";" 713.409";"   0.000";"1144.545";" 820.003";"1691.065";"   0.000";"   0.000";" 591.208";" 443.628";" 434.288";"   0.000";"   0.000"
"10am";"2416.056";"1973.887";"2853.939";" 728.831";"   0.000";"1072.725";"1070.894";"1670.000";"   0.000";"   0.000";" 571.566";" 443.628";" 448.383";"   0.000";"   0.000"
"11am";"2380.523";"1551.296";"2412.005";"1012.539";"   0.000";" 970.005";" 937.546";"1548.087";"   0.000";"   0.000";" 573.625";" 490.497";" 434.288";"   0.000";"   0.000"
"12am";"1297.865";" 544.847";"1095.198";"   0.000";"   0.000";" 364.624";"   0.000";"1196.348";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"1pm";"2153.154";"1836.750";"2092.024";" 982.842";"   0.000";" 879.806";" 747.053";"1593.089";"   0.000";"   0.000";" 498.494";" 391.034";" 384.094";"   0.000";"   0.000"
"2pm";"2204.065";"2087.035";"2397.936";" 657.523";"   0.000";"1115.969";"1259.523";"1631.976";"   0.000";"   0.000";" 498.302";" 720.657";" 348.323";"   0.000";"   0.000"
"3pm";"2266.876";"2072.768";"2381.527";" 659.800";"   0.000";"1083.940";"1283.056";"1498.271";"   0.000";"   0.000";" 459.053";" 693.333";" 367.019";"   0.000";"   0.000"
"4pm";"2079.119";"1864.214";"2406.602";" 458.908";"   0.000";" 978.473";" 727.914";"1099.696";"   0.000";"   0.000";" 428.058";" 693.333";"   0.000";"   0.000";"   0.000"
"5pm";"1169.814";"1068.587";"1643.003";"   0.000";"   0.000";" 570.449";"   0.000";" 621.796";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"6pm";"421.793";"  0.000";"732.191";"  0.000";"  0.000";"  0.000";"  0.000";"346.879";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000"
"7pm";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"8pm";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"9pm";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0"
"10pm";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0"
"11pm";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";"0";" 0";"0";"0";" 0"
"12pm";" 0";" 0";" 0";"0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";"0";"0";" 0"
"1am";" 0";" 0";"0";"0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";"0";"0";" 0"
"2am";" 0";" 0";"0";"0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";"0";"0";" 0"
"3am";" 0";" 0";"0";"0";"0";"0";"0";"0";" 0";" 0";"0";" 0";"0";"0";" 0"
