"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.253448270670114,0.404576721565001,0.112299317157046,0.164017749431076,0.355667513243561
"5am",0.256855142460306,0.385269526851547,0.0862874258000671,0.172259528501802,0.354768056541185
"6am",0.251078088846545,0.397187762150753,0.0963556775998858,0.208851884696193,0.373034598101371
"7am",0.294317644231318,0.442241613345153,0.124279696804023,0.228929112894587,0.370482881830412
"8am",0.256232990537041,0.459347117083655,0.157168914115713,0.220100313460086,0.345109273923856
"9am",0.231341742956074,0.44439406164842,0.10801986150295,0.155615766300654,0.377426556669494
"10am",0.211824276721567,0.422677423606997,0.158921580630408,0.145279693388572,0.361290152540651
"11am",0.194206225048237,0.394126380776903,0.0954162465030941,0.146509467543201,0.38182099623602
"12am",0.229814161322168,0.446365713644712,0.107222874635324,0.15548893911061,0.455949050245958
"1pm",0.204276606248842,0.395646836477627,0.129200814471866,0.181114134416616,0.36874571956892
"2pm",0.231313204315792,0.403836155071824,0.103600368968244,0.144814554504365,0.364520736377051
"3pm",0.187720848167206,0.381738626871412,0.0922176826168703,0.14950323960077,0.351850524854824
"4pm",0.274794786931217,0.413250366541258,0.0948070656889079,0.063845354369187,0.41309200068348
"5pm",0.246512755679121,0.357508413058963,0.158635732716021,0.0828235633626334,0.405445281705488
"6pm",0.272503167708472,0.361112876561939,0.0977192181424704,0.0382440579590102,0.395459145431708
"7pm",0.288715308320818,0.403064280775466,0.106679889742971,0.119350438091253,0.397568608016266
"8pm",0.291076551761329,0.445156013190425,0.144813648663776,0.167518374636157,0.355921258526845
"9pm",0.279896406302762,0.41829744798935,0.114332471875181,0.160214630283112,0.35758311921548
"10pm",0.266024587658638,0.405871601598662,0.115419631715179,0.154932210017693,0.376541300713392
"11pm",0.256424219250551,0.414053881127439,0.115692138605364,0.161149570331401,0.362422894127328
"12pm",0.239207054335633,0.4018158565249,0.120011085631339,0.169712110326272,0.362386441433924
"1am",0.240348192110406,0.399652485748375,0.119243006414481,0.165875382275106,0.365080630662046
"2am",0.241055248647583,0.399587842298569,0.126702072154671,0.178974097268149,0.362847861156865
"3am",0.241933289851042,0.403655026632814,0.127131571012198,0.179102560779706,0.363142264009443
