"hour","age1","age2","age3","age4"
"4am",0.2154,0.1674,0.1422,0.1531
"5am",0.2175,0.1693,0.1445,0.1542
"6am",0.2375,0.163,0.1463,0.1565
"7am",0.3053,0.1442,0.1516,0.1703
"8am",0.3085,0.1416,0.1236,0.2079
"9am",0.3103,0.1574,0.1165,0.2222
"10am",0.3143,0.1587,0.1239,0.2224
"11am",0.3133,0.1698,0.1187,0.2289
"12am",0.3022,0.1496,0.1229,0.2183
"1pm",0.2912,0.1426,0.1217,0.2145
"2pm",0.2931,0.1559,0.117,0.2142
"3pm",0.2842,0.1471,0.1176,0.1999
"4pm",0.2803,0.1567,0.1202,0.1908
"5pm",0.2657,0.1591,0.131,0.1687
"6pm",0.2317,0.1551,0.1335,0.1526
"7pm",0.2276,0.1576,0.1422,0.1522
"8pm",0.2247,0.1575,0.1407,0.1505
"9pm",0.2197,0.1634,0.1441,0.1495
"10pm",0.2188,0.1662,0.1458,0.1509
"11pm",0.2197,0.1651,0.148,0.1509
"12pm",0.2193,0.1643,0.1493,0.1516
"1am",0.2197,0.1634,0.1489,0.1515
"2am",0.2195,0.1627,0.1493,0.1518
"3am",0.2201,0.1614,0.1485,0.1516
