"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.2158,0.1852,0.1309,0.2441
"5am",0.2169,0.1841,0.1305,0.2397
"6am",0.2227,0.1811,0.1337,0.2331
"7am",0.2164,0.1755,0.1179,0.2182
"8am",0.2167,0.189,0.1216,0.2456
"9am",0.2303,0.194,0.1143,0.2515
"10am",0.238,0.1845,0.1019,0.2486
"11am",0.2278,0.1964,0.1098,0.2539
"12am",0.225,0.1878,0.1071,0.2452
"1pm",0.2472,0.1913,0.1134,0.2505
"2pm",0.2194,0.1903,0.1057,0.2563
"3pm",0.2164,0.1989,0.1135,0.2588
"4pm",0.2146,0.1949,0.1066,0.2696
"5pm",0.2026,0.1976,0.1207,0.2571
"6pm",0.2067,0.1833,0.1283,0.2371
"7pm",0.2079,0.1775,0.1228,0.2292
"8pm",0.21,0.1794,0.1218,0.2365
"9pm",0.2151,0.1825,0.1247,0.2349
"10pm",0.2156,0.1842,0.1275,0.2404
"11pm",0.2148,0.1854,0.1263,0.2401
"12pm",0.2157,0.1844,0.1256,0.238
"1am",0.2157,0.1849,0.1259,0.2399
"2am",0.2154,0.1854,0.1271,0.2407
"3am",0.2154,0.1859,0.128,0.241
