"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.217,0.1666,0.1097,0.2372
"5am",0.2168,0.1656,0.1115,0.2324
"6am",0.2239,0.1627,0.1134,0.2263
"7am",0.2255,0.1655,0.1042,0.2103
"8am",0.2275,0.1844,0.1054,0.2422
"9am",0.2446,0.1951,0.1032,0.247
"10am",0.2536,0.186,0.1015,0.2455
"11am",0.2396,0.194,0.0969,0.2522
"12am",0.2362,0.1866,0.0988,0.2493
"1pm",0.2456,0.1874,0.1005,0.2533
"2pm",0.2339,0.1878,0.0899,0.251
"3pm",0.2325,0.1978,0.1013,0.2501
"4pm",0.228,0.2024,0.1002,0.261
"5pm",0.221,0.1912,0.1049,0.2529
"6pm",0.2097,0.1712,0.1154,0.2357
"7pm",0.2109,0.1674,0.105,0.2266
"8pm",0.2115,0.1687,0.1041,0.2297
"9pm",0.2167,0.1692,0.1027,0.2282
"10pm",0.2155,0.1694,0.1062,0.233
"11pm",0.2145,0.1682,0.1036,0.2323
"12pm",0.2149,0.1682,0.1059,0.2298
"1am",0.2147,0.168,0.1065,0.2313
"2am",0.2149,0.1689,0.1073,0.2319
"3am",0.2152,0.1696,0.1086,0.2319
