"hour","sex1","sex2"
"4am",0.300741830207309,0.300741830207309
"5am",0.303524742669374,0.303524742669373
"6am",0.195909974080881,0.195909974080882
"7am",0.191285155686659,0.191285155686659
"8am",0.14903510278601,0.14903510278601
"9am",0.154590830483892,0.154590830483892
"10am",0.130666896497567,0.130666896497567
"11am",0.132872279783728,0.132872279783728
"12am",0.186227627697469,0.18622762769747
"1pm",0.116188199882133,0.116188199882133
"2pm",0.0728104438828739,0.0728104438828741
"3pm",0.0950551498420666,0.0950551498420666
"4pm",0.0428853955839452,0.042885395583945
"5pm",0.0965672680746125,0.096567268074613
"6pm",0.138021428200817,0.138021428200817
"7pm",0.0878082004035984,0.0878082004035985
"8pm",0.211646460978483,0.211646460978482
"9pm",0.23587354251947,0.23587354251947
"10pm",0.266806981746122,0.266806981746123
"11pm",0.26884090583658,0.26884090583658
"12pm",0.261022244742162,0.261022244742162
"1am",0.285462792015763,0.285462792015763
"2am",0.290305702354269,0.290305702354269
"3am",0.285606237527157,0.285606237527157
