"hour","mode1","mode2","mode3"
"4am",0.528480348474358,0.581948017947503,0.38155385707143
"5am",0.533694499060131,0.577260788574282,0.381978695622007
"6am",0.588281932911777,0.586908510705394,0.378561998080199
"7am",0.521800110685207,0.472828833725546,0.260471818367196
"8am",0.519199080665804,0.367834367107744,0.0236290339091937
"9am",0.495345318479042,0.357967236993043,0.0239142246961643
"10am",0.508295332503808,0.388463301731882,0.061300299460556
"11am",0.553124632233507,0.38660122775736,0.00529208967598797
"12am",0.467997735913125,0.467431337888674,0.206978047263671
"1pm",0.463377903847172,0.485492419797855,0.200672574376863
"2pm",0.52180352311079,0.490097258505841,0.189383986673907
"3pm",0.52545858909948,0.483474043018072,0.190660953400543
"4pm",0.557472168710215,0.54313864180953,0.273080990228025
"5pm",0.589871634549298,0.580114625877568,0.31545830641224
"6pm",0.535571816353397,0.606681666447499,0.367440587148148
"7pm",0.544171746583128,0.578144187554381,0.342740692891453
"8pm",0.583637771757268,0.59817181890243,0.338039697807433
"9pm",0.547754049311637,0.579422562742626,0.31744407036515
"10pm",0.535944124378574,0.572184606648878,0.328196021063469
"11pm",0.527114111485239,0.562563064089564,0.324242373275334
"12pm",0.524046323345709,0.561047755106497,0.331414278854355
"1am",0.523838352314164,0.566785439594029,0.340977080236324
"2am",0.530033600441806,0.568129461953225,0.339412110571229
"3am",0.52290711120883,0.57185205331607,0.347450084146676
