"hour","resarea1","resarea2","resarea3"
"4am",0.9798,0.9791,0.9844
"5am",0.9745,0.9737,0.9802
"6am",0.9616,0.9601,0.9667
"7am",0.8613,0.8659,0.8949
"8am",0.7239,0.7433,0.7835
"9am",0.6777,0.6886,0.7381
"10am",0.6665,0.6752,0.7372
"11am",0.676,0.6811,0.7427
"12am",0.7052,0.7129,0.7537
"1pm",0.6886,0.6953,0.7371
"2pm",0.6707,0.679,0.727
"3pm",0.6836,0.6817,0.7335
"4pm",0.7323,0.7265,0.7719
"5pm",0.8336,0.8257,0.8421
"6pm",0.914,0.8948,0.9022
"7pm",0.9466,0.9317,0.934
"8pm",0.9567,0.9463,0.944
"9pm",0.9658,0.9582,0.9579
"10pm",0.9786,0.9751,0.9719
"11pm",0.9861,0.9831,0.9804
"12pm",0.9895,0.9867,0.9865
"1am",0.9908,0.9876,0.9873
"2am",0.9917,0.988,0.9876
"3am",0.9914,0.9877,0.9877
