"hour","act1","act2","act3","act4","act5"
"4am",0.3119,0.3372,0.9883,0.6352,0
"5am",0.3309,0.365,0.9687,0.6065,0
"6am",0.277,0.3014,0.9452,0.9712,0.5315
"7am",0.2584,0.2298,0.6614,0.8057,0.4545
"8am",0.2818,0.226,0.5264,0.4026,0.2547
"9am",0.297,0.2264,0.5313,0.3223,0.2178
"10am",0.2976,0.2249,0.5381,0.3153,0.1782
"11am",0.3156,0.2246,0.5263,0.3263,0.2365
"12am",0.3283,0.2253,0.5379,0.5106,0.2519
"1pm",0.3312,0.253,0.5279,0.4874,0.2106
"2pm",0.3047,0.2305,0.5334,0.3828,0.1661
"3pm",0.2971,0.2326,0.5315,0.3953,0.1674
"4pm",0.2868,0.258,0.5519,0.3728,0.1632
"5pm",0.2848,0.2839,0.7364,0.3378,0.2129
"6pm",0.2706,0.2964,0.8582,0.4751,0.2062
"7pm",0.2636,0.3307,0.8739,0.7942,0.249
"8pm",0.2538,0.4336,0.9264,0.809,0.2335
"9pm",0.2798,0.4823,0.9775,0.9181,0.2606
"10pm",0.3031,0.5241,0.978,0.9353,0.304
"11pm",0.3623,0.5434,0.9619,0.3836,0
"12pm",0.4192,0.5515,0.5028,0,0
"1am",0.4523,0.5553,0.5601,0,0
"2am",0.4607,0.5592,0.5762,0,0
"3am",0.4358,0.5293,0.5819,0,0
