"hour","mode1","mode2","mode3"
"4am",0.3561,0.2814,0.2191
"5am",0.3559,0.282,0.2207
"6am",0.392,0.278,0.2056
"7am",0.4926,0.2963,0.1829
"8am",0.4903,0.2888,0.1824
"9am",0.5028,0.2956,0.1853
"10am",0.5097,0.2969,0.1771
"11am",0.5001,0.2937,0.176
"12am",0.4806,0.2954,0.1831
"1pm",0.4624,0.2896,0.1873
"2pm",0.4731,0.2962,0.1858
"3pm",0.4733,0.2995,0.1881
"4pm",0.4572,0.2886,0.1857
"5pm",0.4277,0.2897,0.1915
"6pm",0.3656,0.2705,0.1969
"7pm",0.3509,0.2771,0.2054
"8pm",0.3565,0.2729,0.2061
"9pm",0.3561,0.2744,0.2098
"10pm",0.3584,0.2727,0.2106
"11pm",0.3602,0.2745,0.2118
"12pm",0.3583,0.2749,0.2125
"1am",0.3589,0.2767,0.2144
"2am",0.3601,0.2764,0.2138
"3am",0.3581,0.2767,0.216
