"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.3964,0.2282,0.1471,0.1414,0.2581
"5am",0.3918,0.2256,0.1472,0.143,0.256
"6am",0.3845,0.2229,0.1453,0.1469,0.2525
"7am",0.3538,0.2,0.1366,0.1222,0.2454
"8am",0.3098,0.2092,0.109,0.1044,0.2542
"9am",0.3079,0.2088,0.1088,0.1057,0.2626
"10am",0.3255,0.2218,0.1045,0.1062,0.2681
"11am",0.3245,0.2181,0.1065,0.11,0.2644
"12am",0.3201,0.216,0.1145,0.1053,0.2618
"1pm",0.3188,0.2128,0.1156,0.1035,0.2769
"2pm",0.3177,0.211,0.1202,0.1023,0.2662
"3pm",0.3343,0.2181,0.1159,0.1049,0.2745
"4pm",0.3363,0.2237,0.1298,0.105,0.2768
"5pm",0.3578,0.2512,0.1322,0.112,0.2682
"6pm",0.3946,0.2426,0.1402,0.1325,0.2565
"7pm",0.3955,0.2311,0.1406,0.1304,0.2443
"8pm",0.3935,0.2329,0.1479,0.1333,0.2527
"9pm",0.3965,0.2316,0.1481,0.1374,0.2532
"10pm",0.4059,0.2362,0.1497,0.1373,0.2542
"11pm",0.3949,0.2364,0.1513,0.14,0.255
"12pm",0.3965,0.2385,0.1493,0.1418,0.2531
"1am",0.3967,0.2382,0.149,0.1427,0.2547
"2am",0.3973,0.238,0.1504,0.1429,0.2541
"3am",0.3975,0.2358,0.1498,0.1428,0.2544
