"hour","cs1","cs2","cs3","cs4","cs5"
"4am",0.3896,0.2262,0.1396,0.1465,0.2629
"5am",0.3904,0.2224,0.1405,0.1479,0.2597
"6am",0.3868,0.2209,0.1378,0.152,0.2583
"7am",0.3696,0.1941,0.1344,0.1261,0.2597
"8am",0.3261,0.2138,0.11,0.112,0.2709
"9am",0.3369,0.2197,0.1212,0.1179,0.274
"10am",0.345,0.2279,0.1106,0.11,0.2827
"11am",0.3356,0.2268,0.1125,0.114,0.2819
"12am",0.3473,0.223,0.1154,0.1098,0.275
"1pm",0.3237,0.2208,0.1224,0.1113,0.2856
"2pm",0.3316,0.2242,0.1176,0.1168,0.2785
"3pm",0.3366,0.2266,0.117,0.1149,0.2832
"4pm",0.3361,0.2323,0.126,0.1238,0.2868
"5pm",0.3598,0.2536,0.1274,0.1243,0.2864
"6pm",0.3787,0.243,0.1296,0.1367,0.2636
"7pm",0.3815,0.2309,0.1374,0.1361,0.2529
"8pm",0.3823,0.2295,0.1418,0.138,0.2568
"9pm",0.3924,0.227,0.1435,0.1425,0.2579
"10pm",0.3976,0.231,0.1434,0.1447,0.2591
"11pm",0.3796,0.2304,0.1452,0.1482,0.2588
"12pm",0.3813,0.2359,0.1443,0.147,0.2593
"1am",0.3815,0.2356,0.1442,0.1477,0.2594
"2am",0.3821,0.2352,0.1443,0.1483,0.2596
"3am",0.3826,0.2318,0.1435,0.1486,0.2593
