"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.1361,0.265,0.2333,0.1503,0.3019
"5am",0.1379,0.266,0.2347,0.1512,0.3031
"6am",0.1384,0.2889,0.2296,0.1555,0.3049
"7am",0.1459,0.3962,0.2149,0.1853,0.3044
"8am",0.1489,0.4067,0.2175,0.2359,0.3047
"9am",0.157,0.4099,0.2196,0.2526,0.2766
"10am",0.1625,0.4131,0.2212,0.2439,0.2849
"11am",0.1626,0.4187,0.2187,0.2506,0.2819
"12am",0.1582,0.4048,0.2177,0.2385,0.2832
"1pm",0.153,0.3927,0.2263,0.2419,0.2893
"2pm",0.1513,0.3887,0.2259,0.2371,0.2877
"3pm",0.1427,0.3785,0.2323,0.2276,0.294
"4pm",0.1428,0.3658,0.2138,0.2239,0.2754
"5pm",0.1386,0.3472,0.2231,0.1825,0.2891
"6pm",0.1347,0.2877,0.2336,0.1589,0.3074
"7pm",0.1361,0.2803,0.229,0.1488,0.3209
"8pm",0.1386,0.2737,0.2109,0.1501,0.3127
"9pm",0.1362,0.2709,0.2223,0.1492,0.3105
"10pm",0.1388,0.2704,0.2241,0.1499,0.3113
"11pm",0.1411,0.2723,0.2219,0.1495,0.304
"12pm",0.139,0.2693,0.2313,0.1497,0.3043
"1am",0.1387,0.2716,0.2318,0.1491,0.3042
"2am",0.139,0.2719,0.2327,0.149,0.3047
"3am",0.1388,0.2707,0.233,0.1489,0.3055
