"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021"
"min";"1.17647058823529";"1.17647058823529";"1.17647058823529";"1.17647058823529";"1.17647058823529";"1.17647058823529";"1.17647058823529";"1.17647058823529";"1.17647058823529";"1.17647058823529";"1.17647058823529";"1.17647058823529";"1.17647058823529";"1.17647058823529";"1.17647058823529";"1.17647058823529";"1.17647058823529";"1.17647058823529";"1.17647058823529";"1.17647058823529";"1.17647058823529"
"max";"70.5294705294705";"70.5294705294705";"70.5294705294705";"70.5294705294705";"70.5294705294705";"70.5294705294705";"70.5294705294705";"70.5294705294705";"70.5294705294705";"70.5294705294705";"70.5294705294705";"70.5294705294705";"70.5294705294705";"70.5294705294705";"70.5294705294705";"70.5294705294705";"70.5294705294705";"70.5294705294705";"70.5294705294705";"70.5294705294705";"70.5294705294705"
"4am";"3.561254";"1.774194";"2.519685";"2.216066";"5.602716";"3.561254";"3.000000";"1.204819";"2.788845";"6.959153";"3.851641";"3.034483";"2.504817";"3.007519";"3.462604";"2.758621";"2.114804";"4.365079";"3.892216";"5.882353";"4.005935"
"5am";"3.531073";"1.762821";"2.515723";"2.216066";"5.574324";"3.541076";"3.065693";"1.212938";"2.913907";"6.990881";"3.896104";"3.059805";"2.574257";"2.919708";"3.521127";"2.631579";"2.173913";"4.394141";"3.903904";"6.016043";"4.122137"
"6am";"3.320053";"1.710731";"2.453988";"2.231520";"5.392157";"3.486750";"3.201220";"1.193634";"2.815013";"6.912442";"4.060150";"3.254438";"2.736842";"2.711864";"3.793627";"2.835821";"2.356902";"4.459459";"4.075235";"6.489676";"4.605263"
"7am";"2.169811";"1.960784";"2.631579";"2.588997";"4.660453";"3.516174";"3.361345";"1.337296";"2.736318";"6.706408";"4.066265";"3.770197";"3.117506";"2.515091";"4.587156";"2.915952";"2.554028";"4.651163";"4.529617";"7.201309";"5.273438"
"8am";"2.250000";"2.127660";"2.086231";"2.763385";"4.425837";"3.597122";"3.629764";"1.315789";"2.555168";"6.376812";"4.005722";"4.106776";"2.827763";"2.397602";"4.882812";"3.119266";"2.708333";"4.925373";"4.664179";"7.543860";"5.590062"
"9am";"2.263541";"2.168022";"2.248677";"3.052065";"4.257768";"3.709199";"3.619048";"1.821192";"2.262443";"6.427504";"3.840878";"4.203540";"2.972973";"2.623907";"4.948454";"2.636535";"2.876106";"4.870624";"4.911591";"7.664234";"5.664488"
"10am";"2.578566";"2.022756";"2.245707";"2.486679";"4.181185";"3.549383";"3.454894";"1.176471";"2.761795";"6.231454";"4.137931";"3.921569";"3.072626";"2.659069";"4.852321";"2.707930";"2.739726";"5.000000";"4.863813";"7.894737";"5.949657"
"11am";"2.808511";"2.106568";"2.477184";"2.434783";"4.116223";"3.495441";"3.053435";"1.428571";"2.690058";"6.748466";"3.819918";"3.956044";"3.038674";"2.890173";"4.251012";"2.539062";"3.002309";"5.100464";"4.580153";"7.846715";"5.790646"
"12am";"2.753873";"1.761006";"2.203857";"2.389078";"4.513064";"3.511450";"3.165736";"1.271860";"2.728351";"6.446777";"3.918919";"4.751131";"2.793296";"2.540650";"3.913894";"2.734375";"2.696629";"5.069124";"4.961832";"7.871199";"5.630631"
"1pm";"2.709360";"1.564380";"1.981506";"3.231598";"4.739336";"3.698225";"3.285421";"1.993355";"2.619590";"6.515152";"3.396739";"4.118993";"2.500000";"2.561670";"3.877551";"2.766798";"2.797203";"4.813665";"4.517454";"7.285974";"5.720824"
"2pm";"2.902156";"2.375000";"2.281879";"3.208556";"4.733010";"3.367496";"3.143418";"1.993355";"2.844141";"6.508876";"3.102962";"4.740406";"2.631579";"2.476190";"3.800000";"2.772277";"2.298851";"4.836193";"4.288499";"7.295374";"5.122494"
"3pm";"2.829355";"2.228412";"2.535211";"2.680067";"4.331683";"3.074671";"3.597122";"1.809211";"2.640643";"6.379822";"3.586801";"4.140787";"2.696078";"2.702703";"4.150943";"2.857143";"2.159827";"5.271084";"3.578154";"7.032590";"5.364807"
"4pm";"2.961276";"1.963534";"2.503682";"2.450230";"5.057803";"3.636364";"2.995008";"1.412873";"2.860697";"6.260032";"3.927069";"3.697183";"2.591793";"2.637363";"4.187605";"2.707276";"2.048417";"5.162242";"3.799655";"6.666667";"4.779412"
"5pm";"3.652393";"1.724138";"2.269289";"2.349486";"5.108359";"3.623188";"2.848101";"1.359517";"3.099730";"6.327160";"3.648649";"3.376206";"2.515723";"2.777778";"3.571429";"2.615385";"1.960784";"4.992867";"3.721683";"6.231454";"4.522613"
"6pm";"3.787879";"1.873199";"2.130898";"2.228826";"4.977376";"3.443329";"2.769231";"1.636905";"2.921647";"6.511628";"3.648649";"3.392569";"2.765957";"3.400504";"3.474320";"2.293578";"1.933216";"4.680851";"3.785489";"6.149341";"4.411765"
"7pm";"3.457106";"2.428571";"2.150538";"2.500000";"4.761905";"3.676471";"2.973396";"1.492537";"2.842377";"6.334842";"3.576159";"3.169572";"2.736842";"3.045685";"3.463855";"2.108434";"2.040816";"4.694168";"3.750000";"6.569343";"4.105090"
"8pm";"3.174603";"1.694915";"2.177294";"2.335766";"5.590062";"3.576538";"3.067485";"1.580460";"2.648172";"6.278714";"3.913630";"3.044140";"2.708333";"3.084833";"3.519062";"2.242152";"1.848739";"4.641350";"3.664122";"6.465517";"4.234528"
"9pm";"3.366059";"1.765650";"2.415459";"2.384292";"5.519481";"3.746398";"3.181818";"1.282051";"2.857143";"6.686930";"3.851444";"2.798233";"2.615694";"3.092784";"3.448276";"2.478134";"2.145215";"4.570637";"3.609023";"6.338028";"3.881988"
"10pm";"3.290415";"1.623377";"2.427184";"2.250352";"5.714286";"3.597122";"3.172205";"1.265823";"2.879581";"6.666667";"3.927069";"2.745665";"2.589641";"3.053435";"3.677511";"2.695035";"2.117264";"4.570637";"3.598201";"6.276151";"3.805175"
"11pm";"3.309353";"1.650165";"2.407705";"2.244039";"5.752961";"3.602305";"3.088235";"1.251739";"2.887139";"6.779661";"3.857143";"2.869440";"2.574257";"3.084833";"3.616134";"2.702703";"2.086677";"4.545455";"3.598201";"6.181319";"3.776435"
"12pm";"3.333333";"1.633987";"2.564103";"2.237762";"5.631399";"3.597122";"3.083700";"1.248266";"2.910053";"6.779661";"3.868195";"2.861230";"2.559055";"3.076923";"3.616134";"2.706553";"2.073365";"4.539202";"3.619910";"6.172840";"3.776435"
"1am";"3.343023";"1.633987";"2.564103";"2.237762";"5.612245";"3.607504";"3.083700";"1.246537";"2.921647";"6.779661";"3.857143";"2.857143";"2.554028";"3.080873";"3.621170";"2.706553";"2.070064";"4.526749";"3.619910";"6.155951";"3.776435"
"2am";"3.352770";"1.639344";"2.555911";"2.234637";"5.602716";"3.607504";"3.083700";"1.250000";"2.921647";"6.779661";"3.851641";"2.857143";"2.554028";"3.084833";"3.621170";"2.706553";"2.070064";"4.514364";"3.625378";"6.164384";"3.776435"
"3am";"3.362573";"1.639344";"2.551834";"2.237762";"5.602716";"3.746398";"3.083700";"1.250000";"2.929427";"6.758833";"3.719599";"2.861230";"2.554028";"3.088803";"3.621170";"2.706553";"2.070064";"4.520548";"3.625378";"6.139154";"3.776435"
