"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041"
"1pm";"3847.6655";"2749.6664";"1196.2337";"1670.2383";"2680.2341";"1468.1995";" 737.8687";"1441.0143";"2002.2605";"2924.4332";"1715.2311";"1573.5073";"3093.4644";"1282.6567";" 999.9644";" 644.2707";"1390.8337";"1070.4300";" 777.3976";"1477.8852";"2937.9691";" 292.9660";" 673.6243";" 678.0273";"1050.7584";" 873.8856";" 732.2662";" 573.1784";"1124.5861";" 784.5054";"2358.0255";"1869.2920";"1410.1856";" 655.1123";" 603.9388";"1720.1523";"1216.6638";" 751.1323";"1480.6781";"1211.1338";"1022.5398"
"2pm";"4196.8888";"2777.2819";"1038.1822";"1765.4120";"2355.0705";"1402.9212";" 618.2853";"1303.3783";"1836.6388";"2916.9973";"1521.8838";"1784.3765";"3596.4742";"1189.8409";" 952.2441";" 595.9001";"1367.4850";" 974.8197";" 875.7106";"1541.4248";"3051.2081";" 167.8749";" 592.8136";" 637.8118";"1002.2895";" 945.9566";" 749.7295";" 457.1414";"1161.8924";" 627.6492";"2365.8851";"1806.4089";"1219.0583";" 546.3495";" 587.6205";"1609.0854";"1210.1694";" 725.6972";"1642.9073";"1211.1338";"1145.3216"
"3pm";"4258.3133";"2634.6528";"1102.2406";"1577.1609";"2456.8509";"1317.5287";" 765.1209";"1463.1053";"1835.1100";"2683.7398";"1485.3120";"1657.5883";"3569.8938";"1086.0863";"1060.9179";" 739.6733";"1155.9664";"1043.5085";" 986.2206";"1503.1575";"3404.7466";" 153.1588";" 764.7097";" 679.9335";" 951.5155";"1191.5437";" 709.3408";" 497.0234";"1014.6550";" 713.1576";"2173.7255";"1931.5466";"1137.1339";" 683.7947";" 505.4928";"1691.6071";"1278.5544";" 814.4515";"1709.6224";" 989.5064";"1062.4282"
"4pm";"3504.4570";"2173.0167";"1087.5554";"1259.8400";"2218.0083";"1577.2909";" 845.6970";"1872.7497";"1940.5288";"2647.7382";"1330.4093";"1616.1506";"3900.9089";"1296.3350";" 905.7398";" 791.9647";"1533.4540";"1139.0617";"1089.4503";"1592.0724";"2818.8064";" 250.7623";" 855.2404";" 866.4989";" 984.3083";"1053.1175";" 799.5400";" 836.8140";"1036.8595";" 828.5215";"2371.2138";"1889.5906";"1313.6886";" 468.4132";" 465.0912";"1575.2562";"1276.6034";" 698.4143";"1900.8698";"1323.2186";"1268.2270"
"5pm";"3057.9858";"1536.4079";"1230.2723";"1026.7712";"2369.0990";"1727.8093";" 868.1747";"1470.1319";"1925.0069";"2874.0298";"1467.4565";"1542.8908";"4084.2087";"1172.4552";"1220.6626";" 722.7277";"1626.0127";"1219.9158";"1253.2596";"1669.6390";"2641.6375";" 277.1743";" 573.4837";"1117.8715";"1274.4714";"1015.9195";"1046.7385";" 932.3614";"1140.6735";"1045.7954";"2361.4780";"1729.7138";"1276.1198";" 770.9901";" 465.7579";"1841.6602";"1328.6897";" 640.7889";"1788.2746";"1665.6549";"1159.5109"
"6pm";"2736.7758";"1647.3313";"1281.2376";"1066.3217";"2719.7271";"1388.3405";" 736.7381";"1962.1350";"2649.0624";"3093.9043";"1383.0918";"1738.8215";"3288.8982";"1255.7711";"1562.8911";" 806.7508";"1665.6801";"1117.2316";"1293.7928";"1766.3514";"2184.9611";" 471.7849";" 635.6626";"1413.4076";"1424.2144";"1338.4645";"1304.8573";"1160.3214";"1142.6611";"1094.5576";"2398.2699";"1572.5456";"1600.6101";" 883.9340";" 754.4859";"1426.2888";"1220.2572";" 721.4612";"2031.2457";"1693.5855";"1556.3769"
"7pm";"2377.7307";"1545.0529";"1095.6896";"1173.1917";"2644.2346";"1613.6195";" 800.5000";"1977.7329";"2710.0959";"3063.5289";"1625.4851";"1862.8250";"3029.8384";"1319.6889";"1651.7054";" 729.7512";"1739.2482";"1043.4050";"1516.9220";"1811.5967";"2166.0528";" 510.1946";" 661.2206";"1520.8131";"1434.1997";"1338.4645";"1248.8341";"1169.9657";"1168.1050";"1120.7597";"2296.8588";"1666.5997";"1690.7541";" 931.8616";" 809.7611";"1372.7976";"1580.7219";" 721.4612";"2283.7030";"1626.0335";"1735.6994"
"8pm";"2153.6053";"1600.0630";"1261.4474";"1164.8029";"2134.6034";"1552.7516";" 821.7300";"2018.3384";"2620.6669";"3120.8906";"1581.3879";"1862.8250";"2847.2492";"1415.4879";"1659.0624";" 729.7512";"1829.0894";"1087.4860";"1738.5356";"1812.9510";"2131.4279";" 538.4353";" 636.2633";"1586.7398";"1376.1208";"1404.4785";"1351.9694";"1203.9896";"1327.8133";"1200.6511";"2296.9476";"1623.7770";"1665.7023";"1044.4040";" 809.7611";"1741.0220";"1485.0033";" 746.8962";"2258.2679";"1487.2665";"1826.5559"
"9pm";"2070.8046";"1629.9424";"1235.7311";"1164.8029";"1962.4493";"1463.4970";" 850.0011";"2044.0547";"2794.5998";"3373.7219";"1553.1167";"1623.3095";"2781.7203";"1430.1348";"1602.0305";" 824.2476";"1982.1499";"1087.4860";"1738.5356";"1764.7737";"1963.0848";" 538.4353";" 661.2206";"1541.3881";"1376.1208";"1365.7757";"1351.9694";"1243.8716";"1387.0768";"1200.6511";"2290.9524";"1564.6304";"1665.7023";"1076.0978";" 784.1328";"1826.8974";"1637.8018";" 746.8962";"2344.7229";"1487.2665";"1846.9996"
"10pm";"2023.3818";"1743.9317";"1235.7311";"1129.1533";"1962.4493";"1497.5716";" 831.8823";"1973.4149";"2873.1434";"3538.0464";"1553.1167";"1623.3095";"2739.9458";"1448.2537";"1602.0305";" 824.2476";"1864.0772";"1087.4860";"1754.2255";"1719.5284";"1963.0848";" 561.7579";" 635.4741";"1541.3881";"1376.1208";"1401.9442";"1377.7159";"1195.8493";"1387.0768";"1112.3058";"2207.6593";"1623.4485";"1723.7818";"1095.5910";" 833.5731";"1826.8974";"1571.0767";" 746.8962";"2389.9682";"1487.2665";"1846.9996"
"11pm";"2008.6520";"1743.9317";"1235.7311";"1129.1533";"1962.4493";"1497.5716";" 831.8823";"1973.4149";"2873.1434";"3538.0464";"1553.1167";"1709.7645";"2739.9458";"1448.2537";"1602.0305";" 824.2476";"1864.0772";"1087.4860";"1768.9554";"1719.5284";"1963.0848";" 561.7579";" 635.4741";"1541.3881";"1376.1208";"1401.9442";"1432.0278";"1195.8493";"1387.0768";"1112.3058";"2197.3754";"1652.1280";"1813.4364";"1095.5910";" 833.5731";"1826.8974";"1611.5134";" 746.8962";"2303.5133";"1487.2665";"1865.2587"
"12pm";"2008.6520";"1743.9317";"1235.7311";"1129.1533";"1962.4493";"1497.5716";" 831.8823";"1973.4149";"2873.1434";"3538.0464";"1553.1167";"1639.3002";"2739.9458";"1448.2537";"1602.0305";" 824.2476";"1864.0772";"1087.4860";"1816.0176";"1719.5284";"1963.0848";" 561.7579";" 635.4741";"1541.3881";"1376.1208";"1497.4631";"1432.0278";"1195.8493";"1387.0768";"1112.3058";"2261.1753";"1711.2747";"1813.4364";"1095.5910";" 833.5731";"1826.8974";"1681.9778";" 746.8962";"2401.5694";"1487.2665";"1865.2587"
"1am";"2008.6520";"1743.9317";"1235.7311";"1129.1533";"1962.4493";"1497.5716";" 831.8823";"1973.4149";"2873.1434";"3538.0464";"1553.1167";"1639.3002";"2739.9458";"1448.2537";"1602.0305";" 824.2476";"1864.0772";"1087.4860";"1816.0176";"1719.5284";"1963.0848";" 561.7579";" 635.4741";"1541.3881";"1376.1208";"1497.4631";"1432.0278";"1195.8493";"1387.0768";"1112.3058";"2261.1753";"1711.2747";"1813.4364";"1095.5910";" 833.5731";"1773.4127";"1748.7029";" 746.8962";"2401.5694";"1487.2665";"1865.2587"
"2am";"2090.5090";"1743.9317";"1235.7311";"1129.1533";"1962.4493";"1497.5716";" 831.8823";"1973.4149";"2873.1434";"3538.0464";"1553.1167";"1552.8452";"2739.9458";"1448.2537";"1602.0305";" 824.2476";"1864.0772";"1087.4860";"1816.0176";"1719.5284";"1963.0848";" 561.7579";" 635.4741";"1541.3881";"1376.1208";"1497.4631";"1432.0278";"1195.8493";"1387.0768";"1112.3058";"2261.1753";"1711.2747";"1813.4364";"1095.5910";" 833.5731";"1773.4127";"1748.7029";" 746.8962";"2488.0243";"1487.2665";"1865.2587"
"3am";"2090.5090";"1647.5403";"1235.7311";"1129.1533";"2058.8407";"1497.5716";" 831.8823";"1973.4149";"2873.1434";"3538.0464";"1553.1167";"1552.8452";"2739.9458";"1448.2537";"1602.0305";" 824.2476";"1864.0772";"1087.4860";"1816.0176";"1719.5284";"1963.0848";" 561.7579";" 635.4741";"1541.3881";"1376.1208";"1497.4631";"1432.0278";"1195.8493";"1387.0768";"1112.3058";"2261.1753";"1711.2747";"1813.4364";"1095.5910";" 833.5731";"1773.4127";"1748.7029";" 746.8962";"2488.0243";"1487.2665";"1865.2587"
