"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030"
"6pm";" 9.554596";"15.114137";"10.105558";"14.129793";"14.973727";"10.050184";"18.713967";" 9.615413";"11.636128";"11.325975";" 4.609463";" 8.643819";"10.644646";"10.904409";" 6.795823";" 8.002118";"18.628540";" 6.058574";"14.384073";" 8.765250";"12.284443";"10.087562";"14.072106";"11.089658";"18.597444";"10.737235";"10.924412";"16.738386";"12.763519";"10.547842"
"7pm";" 9.520505";"14.300947";"11.201516";"13.550081";"14.722651";" 8.977630";"18.070645";" 9.474245";"12.117295";"10.328341";" 4.854083";" 8.430109";" 6.514563";"10.109631";" 8.592293";"11.236823";"18.919036";" 5.405970";"13.257104";" 9.099301";"12.590644";" 8.907180";"13.523287";"10.877961";"17.832145";"10.753746";"10.343736";"16.618975";"11.894770";"10.596122"
"8pm";" 9.642631";"13.862730";"11.248178";"13.856474";"13.741155";" 8.640544";"17.935289";" 9.229114";"13.074443";" 9.934237";" 4.190736";" 8.577658";" 6.172534";"10.041889";" 9.258191";"12.620762";"18.448729";" 5.237314";"13.236936";" 8.794820";"11.586148";" 9.470456";"13.625353";"10.178319";"18.060928";"10.449086";"10.227328";"17.026513";"11.699143";"10.990204"
"9pm";" 9.561084";"13.862730";"11.345182";"13.905679";"13.727471";" 9.347949";"17.819865";" 8.902289";"13.002268";"11.037050";" 4.254536";" 8.662924";" 6.191590";"10.992192";" 9.170256";" 9.232598";"17.727009";" 5.133587";"13.004128";" 8.593242";"11.646196";" 9.328588";"13.326643";"10.616718";"17.685524";"10.512537";"10.346630";"16.811549";"11.878235";"11.091771"
"10pm";" 9.493349";"13.744574";"11.284057";"13.940025";"13.837280";" 9.362965";"17.819865";" 8.902289";"12.858511";"11.155228";" 4.569935";" 8.528584";" 6.267755";"10.588355";" 9.035344";" 9.163524";"17.279263";" 5.577654";"12.536364";" 8.586715";"11.866730";" 9.349958";"13.138995";"10.319500";"17.315983";"10.626832";" 9.732203";"16.710972";"12.197092";"11.091682"
"11pm";" 9.472905";"14.390979";"10.846800";"13.981252";"13.781404";" 9.100886";"18.104345";" 8.902289";"12.647359";"11.155228";" 4.740215";" 8.583720";" 6.198543";"10.542255";" 8.983751";" 9.110430";"17.137408";" 5.577654";"12.674441";" 8.730715";"11.819549";" 9.311350";"13.138995";"10.319500";"17.262840";"10.536400";" 9.705990";"16.710972";"12.304276";"11.091682"
"12pm";" 9.438283";"14.390979";"10.846800";"14.064117";"13.787398";" 9.100886";"18.104345";" 8.830110";"12.647359";"11.078223";" 4.784434";" 8.710284";" 6.144395";"10.467875";" 8.944618";" 9.110430";"17.137408";" 5.337233";"12.703459";" 8.598853";"11.819549";" 9.311350";"13.138995";"10.319500";"17.262840";"10.446574";" 9.705990";"16.710972";"12.304276";"11.091682"
"1am";" 9.438283";"14.390979";"10.846800";"14.064117";"13.787398";" 9.046451";"18.263562";" 8.830110";"12.610004";"11.018597";" 4.829023";" 8.683127";" 6.091184";"10.467875";" 8.907306";" 9.110430";"16.961852";" 5.395612";"12.703459";" 8.598853";"11.819549";" 9.311350";"13.138995";"10.319500";"17.262840";"10.082323";" 9.821157";"16.710972";"12.672725";"10.886750"
"2am";" 9.438283";"14.390979";"10.846800";"14.064117";"13.787398";" 9.046451";"18.263562";" 8.830110";"12.610004";"11.018597";" 4.829023";" 8.683127";" 6.091184";"10.467875";" 8.868027";" 9.110430";"16.961852";" 5.395612";"12.703459";" 8.598853";"11.710990";" 9.311350";"13.138995";"10.319500";"17.262840";"10.082323";" 9.798830";"16.710972";"12.672725";"10.906886"
"3am";" 9.438283";"14.390979";"10.846800";"14.064117";"13.787398";" 8.767513";"18.865485";" 8.830110";"12.610004";"11.018597";" 4.829023";" 8.683127";" 6.091184";"10.467875";" 8.868027";" 9.110430";"16.961852";" 5.395612";"12.732468";" 8.586157";"11.710990";" 9.311350";"13.138995";"10.319500";"17.262840";"10.009100";" 9.798830";"16.710972";"12.672725";"10.982672"
