"hour","sex1","sex2"
"4am",-0.0277739737966218,-0.0277739737966215
"5am",-0.0762384413135276,-0.0762384413135278
"6am",-0.0788515530057105,-0.0788515530057109
"7am",-0.0617667986780049,-0.0617667986780051
"8am",-0.0854658796310382,-0.085465879631038
"9am",-0.0472268108762984,-0.0472268108762983
"10am",-0.0777171558004718,-0.0777171558004716
"11am",-0.119379079064538,-0.119379079064538
"12am",-0.158407527915793,-0.158407527915793
"1pm",-0.0743491634370967,-0.0743491634370966
"2pm",-0.0925684890648733,-0.0925684890648733
"3pm",-0.0412674250035005,-0.0412674250035007
"4pm",0.0323420619431449,0.0323420619431446
"5pm",-0.0283151136244458,-0.0283151136244457
"6pm",-0.0274392833442907,-0.0274392833442909
"7pm",-0.0585989665566036,-0.0585989665566036
"8pm",-0.00169322258931338,-0.00169322258931367
"9pm",-0.0134465584487645,-0.0134465584487646
"10pm",0.021326915001812,0.0213269150018119
"11pm",0.00219777722259189,0.00219777722259112
"12pm",-0.0260965808713442,-0.0260965808713444
"1am",-0.0395899297177512,-0.0395899297177512
"2am",-0.0296229924199687,-0.0296229924199687
"3am",-0.0341224820599588,-0.0341224820599589
